Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
281	3.825	6.	0.1	1.1468e-004
282	2.55	6.	5.e-002	8.6081e-006
283	5.1	6.	5.e-002	6.8367e-006
284	3.825	6.	0.	1.1468e-004
285	1.275	6.	0.	1.0064e-004
286	5.1	5.5	0.	1.0937e-004
287	3.9339e-014	4.5	0.	8.8243e-005
288	3.825	1.6378e-030	0.	1.0091e-004
289	1.275	5.4593e-031	0.	1.008e-004
290	5.1	0.5	0.	8.6525e-005
291	1.3113e-014	1.5	0.	9.2858e-005
292	9.95	0.	0.	4.6045e-005
293	6.8278	0.	0.	5.7037e-005
294	14.633	0.	0.	2.7093e-005
295	20.878	0.	0.	1.3462e-005
296	5.2667	0.5	0.	7.0371e-005
297	24.	1.5	0.	1.0006e-005
298	24.	4.5	0.	1.0195e-005
299	20.878	6.	0.	1.397e-005
300	14.633	6.	0.	2.5324e-005
301	9.95	6.	0.	4.3336e-005
302	6.8278	6.	0.	4.9916e-005
303	5.2667	5.5	0.	8.421e-005
304	5.1	1.25	0.	1.0485e-004
305	5.1	1.75	0.	2.2983e-004
306	5.1833	2.	0.	3.1543e-004
307	5.2667	1.25	0.	1.2627e-004
308	5.2667	1.75	0.	2.4056e-004
309	5.1	4.75	0.	1.3855e-004
310	5.1	4.25	0.	3.1446e-004
311	5.1833	4.	0.	4.0202e-004
312	5.2667	4.75	0.	1.3513e-004
313	5.2667	4.25	0.	2.7354e-004
