Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
272	8.3889	0.	5.e-002	-28.605
273	5.2667	0.	5.e-002	-22.421
274	3.825	1.6378e-030	0.1	-73.709
275	5.1	2.1837e-030	5.e-002	-80.892
276	1.275	5.4593e-031	0.1	251.8
277	2.55	0.	5.e-002	-47.308
278	0.	0.	5.e-002	-141.99
279	1.275	6.	0.1	252.75
280	5.2451e-014	6.	5.e-002	-148.12
281	3.825	6.	0.1	-25.877
282	2.55	6.	5.e-002	-49.665
283	5.1	6.	5.e-002	-39.444
284	3.825	6.	0.	-1192.7
285	1.275	6.	0.	-1353.7
286	5.1	5.5	0.	-1266.2
287	3.9339e-014	4.5	0.	-1740.8
288	3.825	1.6378e-030	0.	-990.28
289	1.275	5.4593e-031	0.	-1363.5
290	5.1	0.5	0.	-1037.8
291	1.3113e-014	1.5	0.	-1829.1
292	9.95	0.	0.	-460.63
293	6.8278	0.	0.	-556.21
294	14.633	0.	0.	-279.48
295	20.878	0.	0.	-139.86
296	5.2667	0.5	0.	-745.37
297	24.	1.5	0.	-121.6
298	24.	4.5	0.	-124.79
299	20.878	6.	0.	-145.8
300	14.633	6.	0.	-300.16
301	9.95	6.	0.	-464.96
302	6.8278	6.	0.	-531.04
303	5.2667	5.5	0.	-959.26
304	5.1	1.25	0.	-1278.7
305	5.1	1.75	0.	-2667.6
306	5.1833	2.	0.	-3707.6
307	5.2667	1.25	0.	-1455.4
308	5.2667	1.75	0.	-2822.6
309	5.1	4.75	0.	-1310.5
310	5.1	4.25	0.	-3238.4
311	5.1833	4.	0.	-4612.
312	5.2667	4.75	0.	-1464.5
313	5.2667	4.25	0.	-3054.1
