Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
260	22.542	0.	0.	8.6326e-006
261	18.167	0.5	0.	1.8514e-005
262	24.	1.5	0.	6.8898e-006
263	13.219	6.	0.	6.7274e-005
264	16.594	6.	0.	3.9291e-005
265	8.4375	6.	0.	6.5468e-005
266	2.8125	6.	0.	2.5237e-005
267	18.	5.5	0.	1.9834e-005
268	3.9339e-014	4.5	0.	-4.6321e-006
269	24.	4.5	0.	4.1991e-006
270	23.028	6.	0.	6.4152e-006
271	21.083	6.	0.	1.3398e-005
272	19.139	6.	0.	1.1105e-005
273	18.167	5.5	0.	4.73e-006
274	18.	4.75	0.	4.0393e-005
275	18.	4.25	0.	9.9359e-005
276	18.083	4.	0.	8.4293e-005
277	18.167	4.75	0.	2.1361e-005
278	18.167	4.25	0.	5.1083e-005
279	18.	1.25	0.	6.6116e-005
280	18.	1.75	0.	9.108e-005
281	18.083	2.	0.	1.0311e-004
282	18.167	1.25	0.	1.8038e-005
283	18.167	1.75	0.	4.7036e-005
