Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
28978,21.067,1.7273,0.1,6.8634e-05,685.86,6.6112e-05,624.53,-1.7013e-05,-0.039449,-3.1577e-05,-109.47,1.846
28979,21.16,1.6364,0.1,6.6664e-05,666.18,6.4036e-05,602.81,-1.6198e-05,-0.042478,-3.1154e-05,-112.42,1.8586
28980,21.067,1.9091,0.1,6.9312e-05,692.64,6.6696e-05,629.21,-1.7052e-05,-0.038426,-3.208e-05,-112.95,1.8461
28981,21.16,1.8182,0.1,6.7509e-05,674.62,6.4757e-05,608.55,-1.6242e-05,-0.042201,-3.1787e-05,-116.85,1.8587
28982,21.067,2.0909,0.1,6.9794e-05,697.46,6.7128e-05,632.92,-1.7113e-05,-0.03591,-3.2388e-05,-114.81,1.8463
28983,21.16,2,0.1,6.8119e-05,680.72,6.5302e-05,613.2,-1.6315e-05,-0.039819,-3.2183e-05,-119.27,1.8589
28984,21.067,2.2727,0.1,7.0103e-05,700.55,6.7423e-05,635.68,-1.7184e-05,-0.032524,-3.2538e-05,-115.39,1.8464
28985,21.16,2.1818,0.1,6.8514e-05,684.67,6.5678e-05,616.72,-1.6406e-05,-0.035942,-3.2374e-05,-120.01,1.859
28986,21.067,2.4545,0.1,7.0278e-05,702.3,6.7607e-05,637.59,-1.7255e-05,-0.029,-3.2578e-05,-115.16,1.8464
28987,21.16,2.3636,0.1,6.8734e-05,686.86,6.5913e-05,619.2,-1.6502e-05,-0.031465,-3.2414e-05,-119.59,1.8591
28988,21.067,2.6364,0.1,7.0362e-05,703.14,6.7709e-05,638.81,-1.7314e-05,-0.026006,-3.2559e-05,-114.57,1.8465
28989,21.16,2.5455,0.1,6.8831e-05,687.84,6.6042e-05,620.82,-1.6588e-05,-0.027327,-3.2368e-05,-118.59,1.8591
28990,21.067,2.8182,0.1,7.0395e-05,703.46,6.7758e-05,639.47,-1.7353e-05,-0.024029,-3.2528e-05,-114.04,1.8465
28991,21.16,2.7273,0.1,6.8861e-05,688.13,6.6103e-05,621.76,-1.6652e-05,-0.02424,-3.2297e-05,-117.57,1.8592
28992,21.067,3,0.1,7.0402e-05,703.54,6.7771e-05,639.67,-1.7367e-05,-0.023341,-3.2514e-05,-113.83,1.8465
28993,21.16,2.9091,0.1,6.8864e-05,688.16,6.6125e-05,622.19,-1.6687e-05,-0.022613,-3.2249e-05,-116.95,1.8592
28994,21.067,3.1818,0.1,7.0395e-05,703.46,6.7758e-05,639.47,-1.7353e-05,-0.024028,-3.2528e-05,-114.04,1.8465
28995,21.16,3.0909,0.1,6.8864e-05,688.16,6.6125e-05,622.19,-1.6687e-05,-0.022613,-3.2249e-05,-116.95,1.8592
28996,21.067,3.3636,0.1,7.0362e-05,703.14,6.7709e-05,638.81,-1.7314e-05,-0.026006,-3.2559e-05,-114.57,1.8465
28997,21.16,3.2727,0.1,6.8861e-05,688.13,6.6103e-05,621.76,-1.6652e-05,-0.024239,-3.2297e-05,-117.57,1.8592
28998,21.067,3.5455,0.1,7.0278e-05,702.3,6.7607e-05,637.59,-1.7255e-05,-0.029,-3.2578e-05,-115.16,1.8464
28999,21.16,3.4545,0.1,6.8831e-05,687.84,6.6042e-05,620.82,-1.6588e-05,-0.027327,-3.2368e-05,-118.59,1.8591
29000,21.067,3.7273,0.1,7.0103e-05,700.55,6.7423e-05,635.68,-1.7184e-05,-0.032524,-3.2538e-05,-115.39,1.8464
29001,21.16,3.6364,0.1,6.8734e-05,686.86,6.5913e-05,619.2,-1.6502e-05,-0.031465,-3.2414e-05,-119.59,1.8591
29002,21.067,3.9091,0.1,6.9794e-05,697.46,6.7128e-05,632.92,-1.7113e-05,-0.03591,-3.2388e-05,-114.81,1.8463
29003,21.16,3.8182,0.1,6.8514e-05,684.67,6.5678e-05,616.72,-1.6406e-05,-0.035941,-3.2374e-05,-120.01,1.859
29004,21.067,4.0909,0.1,6.9312e-05,692.64,6.6696e-05,629.21,-1.7052e-05,-0.038427,-3.208e-05,-112.95,1.8461
29005,21.16,4,0.1,6.8119e-05,680.72,6.5302e-05,613.2,-1.6315e-05,-0.039819,-3.2183e-05,-119.27,1.8589
29006,21.067,4.2727,0.1,6.8634e-05,685.86,6.6112e-05,624.53,-1.7013e-05,-0.039449,-3.1577e-05,-109.47,1.846
29007,21.16,4.1818,0.1,6.7509e-05,674.62,6.4757e-05,608.55,-1.6242e-05,-0.042201,-3.1787e-05,-116.85,1.8587
29008,21.067,4.4545,0.1,6.7756e-05,677.09,6.538e-05,618.96,-1.7004e-05,-0.038608,-3.0862e-05,-104.16,1.8458
29009,21.16,4.3636,0.1,6.6664e-05,666.18,6.4036e-05,602.81,-1.6198e-05,-0.042477,-3.1154e-05,-112.42,1.8586
29010,21.067,4.6364,0.1,6.6697e-05,666.51,6.4515e-05,612.68,-1.7033e-05,-0.035816,-2.9938e-05,-96.998,1.8457
29011,21.16,4.5455,0.1,6.5597e-05,655.52,6.3151e-05,596.13,-1.6195e-05,-0.040436,-3.0277e-05,-105.85,1.8584
29012,21.067,4.8182,0.1,6.5495e-05,654.5,6.3549e-05,605.96,-1.7103e-05,-0.031011,-2.8828e-05,-88.127,1.8455
29013,21.16,4.7273,0.1,6.4343e-05,642.98,6.2134e-05,588.81,-1.6236e-05,-0.036267,-2.9174e-05,-97.249,1.8582
29014,21.067,5,0.1,6.4201e-05,641.56,6.2522e-05,599.1,-1.7217e-05,-0.024337,-2.7569e-05,-77.803,1.8452
29015,21.16,4.9091,0.1,6.2958e-05,629.15,6.1028e-05,581.17,-1.6326e-05,-0.029929,-2.7886e-05,-86.891,1.858
29016,21.067,5.1818,0.1,6.2868e-05,628.25,6.1476e-05,592.43,-1.7374e-05,-0.013952,-2.6203e-05,-66.351,1.845
29017,21.16,5.0909,0.1,6.1507e-05,614.65,5.9883e-05,573.61,-1.6463e-05,-0.021962,-2.6462e-05,-75.153,1.8578
29018,21.067,5.3636,0.1,6.1552e-05,615.09,6.0452e-05,586.25,-1.7573e-05,-0.0026814,-2.4774e-05,-54.109,1.8448
29019,21.16,5.2727,0.1,6.0054e-05,600.13,5.8747e-05,566.46,-1.6645e-05,-0.0080132,-2.4954e-05,-62.437,1.8575
