Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
278	5.2667	0.	5.e-002	1.0658e-006
279	3.825	1.6378e-030	0.1	9.9265e-005
280	5.1	2.1837e-030	5.e-002	1.612e-005
281	1.275	5.4593e-031	0.1	9.8686e-005
282	2.55	0.	5.e-002	9.1176e-006
283	0.	0.	5.e-002	2.4072e-005
284	1.275	6.	0.1	1.0086e-004
285	5.2451e-014	6.	5.e-002	2.66e-005
286	3.825	6.	0.1	1.1541e-004
287	2.55	6.	5.e-002	8.831e-006
288	5.1	6.	5.e-002	7.4645e-006
289	3.825	6.	0.	1.1541e-004
290	1.275	6.	0.	1.0086e-004
291	5.1	5.5	0.	1.1e-004
292	3.9339e-014	4.5	0.	8.8122e-005
293	3.825	1.6378e-030	0.	9.9265e-005
294	1.275	5.4593e-031	0.	9.8686e-005
295	5.1	0.5	0.	8.3471e-005
296	1.3113e-014	1.5	0.	9.2637e-005
297	8.7792	0.	0.	5.3149e-005
298	6.4375	0.	0.	5.5257e-005
299	12.292	0.	0.	3.9189e-005
300	16.975	0.	0.	1.9098e-005
301	21.658	0.	0.	6.6757e-006
302	5.2667	0.5	0.	7.3706e-005
303	24.	1.5	0.	2.8871e-006
304	24.	4.5	0.	2.8121e-006
305	21.658	6.	0.	6.766e-006
306	16.975	6.	0.	1.9196e-005
307	12.292	6.	0.	3.818e-005
308	8.7792	6.	0.	5.2734e-005
309	6.4375	6.	0.	5.5916e-005
310	5.2667	5.5	0.	8.3598e-005
311	5.1	1.25	0.	1.0697e-004
312	5.1	1.75	0.	2.581e-004
313	5.1833	2.	0.	3.5116e-004
314	5.2667	1.25	0.	1.2544e-004
315	5.2667	1.75	0.	2.575e-004
316	5.1	4.75	0.	1.4069e-004
317	5.1	4.25	0.	2.9967e-004
318	5.1833	4.	0.	4.0969e-004
319	5.2667	4.75	0.	1.299e-004
320	5.2667	4.25	0.	3.0223e-004
