Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
278	5.2667	0.	5.e-002	-3.5312e-015
279	3.825	1.6378e-030	0.1	55.716
280	5.1	2.1837e-030	5.e-002	-2.0201e-014
281	1.275	5.4593e-031	0.1	514.
282	2.55	0.	5.e-002	5.9108e-006
283	0.	0.	5.e-002	3.0966e-005
284	1.275	6.	0.1	476.92
285	5.2451e-014	6.	5.e-002	3.0294e-006
286	3.825	6.	0.1	126.87
287	2.55	6.	5.e-002	-1.0807e-014
288	5.1	6.	5.e-002	-9.1351e-015
289	3.825	6.	0.	-126.87
290	1.275	6.	0.	-476.92
291	5.1	5.5	0.	-188.12
292	3.9339e-014	4.5	0.	-889.06
293	3.825	1.6378e-030	0.	-55.716
294	1.275	5.4593e-031	0.	-514.
295	5.1	0.5	0.	-242.61
296	1.3113e-014	1.5	0.	-904.35
297	8.7792	0.	0.	-6.3366
298	6.4375	0.	0.	-31.902
299	12.292	0.	0.	-4.5459
300	16.975	0.	0.	-8.4615
301	21.658	0.	0.	-16.972
302	5.2667	0.5	0.	-122.91
303	24.	1.5	0.	-13.911
304	24.	4.5	0.	-13.855
305	21.658	6.	0.	-16.369
306	16.975	6.	0.	-9.449
307	12.292	6.	0.	-1.3246
308	8.7792	6.	0.	-10.655
309	6.4375	6.	0.	-52.609
310	5.2667	5.5	0.	-156.51
311	5.1	1.25	0.	-287.34
312	5.1	1.75	0.	-379.81
313	5.1833	2.	0.	-700.01
314	5.2667	1.25	0.	-170.83
315	5.2667	1.75	0.	-468.33
316	5.1	4.75	0.	-133.37
317	5.1	4.25	0.	-545.66
318	5.1833	4.	0.	-994.51
319	5.2667	4.75	0.	-223.24
320	5.2667	4.25	0.	-392.77
