Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
235	2.4467	1.5	0.1	-309.39
236	2.4467	2.	0.1	471.32
237	2.28	2.	0.1	417.78
238	2.28	1.5	0.1	-9.2213
239	2.28	1.	0.1	261.09
240	2.28	0.5	0.1	116.33
241	2.4467	5.5	0.1	109.92
242	2.4467	5.	0.1	-653.7
243	2.4467	4.5	0.1	-600.68
244	2.4467	4.	0.1	385.02
245	2.28	4.	0.1	75.554
246	2.28	4.5	0.1	-16.141
247	2.28	5.	0.1	-109.07
248	2.28	5.5	0.1	23.486
249	2.4467	6.	0.1	128.19
250	3.6441	6.	0.1	-82.617
251	4.8415	6.	0.1	-90.382
252	6.0389	6.	0.1	-45.727
253	7.2363	6.	0.1	-19.998
254	8.4337	6.	0.1	8.4174
255	9.6311	6.	0.1	1.0176
256	10.829	6.	0.1	-1.2295
257	12.026	6.	0.1	-3.0696
258	13.223	6.	0.1	-5.0939
259	14.421	6.	0.1	-6.6991
260	15.618	6.	0.1	-7.9341
261	16.816	6.	0.1	-8.8798
262	18.013	6.	0.1	-9.5132
263	19.21	6.	0.1	-9.8518
264	20.408	6.	0.1	-9.8265
265	21.605	6.	0.1	-9.25
266	22.803	6.	0.1	-7.6356
267	24.	6.	0.1	-5.0175
268	24.	4.8	0.1	-6.676
269	24.	3.6	0.1	-10.048
270	24.	2.4	0.1	-10.139
271	24.	1.2	0.1	-6.8516
272	1.049e-014	1.2	0.1	347.52
273	2.0981e-014	2.4	0.1	411.
274	3.1471e-014	3.6	0.1	474.62
275	4.1961e-014	4.8	0.1	773.26
276	3.937e-014	6.	0.1	370.8
277	1.14	6.	0.1	-168.07
278	1.71	6.	0.1	-5.9902
279	2.28	6.	0.1	82.276
280	24.	0.	0.1	-5.1536
281	22.866	0.	0.1	-7.6473
282	21.731	0.	0.1	-9.4917
283	20.597	0.	0.1	-10.503
284	19.462	0.	0.1	-11.133
285	18.328	0.	0.1	-11.612
286	17.194	0.	0.1	-11.993
287	16.059	0.	0.1	-12.566
288	14.925	0.	0.1	-12.902
289	13.791	0.	0.1	-13.087
290	12.656	0.	0.1	-13.035
291	11.522	0.	0.1	-12.666
292	10.387	0.	0.1	-11.837
293	9.253	0.	0.1	-12.246
294	8.1186	0.	0.1	-8.4645
295	6.9842	0.	0.1	-7.0982
296	5.8498	0.	0.1	0.7117
297	4.7154	0.	0.1	-59.459
298	3.5811	0.	0.1	-72.047
