Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
240	0.5	6.	0.	-815.07
241	2.	5.5	0.	-1872.
242	3.9339e-014	4.5	0.	-2683.8
243	1.	2.	0.	-3213.4
244	24.	4.5	0.	-135.83
245	20.589	6.	0.	-80.612
246	13.766	6.	0.	-153.39
247	7.9661	6.	0.	-328.52
248	3.8724	6.	0.	-266.98
249	2.1667	5.5	0.	-433.38
250	2.	4.75	0.	-1809.6
251	2.	4.25	0.	-2902.1
252	2.0833	4.	0.	-4684.4
253	2.1667	4.75	0.	-1140.3
254	2.1667	4.25	0.	-2694.6
255	2.	1.25	0.	-3244.1
256	2.	1.75	0.	-5706.7
257	2.0833	2.	0.	-3106.
258	2.1667	1.25	0.	-661.32
259	2.1667	1.75	0.	178.7
