NodeIndex,X,Y,Z,Weight,Deformation,CutLocation,TotalWeight
8820,9.2043,6,0,0.846246740462577,0.67551,0.9,1
29874,9.2043,6,0.05,0.0725095732445311,0.67548,0.9,1
30718,9.1118,6,0,0.0412569272561187,0.66449,0.9,1
9437,9.2043,5.9091,0,0.0399867590367734,0.67614,0.9,1
8810,11.054,6,0,0.319633432140537,0.90834,0.9,1
30707,11.146,6,0,0.319633432140525,0.92056,0.9,1
29894,11.054,6,0.05,0.216409902699443,0.90831,0.9,1
9477,11.054,5.9091,0,0.144323233019495,0.90888,0.9,1
30685,15.215,6,0,0.663778222195504,1.5041,0.9,1
8788,15.123,6,0,0.129307445882246,1.49,0.9,1
29938,15.123,6,0.05,0.108449169796533,1.49,0.9,1
29937,15.215,6,0.1,0.0984651621257172,1.5041,0.9,1
30675,17.065,6,0,0.415628982193238,1.7932,0.9,1
8777,17.157,6,0,0.255210778539714,1.808,0.9,1
29960,17.157,6,0.05,0.191857028470201,1.8079,0.9,1
29957,17.065,6,0.1,0.137303210796847,1.7932,0.9,1
8755,21.226,6,0,0.470718276396854,2.4772,0.9,1
30004,21.226,6,0.05,0.217167165003088,2.4772,0.9,1
30653,21.133,6,0,0.182666793825643,2.4617,0.9,1
9697,21.226,5.9091,0,0.129447764774415,2.4773,0.9,1
30976,5.1257,6,0,0.514099061823147,0.25439,1,1
8911,5.0336,6,0,0.198981112783964,0.24654,1,1
30058,5.0336,6,0.05,0.158954781168906,0.2465,1,1
30057,5.1257,6,0.1,0.127965044223983,0.25439,1,1
8900,7.0591,6,0,0.351827178957949,0.4373,1,1
30965,7.1512,6,0,0.281049445691013,0.44684,1,1
30080,7.0591,6,0.05,0.222760605041561,0.43726,1,1
9524,7.0591,5.9091,0,0.144362770309477,0.43801,1,1
30954,9.1767,6,0,0.543613514534861,0.67396,1,1
8888,9.2688,6,0,0.184101669893335,0.68502,1,1
30104,9.2688,6,0.05,0.148927097109941,0.68499,1,1
30101,9.1767,6,0.1,0.123357718461863,0.67396,1,1
8878,11.11,6,0,0.700565323475553,0.91854,1,1
30124,11.11,6,0.05,0.137392163651854,0.91851,1,1
30944,11.018,6,0,0.0854347955457985,0.90634,1,1
9612,11.11,5.9091,0,0.0766077173267937,0.91908,1,1
8856,15.161,6,0,0.364276673275194,1.5008,1,1
30921,15.253,6,0,0.268052646372307,1.5149,1,1
30168,15.161,6,0.05,0.224041737586664,1.5008,1,1
9700,15.161,5.9091,0,0.143628942765835,1.5012,1,1
30911,17.095,6,0,0.862846067696749,1.8039,1,1
8845,17.187,6,0,0.0495888544653559,1.8186,1,1
8846,17.003,6,0,0.0444766014276896,1.7892,1,1
30187,17.095,6,0.1,0.0430884764102059,1.8039,1,1
8823,21.238,6,0,0.3711286898621,2.4873,1,1
30889,21.146,6,0,0.261164633606672,2.4717,1,1
30234,21.238,6,0.05,0.224563760337209,2.4872,1,1
9832,21.238,5.9091,0,0.143142916194019,2.4874,1,1
30741,5.0556,6,0,0.333609160786848,0.24691,1.1,1
8843,5.148,6,0,0.308588473727831,0.25483,1.1,1
29828,5.148,6,0.05,0.213707339869008,0.25478,1.1,1
9412,5.148,5.9091,0,0.144095025616312,0.25559,1.1,1
30730,7.0886,6,0,0.727924688285278,0.43943,1.1,1
8832,7.181,6,0,0.102448659832743,0.44906,1.1,1
29850,7.181,6,0.05,0.0871772640875444,0.44902,1.1,1
29847,7.0886,6,0.1,0.0824493877944346,0.43943,1.1,1
8821,9.2141,6,0,0.623140899995624,0.67813,1.1,1
29872,9.2141,6,0.05,0.169129441412388,0.6781,1.1,1
30719,9.1217,6,0,0.112213112259757,0.66704,1.1,1
