NodeIndex,X,Y,Z,Weight,Strain,CutLocation,TotalWeight
30088,7.0135,6,0.05,0.0497349817903701,9.6983e-06,0.2,1
8884,9.2292,6,0,0.440108793548765,0.00036115,0.2,1
30112,9.2292,6,0.05,0.221947080339391,1.249e-05,0.2,1
30950,9.1368,6,0,0.203341404614311,0.00036384,0.2,1
9320,9.2292,5.9091,0,0.134602721497532,0.00036124,0.2,1
8874,11.076,6,0,0.489967713911476,0.00030874,0.2,1
30132,11.076,6,0.05,0.212024251922976,1.3124e-05,0.2,1
30939,11.168,6,0,0.172929781380516,0.00030619,0.2,1
9360,11.076,5.9091,0,0.125078252785032,0.000309,0.2,1
30917,15.23,6,0,0.468047984153996,0.00019905,0.2,1
8852,15.137,6,0,0.222879992454296,0.00020137,0.2,1
30176,15.137,6,0.05,0.174579424801462,1.2577e-05,0.2,1
30175,15.23,6,0.1,0.134492598590246,0.00019905,0.2,1
30907,17.076,6,0,0.534570244723964,0.00015364,0.2,1
8841,17.168,6,0,0.188671851079059,0.00015142,0.2,1
30198,17.168,6,0.05,0.152003667880284,1.1828e-05,0.2,1
30195,17.076,6,0.1,0.124754236316693,0.00015364,0.2,1
8819,21.23,6,0,0.432568527377827,5.8252e-05,0.2,1
30242,21.23,6,0.05,0.222554671267434,8.6975e-06,0.2,1
30885,21.138,6,0,0.209307351957029,6.0282e-05,0.2,1
9580,21.23,5.9091,0,0.135569449397711,5.9069e-05,0.2,1
8907,5.063,6,0,0.377957343298525,0.0004885,0.3,1
30972,5.1549,6,0,0.254725349764033,0.00048567,0.3,1
30066,5.063,6,0.05,0.224825282004585,4.1026e-06,0.3,1
11614,5.063,5.9091,0,0.142492024932858,0.0004878,0.3,1
8896,7.0854,6,0,0.614343844093651,0.00042531,0.3,1
30088,7.0854,6,0.05,0.172197429362093,1.0011e-05,0.3,1
30961,7.1773,6,0,0.11603389552092,0.00042248,0.3,1
12681,7.0854,5.9091,0,0.0974248310233361,0.00042504,0.3,1
30950,9.1997,6,0,0.990564555412897,0.00036198,0.3,1
8884,9.2917,6,0,0.00324066921072162,0.00035931,0.3,1
8885,9.1078,6,0,0.00322309508268087,0.00036465,0.3,1
30109,9.1997,6,0.1,0.00297168029370053,0.00036198,0.3,1
8874,11.13,6,0,0.432568527377829,0.00030722,0.3,1
30132,11.13,6,0.05,0.222554671267435,1.3155e-05,0.3,1
30940,11.038,6,0,0.209307351957024,0.00030977,0.3,1
14815,11.13,5.9091,0,0.135569449397711,0.00030748,0.3,1
8852,15.175,6,0,0.479494637094075,0.00020042,0.3,1
30176,15.175,6,0.05,0.214436520677779,1.2569e-05,0.3,1
30917,15.267,6,0,0.17891590936345,0.00019811,0.3,1
16949,15.175,5.9091,0,0.127152932864697,0.00020089,0.3,1
30907,17.105,6,0,0.862107632253194,0.00015294,0.3,1
8842,17.014,6,0,0.0501225367588955,0.00015515,0.3,1
8841,17.197,6,0,0.0444385377450022,0.00015073,0.3,1
30196,17.014,6,0.05,0.043331293242908,1.1896e-05,0.3,1
8819,21.242,6,0,0.344515122161422,5.7994e-05,0.3,1
30885,21.15,6,0,0.289392702615601,6.0015e-05,0.3,1
30242,21.242,6,0.05,0.221589400227379,8.6803e-06,0.3,1
20150,21.242,5.9091,0,0.144502774995598,5.8813e-05,0.3,1
30973,5.0873,6,0,0.703747885037378,0.00048714,0.4,1
8907,5.1795,6,0,0.112422618112886,0.00048438,0.4,1
30066,5.1795,6,0.05,0.0951656846064828,5.0346e-06,0.4,1
30063,5.0873,6,0.1,0.0886638122432532,0.00048714,0.4,1
30962,7.1169,6,0,0.633696186292182,0.00042424,0.4,1
8897,7.0247,6,0,0.142223978065582,0.00042708,0.4,1
30086,7.0247,6,0.05,0.11848254595741,1.0077e-05,0.4,1
30085,7.1169,6,0.1,0.105597289684826,0.00042424,0.4,1
8885,9.2388,6,0,0.36600106063447,0.00036081,0.4,1
30951,9.1466,6,0,0.265933354917931,0.0003635,0.4,1
30110,9.2388,6,0.05,0.224382485414513,1.2624e-05,0.4,1
9453,9.2388,5.9091,0,0.143683099033086,0.00036091,0.4,1
8875,11.084,6,0,0.592187376571803,0.00030849,0.4,1
30130,11.084,6,0.05,0.180484338276354,1.3182e-05,0.4,1
30940,11.176,6,0,0.124671026646695,0.00030593,0.4,1
9493,11.084,5.9091,0,0.102657258505148,0.00030875,0.4,1
30918,15.236,6,0,0.40898229076717,0.0001989,0.4,1
8853,15.143,6,0,0.258304604695071,0.00020122,0.4,1
30174,15.143,6,0.05,0.19418284047613,1.2585e-05,0.4,1
30173,15.236,6,0.1,0.138530264061628,0.0001989,0.4,1
30908,17.081,6,0,0.601804773786946,0.00015353,0.4,1
8842,17.173,6,0,0.156634119204844,0.00015131,0.4,1
30196,17.173,6,0.05,0.1292278392736,1.183e-05,0.4,1
30193,17.081,6,0.1,0.112333267734609,0.00015353,0.4,1
8820,21.232,6,0,0.415896023006644,5.8212e-05,0.4,1
30240,21.232,6,0.05,0.22419028852951,8.6954e-06,0.4,1
30886,21.14,6,0,0.221811212270215,6.0241e-05,0.4,1
9713,21.232,5.9091,0,0.138102476193631,5.903e-05,0.4,1
8908,5.0761,6,0,0.490913597395003,0.00048687,0.5,1
30064,5.0761,6,0.05,0.211713331278483,5.125e-06,0.5,1
30973,5.168,6,0,0.17254169084912,0.00048415,0.5,1
9291,5.0761,5.9091,0,0.124831380477394,0.00048629,0.5,1
8897,7.0971,6,0,0.89096866630653,0.00042475,0.5,1
30086,7.0971,6,0.05,0.0515894819910919,1.0362e-05,0.5,1
30962,7.189,6,0,0.0290315632841398,0.00042193,0.5,1
9335,7.0971,5.9091,0,0.0284102884182381,0.00042452,0.5,1
30951,9.21,6,0,0.754251363002891,0.00036163,0.5,1
8886,9.1181,6,0,0.0920941835168519,0.00036429,0.5,1
30108,9.1181,6,0.05,0.0786036377847999,1.2608e-05,0.5,1
30107,9.21,6,0.1,0.0750508156954568,0.00036163,0.5,1
8875,11.139,6,0,0.364276673275191,0.00030695,0.5,1
30941,11.047,6,0,0.268052646372313,0.0003095,0.5,1
30130,11.139,6,0.05,0.224041737586662,1.3208e-05,0.5,1
9423,11.139,5.9091,0,0.143628942765834,0.00030722,0.5,1
8853,15.181,6,0,0.549423087087723,0.00020027,0.5,1
30174,15.181,6,0.05,0.195164838630192,1.2575e-05,0.5,1
30918,15.273,6,0,0.143000529515983,0.00019796,0.5,1
9511,15.181,5.9091,0,0.112411544766102,0.00020073,0.5,1
30908,17.11,6,0,0.754388794457882,0.00015282,0.5,1
8843,17.018,6,0,0.0919986334704543,0.00015503,0.5,1
30194,17.018,6,0.05,0.0785480814353513,1.1898e-05,0.5,1
30193,17.11,6,0.1,0.0750644906363124,0.00015282,0.5,1
8820,21.244,6,0,0.331896784868884,5.7952e-05,0.5,1
30886,21.152,6,0,0.304238719463158,5.9972e-05,0.5,1
30240,21.244,6,0.05,0.219260274309364,8.678e-06,0.5,1
9643,21.244,5.9091,0,0.144604221358594,5.8771e-05,0.5,1
30974,5.0999,6,0,0.996840812646116,0.00048551,0.6,1
8908,5.1921,6,0,0.00108234615922236,0.00048287,0.6,1
8909,5.0077,6,0,0.00108000088043748,0.00048815,0.6,1
30061,5.0999,6,0.1,0.00099684031422376,0.00048551,0.6,1
30963,7.1282,6,0,0.485610703060967,0.00042371,0.6,1
8898,7.036,6,0,0.213972216036238,0.00042653,0.6,1
30084,7.036,6,0.05,0.168615321536414,1.039e-05,0.6,1
30083,7.1282,6,0.1,0.131801759366381,0.00042371,0.6,1
30952,9.1565,6,0,0.340335298215646,0.00036316,0.6,1
8886,9.2487,6,0,0.30399559491541,0.00036048,0.6,1
30108,9.2487,6,0.05,0.212107697286116,1.2732e-05,0.6,1
9546,9.2487,5.9091,0,0.143561409582828,0.00036059,0.6,1
8876,11.093,6,0,0.770545935821159,0.00030823,0.6,1
30128,11.093,6,0.05,0.106834533116346,1.3227e-05,0.6,1
30941,11.185,6,0,0.0634567241264448,0.00030568,0.6,1
9586,11.093,5.9091,0,0.0591628069360505,0.0003085,0.6,1
30919,15.241,6,0,0.360835953455525,0.00019875,0.6,1
8854,15.149,6,0,0.290083805719149,0.00020107,0.6,1
30172,15.149,6,0.05,0.207140966739737,1.2591e-05,0.6,1
9674,15.149,5.9091,0,0.141939274085589,0.00020153,0.6,1
30909,17.085,6,0,0.665536151617745,0.00015342,0.6,1
8843,17.178,6,0,0.127987721464957,0.0001512,0.6,1
30194,17.178,6,0.05,0.107750192744866,1.1831e-05,0.6,1
30191,17.085,6,0.1,0.098725934172432,0.00015342,0.6,1
8821,21.234,6,0,0.400184117086725,5.8171e-05,0.6,1
30887,21.142,6,0,0.234590689326718,6.0199e-05,0.6,1
30238,21.234,6,0.05,0.2250275394459,8.6931e-06,0.6,1
9806,21.234,5.9091,0,0.140197654140656,5.8989e-05,0.6,1
8909,5.0894,6,0,0.687871731845343,0.00048517,0.7,1
30062,5.0894,6,0.05,0.14265822466277,5.9386e-06,0.7,1
30974,5.1812,6,0,0.0897960635167505,0.00048257,0.7,1
9354,5.0894,5.9091,0,0.0796739799751364,0.00048472,0.7,1
8898,7.109,6,0,0.722346692930048,0.00042422,0.7,1
30084,7.109,6,0.05,0.127965882475679,1.061e-05,0.7,1
30964,7.0172,6,0,0.0785159448837041,0.00042702,0.7,1
9398,7.109,5.9091,0,0.071171479710569,0.00042402,0.7,1
30952,9.2204,6,0,0.581519438789171,0.00036129,0.7,1
8887,9.1286,6,0,0.166148411082626,0.00036395,0.7,1
30106,9.1286,6,0.05,0.136096169750465,1.2699e-05,0.7,1
30105,9.2204,6,0.1,0.116235980377738,0.00036129,0.7,1
30942,11.056,6,0,0.335624087066487,0.00030923,0.7,1
8876,11.148,6,0,0.307655413144282,0.00030668,0.7,1
30128,11.148,6,0.05,0.213061165717272,1.3243e-05,0.7,1
9486,11.148,5.9091,0,0.143659334071959,0.00030696,0.7,1
8854,15.187,6,0,0.641945502652123,0.00020011,0.7,1
30172,15.187,6,0.05,0.16153521945554,1.2579e-05,0.7,1
30919,15.279,6,0,0.105636601702246,0.0001978,0.7,1
9574,15.187,5.9091,0,0.090882676190091,0.00020057,0.7,1
30909,17.115,6,0,0.663778222195559,0.00015271,0.7,1
8844,17.023,6,0,0.129307445882223,0.00015491,0.7,1
30192,17.023,6,0.05,0.108449169796515,1.1898e-05,0.7,1
30191,17.115,6,0.1,0.0984651621257027,0.00015271,0.7,1
8821,21.246,6,0,0.319633432140533,5.7909e-05,0.7,1
30887,21.154,6,0,0.319633432140533,5.9928e-05,0.7,1
30238,21.246,6,0.05,0.21640990269944,8.6755e-06,0.7,1
9706,21.246,5.9091,0,0.144323233019493,5.8729e-05,0.7,1
30975,5.1127,6,0,0.703747885037362,0.00048381,0.8,1
8910,5.0205,6,0,0.112422618112893,0.00048631,0.8,1
30060,5.0205,6,0.05,0.0951656846064881,6.0689e-06,0.8,1
30059,5.1127,6,0.1,0.0886638122432573,0.00048381,0.8,1
30964,7.1396,6,0,0.373449655490961,0.00042322,0.8,1
8899,7.0475,6,0,0.281687740141758,0.00042602,0.8,1
30082,7.0475,6,0.05,0.20398077734403,1.0586e-05,0.8,1
9461,7.0475,5.9091,0,0.140881827023251,0.00042583,0.8,1
30953,9.1665,6,0,0.430514512990255,0.00036284,0.8,1
8887,9.2587,6,0,0.24569397249018,0.00036016,0.8,1
30106,9.2587,6,0.05,0.187038698803231,1.2794e-05,0.8,1
30103,9.1665,6,0.1,0.136752815716335,0.00036284,0.8,1
8877,11.101,6,0,0.959706302238667,0.00030798,0.8,1
30126,11.101,6,0.05,0.0191902883708516,1.3252e-05,0.8,1
9549,11.101,5.9091,0,0.0105571862889448,0.00030825,0.8,1
30943,11.009,6,0,0.0105462231015368,0.00031053,0.8,1
8855,15.155,6,0,0.325725225039968,0.00020092,0.8,1
30920,15.247,6,0,0.311864577165923,0.0001986,0.8,1
30170,15.155,6,0.05,0.217898687751524,1.2592e-05,0.8,1
9637,15.155,5.9091,0,0.144511510042585,0.00020138,0.8,1
30910,17.09,6,0,0.754388794457811,0.00015331,0.8,1
8844,17.182,6,0,0.0919986334704823,0.00015109,0.8,1
30192,17.182,6,0.05,0.0785480814353743,1.183e-05,0.8,1
30189,17.09,6,0.1,0.0750644906363318,0.00015331,0.8,1
8822,21.236,6,0,0.385300610052927,5.813e-05,0.8,1
30888,21.144,6,0,0.247693249319744,6.0156e-05,0.8,1
30236,21.236,6,0.05,0.225132967324921,8.6906e-06,0.8,1
9769,21.236,5.9091,0,0.141873173302408,5.8948e-05,0.8,1
8842,5.1355,6,0,0.389786045849228,0.00048252,0.9,1
30740,5.043,6,0,0.242761484695579,0.00048488,0.9,1
29830,5.1355,6,0.05,0.225655685693798,6.6018e-06,0.9,1
9349,5.1355,5.9091,0,0.141796783761395,0.00048217,0.9,1
30729,7.0774,6,0,0.553486781736506,0.00042505,0.9,1
8831,7.1699,6,0,0.178952807828967,0.00042223,0.9,1
29852,7.1699,6,0.05,0.145549509796149,1.0824e-05,0.9,1
29849,7.0774,6,0.1,0.122010900638378,0.00042505,0.9,1
8820,9.2043,6,0,0.846246740462577,0.00036173,0.9,1
29874,9.2043,6,0.05,0.0725095732445311,1.278e-05,0.9,1
30718,9.1118,6,0,0.0412569272561187,0.00036442,0.9,1
9437,9.2043,5.9091,0,0.0399867590367734,0.00036185,0.9,1
8810,11.054,6,0,0.319633432140537,0.00030929,0.9,1
30707,11.146,6,0,0.319633432140525,0.00030673,0.9,1
29894,11.054,6,0.05,0.216409902699443,1.3256e-05,0.9,1
9477,11.054,5.9091,0,0.144323233019495,0.00030956,0.9,1
30685,15.215,6,0,0.663778222195504,0.00019941,0.9,1
8788,15.123,6,0,0.129307445882246,0.00020174,0.9,1
29938,15.123,6,0.05,0.108449169796533,1.2605e-05,0.9,1
29937,15.215,6,0.1,0.0984651621257172,0.00019941,0.9,1
30675,17.065,6,0,0.415628982193238,0.00015392,0.9,1
8777,17.157,6,0,0.255210778539714,0.0001517,0.9,1
29960,17.157,6,0.05,0.191857028470201,1.1843e-05,0.9,1
29957,17.065,6,0.1,0.137303210796847,0.00015392,0.9,1
8755,21.226,6,0,0.470718276396854,5.8354e-05,0.9,1
30004,21.226,6,0.05,0.217167165003088,8.7059e-06,0.9,1
30653,21.133,6,0,0.182666793825643,6.0388e-05,0.9,1
9697,21.226,5.9091,0,0.129447764774415,5.9172e-05,0.9,1
30976,5.1257,6,0,0.514099061823147,0.00048197,1,1
8911,5.0336,6,0,0.198981112783964,0.0004843,1,1
30058,5.0336,6,0.05,0.158954781168906,6.5864e-06,1,1
30057,5.1257,6,0.1,0.127965044223983,0.00048197,1,1
8900,7.0591,6,0,0.351827178957949,0.00042555,1,1
30965,7.1512,6,0,0.281049445691013,0.00042275,1,1
30080,7.0591,6,0.05,0.222760605041561,1.0671e-05,1,1
9524,7.0591,5.9091,0,0.144362770309477,0.00042537,1,1
30954,9.1767,6,0,0.543613514534861,0.00036253,1,1
8888,9.2688,6,0,0.184101669893335,0.00035986,1,1
30104,9.2688,6,0.05,0.148927097109941,1.281e-05,1,1
30101,9.1767,6,0.1,0.123357718461863,0.00036253,1,1
8878,11.11,6,0,0.700565323475553,0.00030773,1,1
30124,11.11,6,0.05,0.137392163651854,1.3256e-05,1,1
30944,11.018,6,0,0.0854347955457985,0.00031028,1,1
9612,11.11,5.9091,0,0.0766077173267937,0.000308,1,1
8856,15.161,6,0,0.364276673275194,0.00020076,1,1
30921,15.253,6,0,0.268052646372307,0.00019845,1,1
30168,15.161,6,0.05,0.224041737586664,1.2591e-05,1,1
9700,15.161,5.9091,0,0.143628942765835,0.00020123,1,1
30911,17.095,6,0,0.862846067696749,0.00015319,1,1
8845,17.187,6,0,0.0495888544653559,0.00015098,1,1
8846,17.003,6,0,0.0444766014276896,0.00015541,1,1
30187,17.095,6,0.1,0.0430884764102059,0.00015319,1,1
8823,21.238,6,0,0.3711286898621,5.8088e-05,1,1
30889,21.146,6,0,0.261164633606672,6.0113e-05,1,1
30234,21.238,6,0.05,0.224563760337209,8.6878e-06,1,1
9832,21.238,5.9091,0,0.143142916194019,5.8907e-05,1,1
30741,5.0556,6,0,0.333609160786848,0.0004828,1.1,1
8843,5.148,6,0,0.308588473727831,0.00048064,1.1,1
29828,5.148,6,0.05,0.213707339869008,6.9862e-06,1.1,1
9412,5.148,5.9091,0,0.144095025616312,0.0004804,1.1,1
30730,7.0886,6,0,0.727924688285278,0.0004246,1.1,1
8832,7.181,6,0,0.102448659832743,0.0004218,1.1,1
29850,7.181,6,0.05,0.0871772640875444,1.0855e-05,1.1,1
29847,7.0886,6,0.1,0.0824493877944346,0.0004246,1.1,1
8821,9.2141,6,0,0.623140899995624,0.00036144,1.1,1
29872,9.2141,6,0.05,0.169129441412388,1.2777e-05,1.1,1
30719,9.1217,6,0,0.112213112259757,0.00036413,1.1,1
9500,9.2141,5.9091,0,0.0955165463322304,0.00036156,1.1,1
8811,11.062,6,0,0.37289938314887,0.00030905,1.1,1
30708,11.155,6,0,0.25763957381195,0.0003065,1.1,1
29892,11.062,6,0.05,0.225635177216968,1.3251e-05,1.1,1
9540,11.062,5.9091,0,0.143825865822212,0.00030933,1.1,1
30686,15.221,6,0,0.575788063249036,0.00019927,1.1,1
8789,15.128,6,0,0.167938185114311,0.00020159,1.1,1
29936,15.128,6,0.05,0.137939381342576,1.2602e-05,1.1,1
29935,15.221,6,0.1,0.118334370294077,0.00019927,1.1,1
30676,17.069,6,0,0.457601967187928,0.00015381,1.1,1
8778,17.162,6,0,0.22880098359399,0.00015159,1.1,1
29958,17.162,6,0.05,0.17810166907434,1.1841e-05,1.1,1
29955,17.069,6,0.1,0.135495380143741,0.00015381,1.1,1
8756,21.228,6,0,0.451721384346697,5.8314e-05,1.1,1
30002,21.228,6,0.05,0.220712590210366,8.703e-06,1.1,1
30654,21.135,6,0,0.194587673257061,6.0346e-05,1.1,1
9760,21.228,5.9091,0,0.132978352185876,5.9131e-05,1.1,1
30977,5.1389,6,0,0.37944298664288,0.00047991,1.2,1
8912,5.0469,6,0,0.27797235744648,0.00048203,1.2,1
30056,5.0469,6,0.05,0.20237470770235,6.9485e-06,1.2,1
11614,5.0469,5.9091,0,0.14020994820829,0.00048188,1.2,1
8901,7.071,6,0,0.441311226410005,0.00042508,1.2,1
30078,7.071,6,0.05,0.221413825509298,1.0666e-05,1.2,1
30966,7.163,6,0,0.203143262950635,0.00042231,1.2,1
12681,7.071,5.9091,0,0.134131685130062,0.00042491,1.2,1
30955,9.1871,6,0,0.699849940490858,0.00036223,1.2,1
8889,9.2791,6,0,0.114134819624932,0.00035957,1.2,1
30102,9.2791,6,0.05,0.0964765305011861,1.2789e-05,1.2,1
30099,9.1871,6,0.1,0.0895387093830233,0.00036223,1.2,1
8879,11.119,6,0,0.549423087087723,0.00030748,1.2,1
30122,11.119,6,0.05,0.195164838630192,1.3244e-05,1.2,1
30945,11.027,6,0,0.143000529515983,0.00031003,1.2,1
14815,11.119,5.9091,0,0.112411544766102,0.00030776,1.2,1
8857,15.167,6,0,0.407928649781504,0.00020061,1.2,1
30922,15.259,6,0,0.228163482081172,0.0001983,1.2,1
30166,15.167,6,0.05,0.224704318287017,1.2586e-05,1.2,1
16949,15.167,5.9091,0,0.139203549850307,0.00020107,1.2,1
30912,17.1,6,0,1,0.00015308,1.2,1
8846,17.192,6,0,0,0.00015087,1.2,1
8847,17.008,6,0,0,0.00015529,1.2,1
30185,17.1,6,0.1,0,0.00015308,1.2,1
8824,21.24,6,0,0.357564505494234,5.8046e-05,1.2,1
30890,21.148,6,0,0.275049619610945,6.0069e-05,1.2,1
30232,21.24,6,0.05,0.223368775763492,8.6848e-06,1.2,1
20150,21.24,5.9091,0,0.144017099131329,5.8864e-05,1.2,1
30978,5.0683,6,0,0.448930573550512,0.0004804,1.3,1
8912,5.1607,6,0,0.234449739399522,0.00047849,1.3,1
30056,5.1607,6,0.05,0.180961630051385,7.2435e-06,1.3,1
30053,5.0683,6,0.1,0.13565805699858,0.0004804,1.3,1
30967,7.1,6,0,1,0.00042416,1.3,1
8902,7.0077,6,0,0,0.00042694,1.3,1
8901,7.1923,6,0,0,0.00042139,1.3,1
30075,7.1,6,0.1,0,0.00042416,1.3,1
8890,9.224,6,0,0.490340163767926,0.00036117,1.3,1
30100,9.224,6,0.05,0.212185422546993,1.2738e-05,1.3,1
30956,9.1317,6,0,0.172301082436762,0.00036385,1.3,1
9918,9.224,5.9091,0,0.12517333124832,0.00036129,1.3,1
8880,11.071,6,0,0.441311226410005,0.00030882,1.3,1
30120,11.071,6,0.05,0.221413825509298,1.3231e-05,1.3,1
30945,11.163,6,0,0.203143262950635,0.00030627,1.3,1
9958,11.071,5.9091,0,0.134131685130062,0.00030909,1.3,1
30923,15.227,6,0,0.501042189574886,0.00019912,1.3,1
8858,15.134,6,0,0.204971804826101,0.00020144,1.3,1
30164,15.134,6,0.05,0.16338141621984,1.2596e-05,1.3,1
30163,15.227,6,0.1,0.130604589379173,0.00019912,1.3,1
30913,17.074,6,0,0.510313631529032,0.0001537,1.3,1
8847,17.166,6,0,0.20103264272356,0.00015148,1.3,1
30186,17.166,6,0.05,0.160241541037599,1.1837e-05,1.3,1
30183,17.074,6,0.1,0.128412184709809,0.0001537,1.3,1
8825,21.23,6,0,0.434010457211489,5.8273e-05,1.3,1
30230,21.23,6,0.05,0.223296538046477,8.7001e-06,1.3,1
30891,21.137,6,0,0.206671646291197,6.0304e-05,1.3,1
10178,21.23,5.9091,0,0.136021358450837,5.909e-05,1.3,1
8913,5.0604,6,0,0.360045911910014,0.00047939,1.4,1
30978,5.1523,6,0,0.27261602507909,0.00047751,1.4,1
30054,5.0604,6,0.05,0.223539387908968,7.214e-06,1.4,1
9826,5.0604,5.9091,0,0.143798675101929,0.00047936,1.4,1
8902,7.0831,6,0,0.578595371073103,0.00042462,1.4,1
30076,7.0831,6,0.05,0.185268464897793,1.0589e-05,1.4,1
30967,7.175,6,0,0.130376823615137,0.00042187,1.4,1
9870,7.0831,5.9091,0,0.105759340413968,0.00042446,1.4,1
30956,9.1977,6,0,0.931919718017881,0.00036195,1.4,1
8890,9.2896,6,0,0.0239220463330477,0.00035928,1.4,1
8891,9.1057,6,0,0.0227297492199483,0.00036462,1.4,1
30097,9.1977,6,0.1,0.0214284864291234,0.00036195,1.4,1
8880,11.128,6,0,0.450352119174581,0.00030724,1.4,1
30120,11.128,6,0.05,0.220043562634298,1.3217e-05,1.4,1
30946,11.036,6,0,0.197029052138882,0.00030979,1.4,1
9958,11.128,5.9091,0,0.13257526605224,0.00030751,1.4,1
8858,15.174,6,0,0.469419075223647,0.00020045,1.4,1
30164,15.174,6,0.05,0.21656777498638,1.2579e-05,1.4,1
30923,15.266,6,0,0.184922665997191,0.00019814,1.4,1
10046,15.174,5.9091,0,0.129090483792782,0.00020091,1.4,1
30913,17.105,6,0,0.862446498018238,0.00015296,1.4,1
8848,17.013,6,0,0.0495658906906936,0.00015517,1.4,1
8847,17.196,6,0,0.0449190884384409,0.00015075,1.4,1
30183,17.105,6,0.1,0.0430685228526275,0.00015296,1.4,1
8825,21.242,6,0,0.344515122161422,5.8002e-05,1.4,1
30891,21.15,6,0,0.289392702615601,6.0024e-05,1.4,1
30230,21.242,6,0.05,0.221589400227379,8.6815e-06,1.4,1
10178,21.242,5.9091,0,0.144502774995598,5.8821e-05,1.4,1
30979,5.0813,6,0,0.606775581016133,0.00047755,1.5,1
8913,5.1736,6,0,0.154167165285347,0.00047594,1.5,1
30054,5.1736,6,0.05,0.127523574038522,7.4311e-06,1.5,1
30051,5.0813,6,0.1,0.111533679659998,0.00047755,1.5,1
30968,7.1116,6,0,0.724029299498733,0.00042372,1.5,1
8903,7.0193,6,0,0.104073604388919,0.00042647,1.5,1
30074,7.0193,6,0.05,0.0884691251327741,1.0425e-05,1.5,1
30073,7.1116,6,0.1,0.0834279709795747,0.00042372,1.5,1
8891,9.2342,6,0,0.399146687687958,0.0003609,1.5,1
30957,9.1419,6,0,0.234953816160557,0.00036358,1.5,1
30098,9.2342,6,0.05,0.225344470154164,1.2671e-05,1.5,1
10011,9.2342,5.9091,0,0.140555025997321,0.00036101,1.5,1
8881,11.08,6,0,0.536466085558841,0.00030859,1.5,1
30118,11.08,6,0.05,0.199238502356733,1.3197e-05,1.5,1
30946,11.172,6,0,0.149018357099673,0.00030604,1.5,1
10051,11.08,5.9091,0,0.115277054984753,0.00030886,1.5,1
30924,15.233,6,0,0.43746461715423,0.00019897,1.5,1
8859,15.14,6,0,0.240605539434841,0.00020129,1.5,1
30162,15.14,6,0.05,0.184838295382848,1.2588e-05,1.5,1
30161,15.233,6,0.1,0.137091548028082,0.00019897,1.5,1
30914,17.079,6,0,0.573684330250973,0.00015359,1.5,1
8848,17.171,6,0,0.169681280778468,0.00015137,1.5,1
30184,17.171,6,0.05,0.138732372063921,1.1832e-05,1.5,1
30181,17.079,6,0.1,0.117902016906638,0.00015359,1.5,1
8826,21.231,6,0,0.424103261226493,5.8231e-05,1.5,1
30228,21.231,6,0.05,0.223476832033857,8.6968e-06,1.5,1
30892,21.139,6,0,0.215527886852824,6.0261e-05,1.5,1
10271,21.231,5.9091,0,0.136892019886826,5.9049e-05,1.5,1
8914,5.0741,6,0,0.470278208633973,0.00047622,1.6,1
