Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
646	5.3929	2.719	0.	95.171
647	5.1149	2.7822	5.e-002	107.13
648	5.1308	2.3911	0.	41.405
649	5.7702	3.5024	0.	119.62
650	5.5701	3.3003	0.	58.027
651	5.4895	3.4886	5.e-002	195.59
652	5.2347	3.7443	0.	-75.921
653	6.2101	3.2857	0.	87.839
654	6.0509	3.5163	5.e-002	43.379
655	5.5988	3.7581	0.	-143.12
656	5.3105	3.2348	0.	194.82
657	6.01	3.0836	0.	52.937
658	5.6608	2.8839	0.	45.723
659	5.6507	3.112	5.e-002	44.012
660	4.3779	3.4599	0.	118.49
661	4.5903	3.5923	0.	252.72
662	4.2103	3.8269	5.e-002	96.504
663	4.5454	3.0928	5.e-002	64.088
664	4.7627	2.5464	0.	-139.07
665	6.7232	3.04	0.	15.912
666	7.0772	3.0249	5.e-002	10.251
667	4.9703	3.3577	5.e-002	42.881
668	6.3275	2.8061	0.	5.7571
669	6.3693	3.0552	5.e-002	54.294
670	5.9783	2.6065	0.	7.6113
671	6.2263	2.322	0.	22.474
672	6.2857	2.557	5.e-002	39.324
673	5.6532	2.4024	0.	-45.604
674	5.6709	2.6559	5.e-002	73.532
675	5.9012	2.1179	0.	-24.428
676	6.1134	1.883	0.	39.002
677	6.1668	2.0869	5.e-002	40.524
678	5.6435	1.8611	0.	44.445
679	5.6355	2.1489	5.e-002	75.831
680	5.3911	2.0744	0.	-85.824
681	5.8557	1.6262	0.	126.1
682	6.0599	1.6791	5.e-002	26.183
683	5.6515	1.5733	5.e-002	52.441
684	5.3991	1.5366	0.	400.84
685	5.8557	1.6262	0.1	976.92
686	5.6435	1.8611	0.1	1355.8
687	5.7617	1.3081	0.1	831.08
688	5.3991	1.5366	0.1	1166.2
689	6.1134	1.883	0.1	1048.1
690	6.211	1.5369	0.1	890.24
691	5.9012	2.1179	0.1	1417.5
692	5.6532	2.4024	0.1	1676.4
693	5.3911	2.0744	0.1	2814.8
694	6.2263	2.322	0.1	1197.6
695	6.3914	1.9324	0.1	1056.9
696	5.9783	2.6065	0.1	1468.7
697	5.6608	2.8839	0.1	1635.7
698	5.3929	2.719	0.1	1747.3
699	6.3275	2.8061	0.1	1232.9
700	6.5411	2.4123	0.1	1100.2
701	6.7232	3.04	0.1	1107.8
702	6.01	3.0836	0.1	1400.5
703	6.2101	3.2857	0.1	1129.
704	4.5903	3.5923	0.1	1578.5
705	5.3105	3.2348	0.1	1746.
706	5.0426	3.0699	0.1	1857.1
707	4.9323	3.5736	0.1	2242.1
708	7.4752	2.721	0.1	889.29
709	7.0812	3.3554	0.1	973.35
710	6.9368	2.6462	0.1	974.98
711	4.3779	3.4599	0.1	1410.9
712	4.8302	2.9375	0.1	1692.
713	3.7357	3.2319	0.1	1458.8
714	4.7627	2.5464	0.1	2206.1
715	3.8738	4.0257	0.1	1344.8
716	4.357	4.0308	0.1	1300.1
717	5.5701	3.3003	0.1	1726.4
718	5.7702	3.5024	0.1	1446.8
719	6.568	3.6011	0.1	993.96
720	5.5988	3.7581	0.1	1701.9
721	5.1919	3.639	0.1	2192.2
722	5.2347	3.7443	0.1	3312.7
723	5.1308	2.3911	0.1	2861.5
724	6.117	1.2188	0.1	726.54
725	6.6785	1.0543	0.1	798.22
726	6.4891	1.5863	0.1	897.66
727	5.9842	0.79682	0.1	593.04
728	5.5093	1.0215	0.1	653.98
729	2.3434	2.1826	0.1	1369.8
730	2.8062	1.5258	0.1	1374.5
731	3.0665	2.7039	0.1	1334.7
732	3.5626	1.6927	0.1	1218.
733	4.0935	2.0185	0.1	2084.6
734	4.1405	1.1536	0.1	872.57
735	4.2619	0.74372	0.1	686.36
736	4.6714	0.97944	0.1	785.84
737	5.9435	5.2833	0.1	575.43
738	6.0199	4.9067	0.1	715.96
739	5.4956	5.0395	0.1	668.39
740	9.8227	3.5711	0.1	589.39
741	9.1876	2.9712	0.1	643.01
742	8.6879	3.5984	0.1	694.7
743	9.279	4.1835	0.1	634.68
744	11.023	3.5604	0.1	495.61
745	10.42	2.9741	0.1	542.31
746	10.482	4.1688	0.1	537.73
747	12.208	3.5521	0.1	410.14
748	11.617	2.966	0.1	450.08
749	11.65	4.1528	0.1	448.3
750	13.38	3.5337	0.1	334.29
751	12.801	2.9538	0.1	369.72
752	12.822	4.1531	0.1	369.18
753	14.523	3.5177	0.1	267.2
754	13.962	2.9353	0.1	298.02
755	13.973	4.1161	0.1	297.83
756	15.647	3.5182	0.1	208.63
757	15.093	2.9361	0.1	235.48
758	15.095	4.0964	0.1	235.51
759	16.761	3.5223	0.1	157.82
