Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
213	1.	6.	5.e-002	3.6335e-006
214	2.	6.	5.e-002	4.5788e-006
215	21.271	0.	0.1	168.59
216	24.	0.	5.e-002	-4.9989e-005
217	15.813	0.	0.1	47.076
218	18.542	0.	5.e-002	1.4545e-005
219	10.354	0.	0.1	216.24
220	13.083	0.	5.e-002	8.4357e-005
221	6.2604	0.	0.1	63.943
222	7.625	0.	5.e-002	2.4564e-005
223	3.5313	0.	0.1	108.34
224	4.8958	0.	5.e-002	-2.7795e-006
225	2.1667	0.	5.e-002	-1.3853e-013
226	1.	1.8804e-030	0.1	1837.7
227	2.	3.7609e-030	5.e-002	4.0887e-006
228	0.	0.	5.e-002	1.2445e-005
229	1.	1.8804e-030	0.	-1837.7
230	2.	0.5	0.	-1911.1
231	1.3113e-014	1.5	0.	-3105.2
232	6.2604	0.	0.	-63.943
233	3.5313	0.	0.	-108.34
234	10.354	0.	0.	-216.24
235	15.813	0.	0.	-47.076
236	21.271	0.	0.	-168.59
237	2.1667	0.5	0.	-666.39
238	24.	1.5	0.	-260.06
239	1.5	6.	0.	-1066.8
240	0.5	6.	0.	-829.48
241	2.	5.5	0.	-1888.8
242	3.9339e-014	4.5	0.	-2689.1
243	1.	2.	0.	-3209.6
244	24.	4.5	0.	-140.82
245	20.589	6.	0.	-79.123
246	13.766	6.	0.	-145.9
247	7.9661	6.	0.	-296.56
248	3.8724	6.	0.	-222.97
249	2.1667	5.5	0.	-503.09
250	2.	4.75	0.	-1855.2
251	2.	4.25	0.	-2930.3
252	2.0833	4.	0.	-4678.4
253	2.1667	4.75	0.	-1215.5
254	2.1667	4.25	0.	-2763.8
255	2.	1.25	0.	-3251.9
256	2.	1.75	0.	-5703.
257	2.0833	2.	0.	-3010.2
258	2.1667	1.25	0.	-718.69
259	2.1667	1.75	0.	208.04
