Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
963	8.4281	0.	5.e-002	2.0181e-006
964	6.7596	0.	0.1	8.6651e-005
965	7.3158	0.	5.e-002	2.6528e-006
966	5.6474	0.	0.1	9.443e-005
967	6.2035	0.	5.e-002	2.7465e-006
968	4.5351	0.	0.1	8.3759e-005
969	5.0912	0.	5.e-002	3.3627e-006
970	3.4228	0.	0.1	5.5178e-005
971	3.9789	0.	5.e-002	2.1159e-006
972	2.8667	0.	5.e-002	6.249e-006
973	2.25	6.5714e-031	0.1	6.801e-005
974	2.7	7.8857e-031	5.e-002	8.9243e-006
975	1.35	3.9428e-031	0.1	1.1624e-004
976	1.8	0.	5.e-002	1.9584e-006
977	0.45	1.3143e-031	0.1	9.671e-005
978	0.9	0.	5.e-002	4.8352e-006
979	0.	0.	5.e-002	3.6884e-005
980	0.45	6.	0.1	9.0402e-005
981	5.2451e-014	6.	5.e-002	2.9733e-005
982	1.35	6.	0.1	1.0938e-004
983	0.9	6.	5.e-002	4.3147e-006
984	2.25	6.	0.1	6.8354e-005
985	1.8	6.	5.e-002	4.7855e-006
986	2.7	6.	5.e-002	1.5888e-005
987	1.35	6.	0.	1.0938e-004
988	2.25	6.	0.	6.8354e-005
989	0.45	6.	0.	9.0402e-005
990	2.7	5.75	0.	4.6071e-005
991	4.7206e-014	5.4	0.	7.8067e-005
992	1.35	3.9428e-031	0.	1.1624e-004
993	0.45	1.3143e-031	0.	9.671e-005
994	2.25	6.5714e-031	0.	6.801e-005
995	2.7	0.25	0.	4.9973e-005
996	5.2451e-015	0.6	0.	7.4217e-005
997	4.5351	0.	0.	8.3759e-005
998	3.4228	0.	0.	5.5178e-005
999	5.6474	0.	0.	9.443e-005
1000	6.7596	0.	0.	8.6651e-005
1001	7.8719	0.	0.	7.6591e-005
1002	8.9842	0.	0.	6.75e-005
1003	10.096	0.	0.	5.7779e-005
1004	11.209	0.	0.	4.8861e-005
1005	12.321	0.	0.	4.0898e-005
1006	13.433	0.	0.	3.3648e-005
1007	14.546	0.	0.	2.7129e-005
1008	15.658	0.	0.	2.1329e-005
1009	16.77	0.	0.	1.6254e-005
1010	17.882	0.	0.	1.1901e-005
1011	18.995	0.	0.	8.2669e-006
1012	20.107	0.	0.	5.3432e-006
1013	21.219	0.	0.	3.1176e-006
1014	22.332	0.	0.	1.5848e-006
1015	23.444	0.	0.	7.1875e-007
1016	2.8667	0.25	0.	3.8756e-005
1017	24.	0.6	0.	6.279e-007
1018	3.6716e-014	4.2	0.	1.0184e-004
1019	2.6226e-014	3.	0.	1.0743e-004
1020	1.5735e-014	1.8	0.	1.0057e-004
1021	24.	1.8	0.	1.0329e-006
1022	24.	3.	0.	1.2389e-006
