Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
253,3.937e-14,6,0.1,7.5455e-05,754.03,9.8287e-05,1427,9.6748e-07,695.73,-4.8497e-06,652.02,0
254,1.176,6,0.1,0.00014283,1427.3,0.00013809,1313.5,-3.5278e-05,10.86,-6.4974e-05,-212.26,0.0013266
255,2.352,6,0.1,0.00014174,1416.5,0.0001421,1429.1,-4.1789e-05,47.468,-5.0742e-05,-19.799,0.0061313
256,3.528,6,0.1,0.00011144,1113.6,0.00011148,1116.4,-3.3427e-05,27.566,-3.9833e-05,-20.565,0.014743
257,4.704,6,0.1,7.6335e-05,762.83,7.7539e-05,804.47,-1.8176e-05,85.304,-2.894e-05,4.429,0.026487
258,5.88,6,0.1,4.1574e-05,415.45,4.4966e-05,519.95,-6.5207e-06,133.1,-1.3475e-05,80.845,0.040321
259,4.704,6,0,7.6335e-05,762.83,2.894e-05,-4.429,1.8176e-05,-85.304,-7.7539e-05,-804.47,0.026487
260,3.528,6,0,0.00011144,1113.6,3.9833e-05,20.565,3.3427e-05,-27.566,-0.00011148,-1116.4,0.014743
261,2.352,6,0,0.00014174,1416.5,5.0742e-05,19.799,4.1789e-05,-47.468,-0.0001421,-1429.1,0.0061313
262,1.176,6,0,0.00014283,1427.3,6.4974e-05,212.26,3.5278e-05,-10.86,-0.00013809,-1313.5,0.0013266
263,5.88,6,0,4.1574e-05,415.45,1.3475e-05,-80.845,6.5207e-06,-133.1,-4.4966e-05,-519.95,0.040321
264,3.937e-14,6,0,7.5455e-05,754.03,4.8497e-06,-652.02,-9.6748e-07,-695.73,-9.8287e-05,-1427,0
265,1.176,-4.8527e-32,0,0.00014023,1401.4,6.4032e-05,181.71,3.1513e-05,-62.627,-0.0001366,-1325.8,0.001313
266,2.352,-9.7055e-32,0,0.00013837,1382.7,4.9036e-05,-20.78,3.79e-05,-104.45,-0.00014031,-1443.4,0.0060721
267,3.528,-1.4558e-31,0,0.00011303,1129.5,4.024e-05,31.157,3.5144e-05,-7.1363,-0.00011257,-1117,0.014632
268,4.704,-1.9411e-31,0,7.0598e-05,705.5,2.8917e-05,21.658,1.5302e-05,-80.638,-7.1043e-05,-729.4,0.026237
269,5.88,0,0,5.1021e-05,509.86,2.4047e-05,-14.364,1.4372e-06,-184.24,-5.2229e-05,-587.47,0.039798
270,0,0,0,7.7275e-05,772.21,7.1198e-06,-617.38,-5.7571e-08,-671.31,-9.9056e-05,-1415.1,0
271,7.1688,0,0,4.795e-05,479.17,1.8509e-05,16.442,1.2661e-05,-27.499,-4.7986e-05,-483.18,0.066246
272,8.2908,0,0,6.2872e-05,628.29,2.4793e-05,49.762,1.8348e-05,1.3334,-6.1862e-05,-601.34,0.089809
273,9.4129,0,0,6.1145e-05,611.03,2.1171e-05,6.7731,1.911e-05,-8.7119,-6.1163e-05,-611.85,0.1149
274,10.535,0,0,5.3419e-05,533.82,1.7689e-05,-2.6111,1.7287e-05,-5.6291,-5.3559e-05,-537.94,0.14152
275,11.657,0,0,4.5441e-05,454.1,1.5183e-05,2.1954,1.4879e-05,-0.090903,-4.5405e-05,-453.04,0.16949
276,12.779,0,0,3.7709e-05,376.83,1.2868e-05,4.7761,1.2162e-05,-0.52901,-3.7634e-05,-374.68,0.19858
277,13.901,0,0,3.0692e-05,306.71,1.0697e-05,6.6001,9.767e-06,-0.38793,-3.058e-05,-303.54,0.22862
278,15.023,0,0,2.4425e-05,244.09,8.7666e-06,8.4678,7.6333e-06,-0.047934,-2.4271e-05,-239.76,0.2594
279,16.145,0,0,1.8898e-05,188.85,7.0087e-06,9.4024,5.7783e-06,0.15733,-1.8719e-05,-183.9,0.29078
280,17.267,0,0,1.4104e-05,140.95,5.4808e-06,10.14,4.1644e-06,0.24878,-1.3902e-05,-135.49,0.32261
281,18.39,0,0,1.0053e-05,100.46,4.1624e-06,10.452,2.8133e-06,0.31527,-9.831e-06,-94.689,0.35478
282,19.512,0,0,6.7151e-06,67.104,3.0394e-06,10.262,1.7158e-06,0.31677,-6.4796e-06,-61.26,0.38717
283,20.634,0,0,4.1171e-06,41.143,2.1557e-06,10.093,8.5932e-07,0.35291,-3.852e-06,-35.046,0.41971
284,21.756,0,0,2.2206e-06,22.19,1.4375e-06,9.1486,2.5905e-07,0.29408,-1.9231e-06,-16.102,0.45233
285,22.878,0,0,1.0151e-06,10.144,8.7696e-07,7.5052,-8.4956e-08,0.27773,-6.6639e-07,-4.0909,0.48498
286,6.0467,0,0,3.2501e-05,324.78,1.4739e-05,-24.058,5.6944e-07,-130.52,-3.3793e-05,-388.71,0.043858
287,24,0,0,4.5872e-07,4.5841,4.75e-07,5.0931,-1.0379e-07,0.74436,-1.6221e-07,0.3054,0.51764
288,4.1961e-14,4.8,0,9.8566e-05,984.98,7.1581e-07,-959.37,-1.5245e-06,-976.2,-0.00013148,-1952.7,0
289,3.1471e-14,3.6,0,0.00010395,1038.8,1.1127e-08,-1015.5,-6.8589e-07,-1020.8,-0.00013859,-2057,0
290,2.0981e-14,2.4,0,0.00010351,1034.3,2.4232e-08,-1011.5,-7.386e-07,-1017.3,-0.00013802,-2048.7,0
291,1.049e-14,1.2,0,9.8875e-05,988.06,3.5559e-07,-962.23,-8.982e-07,-971.65,-0.00013177,-1955,0
292,24,1.2,0,8.2303e-07,8.2246,7.6521e-07,6.7399,-2.114e-07,-0.59792,-4.18e-07,-2.1502,0.51773
293,24,2.4,0,1.2311e-06,12.302,1.1471e-06,10.02,-3.5991e-07,-1.3031,-5.9507e-07,-3.07,0.5178
294,24,3.6,0,1.2302e-06,12.294,1.1458e-06,10.004,-3.5802e-07,-1.2954,-5.9656e-07,-3.0877,0.51783
295,24,4.8,0,8.2481e-07,8.2424,7.649e-07,6.7143,-2.0853e-07,-0.59975,-4.2376e-07,-2.2169,0.51783
296,24,6,0,4.5938e-07,4.5906,4.7547e-07,5.0958,-1.033e-07,0.74721,-1.6328e-07,0.2965,0.51781
297,22.878,6,0,1.0201e-06,10.194,8.8374e-07,7.5876,-8.7314e-08,0.29145,-6.665e-07,-4.0603,0.48515
298,21.756,6,0,2.2147e-06,22.132,1.4397e-06,9.1974,2.5246e-07,0.27708,-1.9143e-06,-16.003,0.4525
299,20.634,6,0,4.1112e-06,41.084,2.1507e-06,10.078,8.6174e-07,0.3927,-3.8465e-06,-34.983,0.41988
300,19.512,6,0,6.7376e-06,67.33,3.0677e-06,10.569,1.7141e-06,0.398,-6.4932e-06,-61.268,0.38734
301,18.39,6,0,1.0084e-05,100.77,4.2007e-06,10.796,2.8054e-06,0.31287,-9.8537e-06,-94.803,0.35495
302,17.267,6,0,1.4135e-05,141.26,5.5416e-06,10.734,4.1404e-06,0.20556,-1.392e-05,-135.49,0.32279
303,16.145,6,0,1.892e-05,189.07,7.0907e-06,10.246,5.733e-06,0.044068,-1.8724e-05,-183.72,0.29095
304,15.023,6,0,2.4398e-05,243.81,8.7672e-06,8.6288,7.6227e-06,0.029269,-2.424e-05,-239.37,0.25957
305,13.901,6,0,3.0662e-05,306.41,1.0701e-05,6.8687,9.7587e-06,-0.20866,-3.0542e-05,-303.02,0.22879
306,12.779,6,0,3.7701e-05,376.75,1.2921e-05,5.638,1.2144e-05,-0.19676,-3.7605e-05,-373.99,0.19876
307,11.657,6,0,4.5293e-05,452.62,1.5254e-05,2.8706,1.4689e-05,-1.3742,-4.5266e-05,-451.86,0.16966
308,10.535,6,0,5.324e-05,532.03,1.7635e-05,1.4927,1.7594e-05,1.1853,-5.3194e-05,-530.69,0.14169
309,9.4129,6,0,6.0104e-05,600.63,2.0391e-05,8.8237,1.97e-05,3.628,-5.9891e-05,-594.39,0.11505
310,8.2908,6,0,6.2981e-05,629.38,2.2964e-05,35.636,2.0344e-05,15.952,-6.2081e-05,-603.35,0.089911
311,7.1688,6,0,5.0496e-05,504.61,1.8135e-05,20.032,1.5995e-05,3.9541,-5.0069e-05,-492.43,0.066325
312,6.0467,6,0,2.9866e-05,298.46,1.0594e-05,-55.044,3.2352e-06,-110.34,-3.2293e-05,-377.28,0.04395
313,5.88,1.5,0,0.0001744,1742.8,9.3512e-05,422.94,3.133e-05,-44.272,-0.00016319,-1505.8,0.043483
