Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
72,2.55,1.0919e-30,0,0.00010821,1081.3,6.9574e-05,323.55,-8.952e-07,-205.92,-9.5993e-05,-920.46,0.007736
73,5.1,0,0,0.00010779,1077.1,5.102e-05,78.298,1.4283e-05,-197.73,-0.00010713,-1110,0.028063
74,0,0,0,9.495e-05,948.85,5.8723e-06,-814.31,-2.321e-07,-860.18,-0.00012335,-1785.3,0
75,8.3889,0,0,5.0529e-05,504.94,2.0258e-05,39.825,1.4131e-05,-6.2085,-4.9799e-05,-486.56,0.090994
76,11.511,0,0,4.6172e-05,461.4,1.7305e-05,17.066,1.324e-05,-13.478,-4.6035e-05,-458.85,0.15961
77,14.633,0,0,2.6841e-05,268.22,9.7658e-06,0.6641,7.345e-06,-17.524,-2.7081e-05,-276.19,0.23716
78,17.756,0,0,1.3326e-05,133.17,5.6845e-06,12.562,3.2946e-06,-5.3952,-1.3113e-05,-128.68,0.31991
79,20.878,0,0,5.3029e-06,52.992,3.0038e-06,12.391,5.4888e-07,-6.0544,-4.9484e-06,-47.359,0.40511
80,5.2667,0,0,6.3814e-05,637.7,3.122e-05,63.614,8.1424e-06,-109.78,-6.2805e-05,-642.85,0.031902
81,24,0,0,2.4678e-06,24.661,1.1756e-06,1.4194,2.717e-07,-5.3719,-2.4638e-06,-25.925,0.49109
82,2.6226e-14,3,0,9.4297e-05,942.32,1.9413e-06,-894.02,-1.4157e-06,-919.24,-0.00012512,-1848.7,0
83,24,3,0,1.3465e-06,13.456,3.4318e-07,-5.1397,1.3936e-07,-6.6712,-1.5409e-06,-19.296,0.48904
84,24,6,0,2.4364e-06,24.347,1.5114e-06,4.9118,-1.7091e-07,-7.7283,-2.2241e-06,-23.155,0.48692
85,20.878,6,0,5.0694e-06,50.659,2.9185e-06,11.851,4.1666e-07,-6.947,-4.7171e-06,-45.52,0.40093
86,17.756,6,0,1.3111e-05,131.02,4.9836e-06,5.3085,3.6793e-06,-4.4913,-1.3069e-05,-130.33,0.31575
87,14.633,6,0,2.6332e-05,263.14,9.3456e-06,-3.9524,7.1888e-06,-20.157,-2.6705e-05,-274.82,0.23305
88,11.511,6,0,4.4394e-05,443.63,1.8793e-05,19.456,9.0351e-06,-53.859,-4.4522e-05,-456.27,0.15552
89,8.3889,6,0,5.1174e-05,511.39,2.3658e-05,17.111,5.8511e-06,-116.68,-5.1537e-05,-547.87,0.086633
90,5.2667,6,0,7.5144e-05,750.92,4.0143e-05,191.91,1.4835e-05,1.7598,-7.002e-05,-635.81,0.027951
91,5.1,1.5,0,0.00014738,1472.8,5.2077e-05,-141.74,2.9206e-05,-313.58,-0.00015437,-1692.9,0.030602
92,5.1,1,0,8.8711e-05,886.5,3.6865e-05,-50.77,1.0322e-05,-250.21,-9.2131e-05,-1020,0.029783
93,5.1,2,0,0.00043002,4297.2,0.00015216,-348.7,9.1094e-05,-807.55,-0.00044785,-4856.9,0.03145
94,5.2667,1,0,0.00011659,1165.1,4.358e-05,-15.619,2.805e-05,-132.3,-0.00011867,-1234.7,0.032952
95,5.2667,1.5,0,0.00014856,1484.6,6.936e-05,-53.279,4.4007e-06,-541.36,-0.00015253,-1720.5,0.033392
96,5.2667,2,0,0.00026672,2665.4,7.7504e-05,-546.01,5.5498e-05,-711.35,-0.00028773,-3290.2,0.033801
97,5.1,4.5,0,0.00017896,1788.3,0.00011668,992.3,4.7453e-05,472.18,-0.00014827,-998.42,0.029563
98,5.1,5,0,0.00013619,1361,5.9327e-05,30.262,2.1451e-05,-254.32,-0.00013775,-1450.5,0.028838
99,5.1,4,0,0.00039437,3940.9,0.00017091,-92.757,4.5282e-05,-1036.7,-0.000405,-4419.9,0.030471
100,5.2667,5,0,8.8037e-05,879.76,3.2155e-05,-177.29,6.1532e-06,-372.66,-9.5749e-05,-1138.3,0.030362
101,5.2667,4.5,0,0.00017531,1751.9,5.8091e-05,-95.53,4.8622e-05,-166.67,-0.00017966,-1881.9,0.031496
102,5.2667,4,0,0.00035661,3563.7,0.00013277,-265.95,6.5535e-05,-771.09,-0.00037156,-4055.2,0.032715
103,4.9067,2.7667,0,0.00019832,1981.8,9.3064e-05,345.03,4.8507e-05,10.245,-0.00019014,-1782.9,0.029399
104,5.4424,2.9342,0,0.00018437,1842.4,9.3415e-05,423.13,4.1844e-05,35.646,-0.00017348,-1582.2,0.036729
105,5.1342,2.8975,0,0.00021962,2194.7,9.4281e-05,311.24,6.332e-05,78.616,-0.00021206,-1990.5,0.032347
106,5.1546,2.6656,0.05,7.0859e-06,70.81,5.4411e-06,40.882,-6.4315e-14,-5.3951e-07,-5.4411e-06,-40.882,0.032656
107,5.1273,2.3328,0,0.00032299,3227.7,0.00011432,-39.465,8.9571e-05,-225.45,-0.0003271,-3356.1,0.032165
108,5.2336,3.4389,0,0.00020894,2087.9,7.8984e-05,149.98,6.5571e-05,49.203,-0.00020537,-1986.5,0.033238
109,5.3282,3.3555,0,0.00019199,1918.6,7.7104e-05,163.8,5.4649e-05,-4.9245,-0.00018873,-1833.6,0.03469
110,5.2829,3.4468,0.05,2.5081e-05,250.64,1.9259e-05,144.7,-4.0851e-21,7.6269e-06,-1.9259e-05,-144.7,0.033914
111,5.2748,3.7234,0,0.00027434,2741.5,9.9118e-05,-90.282,6.7088e-05,-330.95,-0.00028071,-2944.1,0.033368
112,4.2801,2.4354,0,0.00014888,1487.7,6.8898e-05,218.93,3.4274e-05,-41.22,-0.00014414,-1381.7,0.022306
113,4.8141,3.0717,0,0.00019172,1915.9,8.0122e-05,166.07,4.9069e-05,-67.249,-0.00018897,-1855.8,0.028094
114,4.6589,2.8677,0.05,2.897e-06,28.95,2.2245e-06,16.714,-9.4883e-14,-1.5284e-06,-2.2245e-06,-16.714,0.026344
115,4.8794,2.4339,0,0.0003014,3011.9,9.8717e-05,-206.03,8.1705e-05,-333.86,-0.00031038,-3279.8,0.029041
116,4.8794,3.6839,0,0.00013618,1360.9,7.4249e-05,413.94,3.0692e-05,86.667,-0.00012468,-1080.7,0.028229
117,4.8794,3.4339,0,0.00026773,2675.5,0.00010478,-102.97,4.9043e-05,-521.72,-0.00027589,-2963.1,0.028542
118,3.9014,2.0031,0.05,1.0041e-05,100.34,7.71e-06,57.93,7.6669e-13,3.2157e-06,-7.71e-06,-57.93,0.018486
119,3.2257,1.0016,0,0.00010983,1097.5,5.0346e-05,181.7,2.8222e-05,15.461,-0.00010552,-989.45,0.012572
120,4.5007,1.7516,0,0.00012785,1277.6,5.0507e-05,15.989,2.8935e-05,-146.09,-0.00012929,-1334.9,0.024371
121,4.5007,1.5016,0,0.00010067,1006,3.6076e-05,10.197,2.9248e-05,-41.105,-0.0001011,-1020.5,0.024154
122,4.5007,3.5016,0,0.00011102,1109.4,4.5857e-05,39.818,2.39e-05,-125.16,-0.00011154,-1142.8,0.024069
