Strain 1 (in/in),Strain 2 (in/in),Strain 3 (in/in),Strain 4 (in/in),Strain 5 (in/in),Strain 6 (in/in),Strain 7 (in/in),CutLocation
0.000360302241269313,0.00037136807258152,0.000320781938956141,0.000243246954266327,0.000177445214152791,0.000126624194933994,4.80708249808981e-05,2.2
0.000371475976493111,0.000330527817072388,0.000322841497367779,0.000253263719525848,0.000157854407549169,0.000153117825982134,4.76550782589673e-05,2.3
0.000364243511353831,0.000400698393177886,0.000294580633470545,0.000241869562461334,0.000172070418750177,0.000129021099128916,4.78910224198436e-05,2.4
0.000375830794473665,0.00040232028103957,0.000284390018039377,0.000244788384142105,0.000167021035680029,0.000131670644231129,4.77591784886236e-05,2.5
0.000375830794473665,0.00040232028103957,0.000284390018039377,0.000244788384142105,0.000167021035680029,0.000131670644231129,4.77591784886236e-05,2.6
0.000344612359400792,0.000379374925348091,0.000342397613282795,0.000241575616820557,0.000161916153223402,0.000142910736727264,4.78904366403251e-05,2.7
0.000395130799028173,0.000370379601092247,0.00028353873787004,0.000256665732065371,0.00016319771981941,0.000134866810595118,4.76701797677217e-05,2.8
0.000357458366132942,0.000380001577030517,0.000318296928492677,0.000244117146936912,0.000168353977557814,0.000138520847223805,4.8024511570018e-05,2.9
0.000417173072832357,0.000347616816590977,0.000289048315858087,0.000280171614161223,0.000160547890779691,0.000138573763654648,4.75746194733481e-05,3
0.000397373353565248,0.000338352354202217,0.000300705767787783,0.00025148048554679,0.000179846206471388,0.000134660734291248,4.81824357392659e-05,3.1
0.000352764582928048,0.000332444487272168,0.000300552803966964,0.000288106721961491,0.000158736822921529,0.000143907468852832,4.75727791262891e-05,3.2
0.000304148399717064,0.000352773652151153,0.000354138656444983,0.000245561508825552,0.000181614283144936,0.000125360601013261,4.81847687520339e-05,3.3
0.00031017324995937,0.000325476090327746,0.000317229536680403,0.000258478979738348,0.000157842285636318,0.000153155992672534,4.76646014205889e-05,3.4
0.000286922423737404,0.000375375558830189,0.000307694461777642,0.000242219208431675,0.000174818008762816,0.000127540262358625,4.79773626848728e-05,3.5
0.000274267192625799,0.000330763908117728,0.000341636624452045,0.000245530891046664,0.000158503402700373,0.000153032174017866,4.77287782218454e-05,3.6
0.000270929496470093,0.000413489652748777,0.000288219605739126,0.000242391621740649,0.000169730006010018,0.000130081173365301,4.78202540966285e-05,3.7
0.000245933117862428,0.00036073876598192,0.000361892286301419,0.000241605776874359,0.000161299548036378,0.000143742539519391,4.78210776262076e-05,3.8
0.000257033771014132,0.000373442607205455,0.000282631188709036,0.000249347188265105,0.000164962380924651,0.000133545091706009,4.77077278342527e-05,3.9
0.000226875208637626,0.000375701578180622,0.00032027167819924,0.000243704994435182,0.000167185322266457,0.000139252150343815,4.80200878426153e-05,4
