Node Number	X Location (m)	Y Location (m)	Z Location (m)	Middle Principal Stress (Pa)
171	0.10634	1.27e-002	2.54e-003	1.2807e+006
172	0.10634	2.54e-002	2.54e-003	9.5718e+005
173	0.10634	3.81e-002	2.54e-003	-2.1311e+005
174	0.10634	5.08e-002	2.54e-003	6.1188e+006
175	0.10211	5.08e-002	2.54e-003	4.6545e+006
176	0.10211	3.81e-002	2.54e-003	1.712e+005
177	0.10211	2.54e-002	2.54e-003	5.4217e+005
178	0.10211	1.27e-002	2.54e-003	1.6546e+006
179	0.10634	0.1397	2.54e-003	1.3832e+006
180	0.10634	0.127	2.54e-003	4.4295e+005
181	0.10634	0.1143	2.54e-003	-60102
182	0.10634	0.1016	2.54e-003	4.3706e+006
183	0.10211	0.1016	2.54e-003	6.4232e+005
184	0.10211	0.1143	2.54e-003	2.0096e+005
185	0.10211	0.127	2.54e-003	3.6443e+005
186	0.10211	0.1397	2.54e-003	5.9987e+005
187	0.10634	0.1524	2.54e-003	1.0079e+006
188	0.13594	0.1524	2.54e-003	1.1976e+005
189	0.16555	0.1524	2.54e-003	21864
190	0.19515	0.1524	2.54e-003	69017
191	0.22476	0.1524	2.54e-003	42097
192	0.25436	0.1524	2.54e-003	19377
193	0.28396	0.1524	2.54e-003	6235.6
194	0.31357	0.1524	2.54e-003	-3885.3
195	0.34317	0.1524	2.54e-003	5689.4
196	0.37277	0.1524	2.54e-003	-8678.6
197	0.40238	0.1524	2.54e-003	-16407
198	0.43198	0.1524	2.54e-003	7249.2
199	0.46158	0.1524	2.54e-003	4058.8
200	0.49119	0.1524	2.54e-003	-496.65
201	0.52079	0.1524	2.54e-003	-1636.1
202	0.55039	0.1524	2.54e-003	-1730.4
203	0.58	0.1524	2.54e-003	-1923.7
204	0.6096	0.1524	2.54e-003	-4621.4
205	0.6096	0.12192	2.54e-003	4494.8
206	0.6096	9.144e-002	2.54e-003	9166.7
207	0.6096	6.096e-002	2.54e-003	9103.7
208	0.6096	3.048e-002	2.54e-003	4090.4
209	2.6645e-016	3.048e-002	2.54e-003	6.9355e+006
210	5.3291e-016	6.096e-002	2.54e-003	7.1759e+006
211	7.9936e-016	9.144e-002	2.54e-003	7.0631e+006
212	1.0658e-015	0.12192	2.54e-003	6.6745e+006
213	1.e-015	0.1524	2.54e-003	4.2874e+006
214	2.5527e-002	0.1524	2.54e-003	6.1074e+005
215	5.1054e-002	0.1524	2.54e-003	5.4081e+005
216	7.6581e-002	0.1524	2.54e-003	11912
217	8.9345e-002	0.1524	2.54e-003	5.595e+005
218	0.10211	0.1524	2.54e-003	1.3803e+006
219	0.6096	0.	2.54e-003	-5829.7
220	0.58164	0.	2.54e-003	-2435.7
221	0.55368	0.	2.54e-003	-2690.2
222	0.52572	0.	2.54e-003	-3272.9
223	0.49776	0.	2.54e-003	-3022.
224	0.46981	0.	2.54e-003	341.88
225	0.44185	0.	2.54e-003	-13887
226	0.41389	0.	2.54e-003	4772.2
227	0.38593	0.	2.54e-003	-6692.6
228	0.35797	0.	2.54e-003	12249
229	0.33001	0.	2.54e-003	29408
230	0.30205	0.	2.54e-003	12169
231	0.27409	0.	2.54e-003	23470
232	0.24614	0.	2.54e-003	43722
233	0.21818	0.	2.54e-003	1.3912e+005
234	0.19022	0.	2.54e-003	-41686
235	0.16226	0.	2.54e-003	-16947
236	0.1343	0.	2.54e-003	3.2498e+005
237	0.10634	0.	2.54e-003	9.2363e+005
238	0.10211	0.	2.54e-003	1.5059e+006
239	7.6581e-002	3.9289e-032	2.54e-003	3.3959e+005
240	5.1054e-002	2.6193e-032	2.54e-003	3.9391e+005
241	2.5527e-002	1.3096e-032	2.54e-003	-6.8073e+005
242	0.	0.	2.54e-003	4.8191e+006
243	2.5527e-002	1.3096e-032	0.	6.8073e+005
244	5.1054e-002	2.6193e-032	0.	-3.9391e+005
245	7.6581e-002	3.9289e-032	0.	-3.3959e+005
246	0.10211	0.	0.	-1.5059e+006
247	0.	0.	0.	-4.8191e+006
248	0.1343	0.	0.	-3.2498e+005
249	0.16226	0.	0.	16947
250	0.19022	0.	0.	41686
251	0.21818	0.	0.	-1.3912e+005
252	0.24614	0.	0.	-43722
253	0.27409	0.	0.	-23470
254	0.30205	0.	0.	-12169
255	0.33001	0.	0.	-29408
256	0.35797	0.	0.	-12249
257	0.38593	0.	0.	6692.6
258	0.41389	0.	0.	-4772.2
259	0.44185	0.	0.	13887
260	0.46981	0.	0.	-341.88
261	0.49776	0.	0.	3022.1
262	0.52572	0.	0.	3272.9
263	0.55368	0.	0.	2690.2
264	0.58164	0.	0.	2435.7
265	0.10634	0.	0.	-9.2363e+005
266	0.6096	0.	0.	5829.8
267	8.9345e-002	0.1524	0.	-5.595e+005
268	7.6581e-002	0.1524	0.	-11912
269	5.1054e-002	0.1524	0.	-5.4081e+005
270	2.5527e-002	0.1524	0.	-6.1074e+005
271	0.10211	0.1524	0.	-1.3803e+006
272	1.e-015	0.1524	0.	-4.2874e+006
273	1.0658e-015	0.12192	0.	-6.6745e+006
274	7.9936e-016	9.144e-002	0.	-7.0631e+006
275	5.3291e-016	6.096e-002	0.	-7.1759e+006
276	2.6645e-016	3.048e-002	0.	-6.9355e+006
277	0.6096	3.048e-002	0.	-4090.4
278	0.6096	6.096e-002	0.	-9103.7
279	0.6096	9.144e-002	0.	-9166.7
280	0.6096	0.12192	0.	-4494.8
281	0.6096	0.1524	0.	4621.5
282	0.58	0.1524	0.	1923.7
283	0.55039	0.1524	0.	1730.4
284	0.52079	0.1524	0.	1636.1
285	0.49119	0.1524	0.	496.65
286	0.46158	0.1524	0.	-4058.8
287	0.43198	0.1524	0.	-7249.2
288	0.40238	0.1524	0.	16407
289	0.37277	0.1524	0.	8678.6
290	0.34317	0.1524	0.	-5689.4
291	0.31357	0.1524	0.	3885.3
292	0.28396	0.1524	0.	-6235.6
293	0.25436	0.1524	0.	-19377
294	0.22476	0.1524	0.	-42097
295	0.19515	0.1524	0.	-69017
296	0.16555	0.1524	0.	-21864
297	0.13594	0.1524	0.	-1.1976e+005
298	0.10634	0.1524	0.	-1.0079e+006
299	0.10211	0.1143	0.	-2.0096e+005
300	0.10211	0.127	0.	-3.6443e+005
301	0.10211	0.1397	0.	-5.9987e+005
302	0.10211	0.1016	0.	-6.4232e+005
303	0.10634	0.1397	0.	-1.3832e+006
304	0.10634	0.127	0.	-4.4295e+005
305	0.10634	0.1143	0.	60102
306	0.10634	0.1016	0.	-4.3706e+006
307	0.10211	3.81e-002	0.	-1.712e+005
308	0.10211	2.54e-002	0.	-5.4217e+005
309	0.10211	1.27e-002	0.	-1.6546e+006
310	0.10211	5.08e-002	0.	-4.6545e+006
311	0.10634	1.27e-002	0.	-1.2807e+006
312	0.10634	2.54e-002	0.	-9.5718e+005
313	0.10634	3.81e-002	0.	2.1311e+005
314	0.10634	5.08e-002	0.	-6.1188e+006
315	0.10309	7.5141e-002	0.	8.3704e+005
316	0.10136	8.484e-002	0.	8.6213e+005
317	0.12728	7.9496e-002	0.	29350
