Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Principal Elastic Strain (m/m)
286	0.46158	0.1524	0.	4.3257e-006
287	0.43198	0.1524	0.	5.7301e-006
288	0.40238	0.1524	0.	7.7702e-006
289	0.37277	0.1524	0.	9.5286e-006
290	0.34317	0.1524	0.	1.1862e-005
291	0.31357	0.1524	0.	1.4229e-005
292	0.28396	0.1524	0.	1.6656e-005
293	0.25436	0.1524	0.	1.9159e-005
294	0.22476	0.1524	0.	2.2484e-005
295	0.19515	0.1524	0.	3.0018e-005
296	0.16555	0.1524	0.	3.0711e-005
297	0.13594	0.1524	0.	2.0711e-005
298	0.10634	0.1524	0.	1.535e-005
299	0.10211	0.1143	0.	2.033e-004
300	0.10211	0.127	0.	4.0199e-005
301	0.10211	0.1397	0.	2.0313e-005
302	0.10211	0.1016	0.	1.602e-004
303	0.10634	0.1397	0.	1.4467e-005
304	0.10634	0.127	0.	7.3269e-005
305	0.10634	0.1143	0.	7.973e-005
306	0.10634	0.1016	0.	1.0052e-004
307	0.10211	3.81e-002	0.	1.1576e-004
308	0.10211	2.54e-002	0.	9.5164e-005
309	0.10211	1.27e-002	0.	1.6036e-005
310	0.10211	5.08e-002	0.	1.2458e-004
311	0.10634	1.27e-002	0.	9.5095e-006
312	0.10634	2.54e-002	0.	6.8457e-005
313	0.10634	3.81e-002	0.	1.0379e-004
314	0.10634	5.08e-002	0.	1.3294e-004
315	0.10309	7.5141e-002	0.	1.0456e-004
316	0.10136	8.484e-002	0.	7.7628e-005
317	0.12728	7.9496e-002	0.	6.0678e-005
318	0.11155	8.2623e-002	1.27e-003	9.5643e-006
319	0.10895	9.2112e-002	0.	1.0008e-004
320	7.8897e-002	6.9115e-002	0.	6.3676e-005
321	0.10144	6.472e-002	0.	1.0696e-004
322	9.4635e-002	6.7658e-002	1.27e-003	7.8645e-006
323	9.8372e-002	5.9229e-002	0.	1.0703e-004
324	6.3417e-002	9.7401e-002	0.	5.7087e-005
325	7.25e-002	0.11196	0.	4.9943e-005
326	8.087e-002	0.10195	0.	5.5105e-005
327	8.2935e-002	9.2738e-002	0.	6.6087e-005
328	7.4707e-002	9.842e-002	1.27e-003	1.2986e-006
329	0.13755	4.3042e-002	0.	4.3758e-005
330	0.16013	4.5539e-002	0.	3.349e-005
331	0.14361	6.4313e-002	0.	4.3567e-005
332	0.1442	5.2257e-002	1.27e-003	6.0406e-006
333	0.12527	5.1529e-002	0.	7.5549e-005
334	0.14167	2.836e-002	0.	3.8057e-005
335	0.12677	2.9311e-002	0.	3.844e-005
336	0.1309	3.3828e-002	1.27e-003	1.2423e-005
337	0.11862	3.5964e-002	0.	5.8336e-005
338	5.7643e-002	8.3477e-002	0.	5.8183e-005
339	4.6546e-002	6.7376e-002	0.	7.4837e-005
340	6.4393e-002	5.9544e-002	0.	5.7013e-005
341	7.716e-002	7.8814e-002	0.	6.7445e-005
342	6.3158e-002	7.0572e-002	1.27e-003	3.6623e-006
343	7.9278e-002	0.13088	0.	3.685e-005
344	8.9727e-002	0.12946	0.	4.3585e-005
345	8.8263e-002	0.13625	1.27e-003	5.1476e-006
346	8.8804e-002	0.14432	0.	2.708e-005
347	9.5185e-002	0.13797	0.	2.6253e-005
348	9.2989e-002	0.1183	0.	8.1081e-005
349	9.091e-002	0.1097	0.	8.4615e-005
350	9.4788e-002	0.11391	1.27e-003	2.51e-005
351	9.8448e-002	0.11411	0.	1.4244e-004
352	0.13084	0.12265	0.	3.4679e-005
353	0.14702	0.12443	0.	3.5724e-005
354	0.13995	0.10916	0.	4.1489e-005
355	0.13603	0.11748	1.27e-003	9.9996e-006
356	0.12118	0.11589	0.	5.079e-005
357	0.12828	0.13331	0.	3.2212e-005
358	0.12565	0.12782	1.27e-003	1.4436e-006
359	0.116	0.12741	0.	4.6947e-005
360	6.9225e-002	1.6425e-002	0.	3.9051e-005
361	8.3462e-002	1.8651e-002	0.	4.237e-005
362	8.1225e-002	1.3432e-002	1.27e-003	6.158e-006
363	7.8903e-002	6.7162e-003	0.	3.3197e-005
364	9.1667e-002	1.3066e-002	0.	2.1565e-005
365	6.6664e-002	2.6132e-002	0.	4.9969e-005
366	8.0902e-002	2.8358e-002	0.	4.5571e-005
367	7.0866e-002	4.0681e-002	0.	5.63e-005
368	7.6105e-002	3.2847e-002	1.27e-003	1.485e-005
369	8.9106e-002	3.5474e-002	0.	7.1009e-005
370	0.1397	1.9088e-002	0.	2.7567e-005
371	0.1248	2.0039e-002	0.	3.4954e-005
372	0.12696	1.5282e-002	1.27e-003	5.9041e-006
373	0.13063	7.641e-003	0.	2.6043e-005
374	0.11665	1.3991e-002	0.	1.5608e-005
375	0.14446	0.13509	0.	3.0066e-005
376	0.13091	0.13881	1.27e-003	5.1038e-006
377	0.13343	0.1456	0.	2.5464e-005
378	0.11863	0.13925	0.	1.7043e-005
