Node Number	X Location (m)	Y Location (m)	Z Location (m)	Minimum Principal Elastic Strain (m/m)
100	8.1547e-002	5.1696e-002	2.54e-003	-4.7425e-005
101	0.11127	2.4372e-002	2.54e-003	-4.2405e-005
102	0.1499	0.12754	2.54e-003	-2.5677e-005
103	0.52416	9.1193e-002	2.54e-003	-2.3225e-006
104	0.30648	9.7581e-002	2.54e-003	-1.5043e-005
105	0.32855	9.4413e-002	2.54e-003	-1.1937e-005
106	0.35546	9.2838e-002	2.54e-003	-1.0832e-005
107	0.38307	9.2007e-002	2.54e-003	-8.859e-006
108	0.41146	9.1226e-002	2.54e-003	-7.0152e-006
109	0.43969	9.1136e-002	2.54e-003	-5.4925e-006
110	0.46767	9.119e-002	2.54e-003	-4.215e-006
111	0.4957	9.1197e-002	2.54e-003	-3.1631e-006
112	0.55241	9.1236e-002	2.54e-003	-1.7239e-006
113	0.55251	6.0719e-002	2.54e-003	-1.7177e-006
114	0.52412	6.0675e-002	2.54e-003	-2.3204e-006
115	0.49579	6.0637e-002	2.54e-003	-3.1465e-006
116	0.46761	6.07e-002	2.54e-003	-4.2042e-006
117	0.43968	6.0707e-002	2.54e-003	-5.4788e-006
118	0.41143	6.0945e-002	2.54e-003	-6.9934e-006
119	0.38279	6.1422e-002	2.54e-003	-8.7493e-006
120	0.35403	6.2395e-002	2.54e-003	-1.0576e-005
121	0.32398	6.4516e-002	2.54e-003	-1.3238e-005
122	0.28825	7.7176e-002	2.54e-003	-1.5677e-005
123	0.25247	7.6898e-002	2.54e-003	-1.9953e-005
124	0.17819	7.8686e-002	2.54e-003	-3.2984e-005
125	0.21867	7.4701e-002	2.54e-003	-2.5524e-005
126	0.18128	0.13043	2.54e-003	-2.5278e-005
127	0.20642	0.11312	2.54e-003	-2.5604e-005
128	0.2443	0.11346	2.54e-003	-2.2595e-005
129	0.27376	0.11636	2.54e-003	-1.7119e-005
130	0.30133	0.12226	2.54e-003	-1.4427e-005
131	0.32928	0.12412	2.54e-003	-1.2419e-005
132	0.35577	0.12398	2.54e-003	-1.0256e-005
133	0.38404	0.12232	2.54e-003	-8.4242e-006
134	0.41202	0.12187	2.54e-003	-6.8057e-006
135	0.43984	0.12166	2.54e-003	-5.3154e-006
136	0.46792	0.12174	2.54e-003	-4.0162e-006
137	0.49616	0.12176	2.54e-003	-2.9348e-006
138	0.52436	0.12171	2.54e-003	-2.0804e-006
139	0.55262	0.1218	2.54e-003	-1.4363e-006
140	0.5811	0.12174	2.54e-003	-1.0003e-006
141	0.58081	9.1279e-002	2.54e-003	-1.3428e-006
142	0.58108	6.084e-002	2.54e-003	-1.3416e-006
143	3.7782e-002	5.9889e-002	2.54e-003	-8.5309e-005
144	3.7099e-002	8.8995e-002	2.54e-003	-8.4557e-005
145	0.58118	3.0378e-002	2.54e-003	-9.9526e-007
146	0.55297	3.0415e-002	2.54e-003	-1.4369e-006
147	0.52476	3.0206e-002	2.54e-003	-2.0757e-006
148	0.49653	3.0241e-002	2.54e-003	-2.9389e-006
149	0.46836	3.0218e-002	2.54e-003	-4.0106e-006
150	0.44017	3.024e-002	2.54e-003	-5.2898e-006
151	0.41182	3.0452e-002	2.54e-003	-6.7503e-006
152	0.38336	3.0899e-002	2.54e-003	-8.3124e-006
153	0.35402	3.1683e-002	2.54e-003	-1.033e-005
154	0.32336	3.4611e-002	2.54e-003	-1.2743e-005
155	0.29253	3.8168e-002	2.54e-003	-1.5247e-005
156	0.26193	3.9532e-002	2.54e-003	-1.8119e-005
157	0.22926	3.9318e-002	2.54e-003	-2.4005e-005
158	0.19778	3.6937e-002	2.54e-003	-2.4118e-005
159	0.17539	2.0118e-002	2.54e-003	-2.3834e-005
160	6.1336e-002	2.5758e-002	2.54e-003	-4.3532e-005
161	3.2186e-002	3.0988e-002	2.54e-003	-7.9277e-005
162	3.1274e-002	0.11938	2.54e-003	-7.761e-005
163	5.9476e-002	0.12265	2.54e-003	-3.9958e-005
164	8.0173e-002	0.12808	2.54e-003	-3.8577e-005
165	8.5667e-002	1.9569e-002	2.54e-003	-4.0021e-005
166	7.4429e-002	8.6078e-002	2.54e-003	-4.5578e-005
167	9.0676e-002	0.10794	2.54e-003	-5.4165e-005
168	0.17667	9.9057e-002	2.54e-003	-3.1295e-005
169	0.15452	0.13879	2.54e-003	-2.774e-005
170	0.11501	0.10754	2.54e-003	-8.0533e-005
171	0.10765	0.12054	2.54e-003	-5.2534e-005
172	0.10252	0.13562	2.54e-003	-3.5473e-005
173	0.15181	1.52e-002	2.54e-003	-3.1218e-005
174	9.9903e-002	3.4255e-002	2.54e-003	-4.796e-005
175	0.10612	1.3436e-002	2.54e-003	-3.0847e-005
176	0.15952	0.11662	2.54e-003	-3.8713e-005
177	0.12419	9.5188e-002	2.54e-003	-1.3922e-004
178	0.16139	4.6338e-002	2.54e-003	-3.5275e-005
179	0.14586	7.9814e-002	2.54e-003	-6.932e-005
180	0.15681	6.607e-002	2.54e-003	-5.563e-005
181	0.1016	0.1524	0.	-7.7295e-005
182	7.62e-002	0.1524	0.	-1.1964e-004
183	5.08e-002	0.1524	0.	-1.4097e-004
184	2.54e-002	0.1524	0.	-1.3676e-004
185	0.127	0.1524	0.	-4.3449e-005
186	1.e-015	0.1524	0.	-9.1169e-005
187	2.54e-002	-4.3141e-033	0.	-1.3667e-004
188	5.08e-002	-8.6282e-033	0.	-1.4573e-004
189	7.62e-002	-1.2942e-032	0.	-1.2072e-004
190	0.1016	-1.7256e-032	0.	-7.5483e-005
191	0.127	0.	0.	-3.82e-005
192	0.	0.	0.	-9.0348e-005
193	0.15937	0.	0.	-5.3448e-005
194	0.18751	0.	0.	-6.8857e-005
195	0.21565	0.	0.	-7.1293e-005
196	0.24379	0.	0.	-6.0557e-005
197	0.27193	0.	0.	-5.174e-005
198	0.30007	0.	0.	-4.3848e-005
199	0.32821	0.	0.	-3.7253e-005
200	0.35635	0.	0.	-3.01e-005
201	0.38449	0.	0.	-2.3709e-005
202	0.41263	0.	0.	-1.8282e-005
203	0.44076	0.	0.	-1.3584e-005
204	0.4689	0.	0.	-9.6007e-006
205	0.49704	0.	0.	-6.3345e-006
206	0.52518	0.	0.	-3.7734e-006
207	0.55332	0.	0.	-1.8741e-006
208	0.58146	0.	0.	-6.5547e-007
209	0.13123	0.	0.	-3.7685e-005
210	0.6096	0.	0.	-1.6162e-007
211	1.0658e-015	0.12192	0.	-1.3596e-004
212	7.9936e-016	9.144e-002	0.	-1.4003e-004
213	5.3291e-016	6.096e-002	0.	-1.3815e-004
214	2.6645e-016	3.048e-002	0.	-1.3131e-004
215	0.6096	3.048e-002	0.	-4.1821e-007
216	0.6096	6.096e-002	0.	-5.9372e-007
217	0.6096	9.144e-002	0.	-5.9884e-007
218	0.6096	0.12192	0.	-4.2494e-007
219	0.6096	0.1524	0.	-1.648e-007
220	0.58146	0.1524	0.	-6.5192e-007
221	0.55332	0.1524	0.	-1.8805e-006
222	0.52518	0.1524	0.	-3.7645e-006
223	0.49704	0.1524	0.	-6.3413e-006
224	0.4689	0.1524	0.	-9.6111e-006
225	0.44076	0.1524	0.	-1.3582e-005
226	0.41263	0.1524	0.	-1.825e-005
227	0.38449	0.1524	0.	-2.3607e-005
228	0.35635	0.1524	0.	-2.9937e-005
229	0.32821	0.1524	0.	-3.6694e-005
230	0.30007	0.1524	0.	-4.456e-005
231	0.27193	0.1524	0.	-5.2938e-005
232	0.24379	0.1524	0.	-6.0457e-005
233	0.21565	0.1524	0.	-6.9064e-005
234	0.18751	0.1524	0.	-6.8246e-005
235	0.15937	0.1524	0.	-5.2192e-005
236	0.13123	0.1524	0.	-3.3267e-005
237	0.127	3.81e-002	0.	-1.4424e-004
238	0.127	2.54e-002	0.	-1.1426e-004
239	0.127	1.27e-002	0.	-4.4254e-005
240	0.127	5.08e-002	0.	-2.5602e-004
241	0.13123	1.27e-002	0.	-2.9785e-005
242	0.13123	2.54e-002	0.	-9.3055e-005
243	0.13123	3.81e-002	0.	-1.3824e-004
244	0.13123	5.08e-002	0.	-2.8607e-004
245	0.127	0.1143	0.	-1.3705e-004
246	0.127	0.127	0.	-8.5508e-005
247	0.127	0.1397	0.	-5.9174e-005
248	0.127	0.1016	0.	-5.0875e-004
249	0.13123	0.1397	0.	-2.929e-005
250	0.13123	0.127	0.	-8.6143e-005
251	0.13123	0.1143	0.	-1.2905e-004
252	0.13123	0.1016	0.	-2.5024e-004
253	0.13123	0.1397	2.54e-003	-8.8989e-006
254	0.13123	0.127	2.54e-003	-5.5872e-005
255	0.13123	0.1143	2.54e-003	-7.6324e-005
256	0.13123	0.1016	2.54e-003	-5.5675e-005
257	0.127	0.1016	2.54e-003	-2.4012e-004
258	0.127	0.1143	2.54e-003	-1.1441e-004
259	0.127	0.127	2.54e-003	-3.1549e-005
260	0.127	0.1397	2.54e-003	-1.7555e-005
261	0.13123	1.27e-002	2.54e-003	-1.0423e-005
262	0.13123	2.54e-002	2.54e-003	-5.7232e-005
263	0.13123	3.81e-002	2.54e-003	-1.0556e-004
264	0.13123	5.08e-002	2.54e-003	-1.0168e-004
265	0.127	5.08e-002	2.54e-003	-7.7433e-005
266	0.127	3.81e-002	2.54e-003	-9.868e-005
267	0.127	2.54e-002	2.54e-003	-8.5097e-005
268	0.127	1.27e-002	2.54e-003	-1.3945e-005
269	0.13123	0.1524	2.54e-003	-1.3434e-005
270	0.15937	0.1524	2.54e-003	-1.6978e-005
271	0.18751	0.1524	2.54e-003	-2.5697e-005
272	0.21565	0.1524	2.54e-003	-2.4944e-005
273	0.24379	0.1524	2.54e-003	-2.0663e-005
274	0.27193	0.1524	2.54e-003	-1.7588e-005
275	0.30007	0.1524	2.54e-003	-1.5275e-005
276	0.32821	0.1524	2.54e-003	-1.2281e-005
277	0.35635	0.1524	2.54e-003	-1.0301e-005
278	0.38449	0.1524	2.54e-003	-8.5913e-006
279	0.41263	0.1524	2.54e-003	-6.9766e-006
280	0.44076	0.1524	2.54e-003	-5.4946e-006
281	0.4689	0.1524	2.54e-003	-4.166e-006
282	0.49704	0.1524	2.54e-003	-3.0474e-006
283	0.52518	0.1524	2.54e-003	-2.1567e-006
284	0.55332	0.1524	2.54e-003	-1.4508e-006
285	0.58146	0.1524	2.54e-003	-8.8118e-007
286	0.6096	0.1524	2.54e-003	-4.7919e-007
287	0.6096	0.12192	2.54e-003	-7.7241e-007
288	0.6096	9.144e-002	2.54e-003	-1.1531e-006
289	0.6096	6.096e-002	2.54e-003	-1.157e-006
290	0.6096	3.048e-002	2.54e-003	-7.7249e-007
291	2.6645e-016	3.048e-002	2.54e-003	-1.5734e-007
292	5.3291e-016	6.096e-002	2.54e-003	-1.4335e-006
293	7.9936e-016	9.144e-002	2.54e-003	-4.2042e-008
294	1.0658e-015	0.12192	2.54e-003	-4.0121e-007
295	0.6096	0.	2.54e-003	-4.7716e-007
296	0.58146	0.	2.54e-003	-8.8428e-007
297	0.55332	0.	2.54e-003	-1.4368e-006
298	0.52518	0.	2.54e-003	-2.1423e-006
299	0.49704	0.	2.54e-003	-3.0233e-006
300	0.4689	0.	2.54e-003	-4.1098e-006
301	0.44076	0.	2.54e-003	-5.421e-006
302	0.41263	0.	2.54e-003	-6.9611e-006
303	0.38449	0.	2.54e-003	-8.6672e-006
304	0.35635	0.	2.54e-003	-1.0768e-005
305	0.32821	0.	2.54e-003	-1.3563e-005
306	0.30007	0.	2.54e-003	-1.5372e-005
307	0.27193	0.	2.54e-003	-1.7565e-005
308	0.24379	0.	2.54e-003	-2.1133e-005
309	0.21565	0.	2.54e-003	-2.9122e-005
310	0.18751	0.	2.54e-003	-2.3937e-005
311	0.15937	0.	2.54e-003	-1.7219e-005
312	0.13123	0.	2.54e-003	-1.5741e-005
313	0.127	0.	2.54e-003	-1.2517e-005
314	0.1016	-1.7256e-032	2.54e-003	-2.5162e-005
315	7.62e-002	-1.2942e-032	2.54e-003	-4.7564e-005
316	5.08e-002	-8.6282e-033	2.54e-003	-5.4818e-005
317	2.54e-002	-4.3141e-033	2.54e-003	-5.9735e-005
318	0.	0.	2.54e-003	-5.8009e-006
319	1.e-015	0.1524	2.54e-003	-5.9715e-006
320	2.54e-002	0.1524	2.54e-003	-6.0872e-005
321	5.08e-002	0.1524	2.54e-003	-4.7639e-005
322	7.62e-002	0.1524	2.54e-003	-4.3715e-005
323	0.1016	0.1524	2.54e-003	-2.9373e-005
324	0.127	0.1524	2.54e-003	-1.4717e-005
325	0.15134	7.2942e-002	0.	-1.4294e-004
326	0.1591	5.6204e-002	0.	-1.2305e-004
327	0.1675	7.2378e-002	0.	-1.1465e-004
328	0.14659	6.6514e-002	0.	-1.4667e-004
329	0.15681	6.607e-002	1.27e-003	-9.6317e-006
330	0.14616	8.4646e-002	0.	-1.304e-004
331	0.14048	8.5224e-002	0.	-1.8851e-004
332	0.13632	8.192e-002	0.	-1.6829e-004
333	0.14586	7.9814e-002	1.27e-003	-2.2749e-005
334	0.17958	4.1637e-002	0.	-8.7349e-005
335	0.15686	3.9647e-002	0.	-9.9849e-005
336	0.16139	4.6338e-002	1.27e-003	-5.241e-006
337	0.14631	4.8569e-002	0.	-1.9323e-004
338	0.1196	0.10136	0.	-1.893e-004
339	0.12964	9.2911e-002	0.	-2.3652e-004
340	0.12548	8.9607e-002	0.	-2.2309e-004
341	0.12419	9.5188e-002	1.27e-003	-2.9361e-006
342	0.1256	9.8394e-002	0.	-3.8027e-004
343	0.16809	0.10784	0.	-8.5679e-005
344	0.1704	0.12353	0.	-7.7915e-005
345	0.15471	0.12208	0.	-6.6739e-005
346	0.15952	0.11662	1.27e-003	-7.9344e-006
347	0.14538	0.11546	0.	-9.6759e-005
348	9.5891e-002	1.6502e-002	0.	-9.0272e-005
349	0.10869	1.8904e-002	0.	-7.3498e-005
350	0.10612	1.3436e-002	1.27e-003	-5.8972e-006
351	0.10386	6.7182e-003	0.	-7.387e-005
352	0.11656	1.3068e-002	0.	-5.6994e-005
353	9.2785e-002	2.6912e-002	0.	-1.1109e-004
354	0.10558	2.9313e-002	0.	-9.2515e-005
355	9.0725e-002	4.2975e-002	0.	-1.1806e-004
356	9.9903e-002	3.4255e-002	1.27e-003	-8.5927e-006
357	0.11345	3.6177e-002	0.	-1.2134e-004
358	0.1636	1.7659e-002	0.	-6.5144e-005
359	0.14921	1.9696e-002	0.	-5.9247e-005
360	0.15181	1.52e-002	1.27e-003	-5.309e-006
361	0.15559	7.6e-003	0.	-5.738e-005
362	0.14152	1.395e-002	0.	-4.486e-005
363	0.10508	0.12808	0.	-9.5806e-005
364	9.1345e-002	0.13185	0.	-9.8578e-005
365	0.10252	0.13562	1.27e-003	-4.7161e-006
366	0.10206	0.14401	0.	-8.1906e-005
367	0.11476	0.13766	0.	-7.0792e-005
368	0.11133	0.11404	0.	-1.2044e-004
369	9.9163e-002	0.11424	0.	-1.1926e-004
370	0.10765	0.12054	1.27e-003	-3.4697e-006
371	0.11732	0.12377	0.	-9.1149e-005
372	0.11108	0.10169	0.	-1.3964e-004
373	0.11501	0.10754	1.27e-003	-9.9294e-006
374	0.121	0.11092	0.	-1.293e-004
375	0.1679	0.13461	0.	-6.4115e-005
376	0.15221	0.13317	0.	-5.5539e-005
377	0.15452	0.13879	1.27e-003	-4.5056e-006
378	0.15694	0.1456	0.	-5.6522e-005
379	0.14288	0.13925	0.	-4.463e-005
380	0.19155	0.10609	0.	-7.8487e-005
381	0.17743	8.8872e-002	0.	-8.4872e-005
382	0.17667	9.9057e-002	1.27e-003	-2.4738e-006
383	0.15395	0.10033	0.	-1.5892e-004
384	8.2552e-002	9.701e-002	0.	-1.3091e-004
385	8.5425e-002	0.11801	0.	-1.2497e-004
386	9.8909e-002	0.10189	0.	-1.4174e-004
387	9.0676e-002	0.10794	1.27e-003	-4.4298e-006
388	6.6953e-002	0.10436	0.	-1.2599e-004
389	5.5764e-002	8.7536e-002	0.	-1.2982e-004
390	7.7988e-002	6.8887e-002	0.	-1.2098e-004
391	9.4438e-002	8.2886e-002	0.	-1.4535e-004
392	7.4429e-002	8.6078e-002	1.27e-003	-4.1429e-006
393	7.3502e-002	2.2663e-002	0.	-1.2231e-004
394	8.5667e-002	1.9569e-002	1.27e-003	-3.4494e-006
395	8.0933e-002	9.7843e-003	0.	-1.1439e-004
396	6.9825e-002	0.12536	0.	-1.2006e-004
397	8.0173e-002	0.12808	1.27e-003	-2.3923e-006
398	7.8187e-002	0.14024	0.	-1.1528e-004
399	4.5375e-002	0.12101	0.	-1.3202e-004
400	5.9476e-002	0.12265	1.27e-003	-2.6329e-006
401	5.5138e-002	0.13752	0.	-1.35e-004
402	3.4187e-002	0.10418	0.	-1.3577e-004
403	3.1274e-002	0.11938	1.27e-003	-3.073e-006
404	2.8337e-002	0.13589	0.	-1.3494e-004
405	1.5637e-002	0.12065	0.	-1.3489e-004
406	4.6761e-002	2.8373e-002	0.	-1.3514e-004
407	3.4984e-002	4.5438e-002	0.	-1.3657e-004
408	3.2186e-002	3.0988e-002	1.27e-003	-2.806e-006
409	2.8793e-002	1.5494e-002	0.	-1.3445e-004
410	1.6093e-002	3.0734e-002	0.	-1.3235e-004
411	7.1442e-002	3.8727e-002	0.	-1.2931e-004
412	6.1336e-002	2.5758e-002	1.27e-003	-1.5365e-006
413	5.6068e-002	1.2879e-002	0.	-1.4091e-004
414	0.18658	2.8527e-002	0.	-7.1821e-005
415	0.16386	2.6537e-002	0.	-8.4127e-005
416	0.17539	2.0118e-002	1.27e-003	-2.9799e-006
417	0.18145	1.0059e-002	0.	-6.9625e-005
418	0.21352	3.8127e-002	0.	-6.9559e-005
419	0.18798	5.7811e-002	0.	-7.9276e-005
420	0.19778	3.6937e-002	1.27e-003	-8.2762e-007
421	0.20671	1.8468e-002	0.	-7.2214e-005
422	0.2456	3.9425e-002	0.	-6.0163e-005
423	0.22397	5.7009e-002	0.	-6.7323e-005
424	0.22926	3.9318e-002	1.27e-003	-3.4729e-007
425	0.23653	1.9659e-002	0.	-6.3145e-005
426	0.27723	3.885e-002	0.	-4.9941e-005
427	0.2572	5.8215e-002	0.	-5.5821e-005
428	0.26193	3.9532e-002	1.27e-003	-4.4982e-007
429	0.26693	1.9766e-002	0.	-5.3088e-005
430	0.30795	3.639e-002	0.	-4.1419e-005
431	0.29039	5.7672e-002	0.	-4.5457e-005
432	0.29253	3.8168e-002	1.27e-003	-5.6496e-007
433	0.2963	1.9084e-002	0.	-4.459e-005
434	0.33869	3.3147e-002	0.	-3.404e-005
435	0.32367	4.9564e-002	0.	-3.7623e-005
436	0.32336	3.4611e-002	1.27e-003	-4.3003e-007
437	0.32579	1.7306e-002	0.	-3.7316e-005
438	0.36869	3.1291e-002	0.	-2.7255e-005
439	0.35403	4.7039e-002	0.	-3.0271e-005
440	0.35402	3.1683e-002	1.27e-003	-5.7416e-007
441	0.35519	1.5841e-002	0.	-3.0333e-005
442	0.39759	3.0675e-002	0.	-2.1123e-005
443	0.38308	4.616e-002	0.	-2.3874e-005
444	0.38336	3.0899e-002	1.27e-003	-4.3053e-007
445	0.38393	1.545e-002	0.	-2.3769e-005
446	0.426	3.0346e-002	0.	-1.6016e-005
447	0.41162	4.5698e-002	0.	-1.8398e-005
448	0.41182	3.0452e-002	1.27e-003	-2.9608e-007
449	0.41222	1.5226e-002	0.	-1.8293e-005
450	0.45427	3.0229e-002	0.	-1.1685e-005
451	0.43993	4.5474e-002	0.	-1.37e-005
452	0.44017	3.024e-002	1.27e-003	-2.4934e-007
453	0.44047	1.512e-002	0.	-1.3597e-005
454	0.48245	3.0229e-002	0.	-8.075e-006
455	0.46799	4.5459e-002	0.	-9.7325e-006
456	0.46836	3.0218e-002	1.27e-003	-2.1155e-007
457	0.46863	1.5109e-002	0.	-9.6205e-006
458	0.51065	3.0223e-002	0.	-5.1708e-006
459	0.49616	4.5439e-002	0.	-6.4749e-006
460	0.49653	3.0241e-002	1.27e-003	-1.7404e-007
461	0.49679	1.512e-002	0.	-6.3615e-006
462	0.53887	3.0311e-002	0.	-2.9645e-006
463	0.52444	4.5441e-002	0.	-3.9238e-006
464	0.52476	3.0206e-002	1.27e-003	-1.3206e-007
465	0.52497	1.5103e-002	0.	-3.8014e-006
466	0.56708	3.0397e-002	0.	-1.4537e-006
467	0.55274	4.5567e-002	0.	-2.073e-006
468	0.55297	3.0415e-002	1.27e-003	-9.0359e-008
469	0.55315	1.5208e-002	0.	-1.9234e-006
470	0.58113	4.5609e-002	0.	-9.2323e-007
471	0.58118	3.0378e-002	1.27e-003	-5.9295e-008
472	0.58132	1.5189e-002	0.	-7.3285e-007
473	0.59539	3.0429e-002	0.	-6.3862e-007
474	3.7441e-002	7.4442e-002	0.	-1.3809e-004
475	3.7099e-002	8.8995e-002	1.27e-003	-5.737e-007
476	1.855e-002	9.0217e-002	0.	-1.3871e-004
477	5.9665e-002	5.5792e-002	0.	-1.3069e-004
478	3.7782e-002	5.9889e-002	1.27e-003	-3.2431e-006
479	1.8891e-002	6.0425e-002	0.	-1.3853e-004
480	0.58095	7.606e-002	0.	-1.0008e-006
481	0.5668	6.0779e-002	0.	-1.5812e-006
482	0.58108	6.084e-002	1.27e-003	-5.6307e-008
483	0.59534	6.09e-002	0.	-7.9812e-007
484	0.58096	0.10651	0.	-9.2959e-007
485	0.56661	9.1257e-002	0.	-1.5891e-006
486	0.58081	9.1279e-002	1.27e-003	-5.745e-008
487	0.59521	9.136e-002	0.	-8.0487e-007
488	0.56686	0.12177	0.	-1.466e-006
489	0.5811	0.12174	1.27e-003	-5.9528e-008
490	0.59535	0.12183	0.	-6.4476e-007
491	0.58128	0.13707	0.	-7.3459e-007
492	0.53849	0.12176	0.	-2.9925e-006
493	0.55251	0.10652	0.	-2.0866e-006
494	0.55262	0.1218	1.27e-003	-9.1299e-008
495	0.55297	0.1371	0.	-1.9355e-006
496	0.51026	0.12173	0.	-5.2106e-006
497	0.52426	0.10645	0.	-3.9409e-006
498	0.52436	0.12171	1.27e-003	-1.3355e-007
499	0.52477	0.13706	0.	-3.8152e-006
500	0.48204	0.12175	0.	-8.1311e-006
501	0.49593	0.10648	0.	-6.5025e-006
502	0.49616	0.12176	1.27e-003	-1.7597e-007
503	0.4966	0.13708	0.	-6.3853e-006
504	0.45388	0.1217	0.	-1.1749e-005
505	0.46779	0.10646	0.	-9.766e-006
506	0.46792	0.12174	1.27e-003	-2.1311e-007
507	0.46841	0.13707	0.	-9.6587e-006
