Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent Elastic Strain (m/m)
209	2.6645e-016	3.048e-002	2.54e-003	1.0194e-004
210	5.3291e-016	6.096e-002	2.54e-003	1.0639e-004
211	7.9936e-016	9.144e-002	2.54e-003	1.0438e-004
212	1.0658e-015	0.12192	2.54e-003	9.8935e-005
213	1.e-015	0.1524	2.54e-003	7.4031e-005
214	2.5527e-002	0.1524	2.54e-003	1.3807e-004
215	5.1054e-002	0.1524	2.54e-003	1.2744e-004
216	7.6581e-002	0.1524	2.54e-003	9.974e-005
217	8.9345e-002	0.1524	2.54e-003	5.3487e-005
218	0.10211	0.1524	2.54e-003	2.4552e-005
219	0.6096	0.	2.54e-003	4.6517e-007
220	0.58164	0.	2.54e-003	1.0092e-006
221	0.55368	0.	2.54e-003	2.1857e-006
222	0.52572	0.	2.54e-003	4.031e-006
223	0.49776	0.	2.54e-003	6.538e-006
224	0.46981	0.	2.54e-003	9.689e-006
225	0.44185	0.	2.54e-003	1.3731e-005
226	0.41389	0.	2.54e-003	1.8051e-005
227	0.38593	0.	2.54e-003	2.4124e-005
228	0.35797	0.	2.54e-003	2.9491e-005
229	0.33001	0.	2.54e-003	3.5874e-005
230	0.30205	0.	2.54e-003	4.3531e-005
231	0.27409	0.	2.54e-003	5.1852e-005
232	0.24614	0.	2.54e-003	6.1066e-005
233	0.21818	0.	2.54e-003	6.8658e-005
234	0.19022	0.	2.54e-003	8.0059e-005
235	0.16226	0.	2.54e-003	7.908e-005
236	0.1343	0.	2.54e-003	6.0672e-005
237	0.10634	0.	2.54e-003	4.0799e-005
238	0.10211	0.	2.54e-003	4.7868e-005
239	7.6581e-002	3.9289e-032	2.54e-003	8.6256e-005
240	5.1054e-002	2.6193e-032	2.54e-003	1.3286e-004
241	2.5527e-002	1.3096e-032	2.54e-003	1.4409e-004
242	0.	0.	2.54e-003	7.2399e-005
243	2.5527e-002	1.3096e-032	0.	1.4409e-004
244	5.1054e-002	2.6193e-032	0.	1.3286e-004
245	7.6581e-002	3.9289e-032	0.	8.6256e-005
246	0.10211	0.	0.	4.7868e-005
247	0.	0.	0.	7.2399e-005
248	0.1343	0.	0.	6.0672e-005
249	0.16226	0.	0.	7.908e-005
250	0.19022	0.	0.	8.0059e-005
251	0.21818	0.	0.	6.8658e-005
252	0.24614	0.	0.	6.1066e-005
253	0.27409	0.	0.	5.1852e-005
254	0.30205	0.	0.	4.3531e-005
255	0.33001	0.	0.	3.5874e-005
256	0.35797	0.	0.	2.9491e-005
257	0.38593	0.	0.	2.4124e-005
258	0.41389	0.	0.	1.8051e-005
259	0.44185	0.	0.	1.3731e-005
260	0.46981	0.	0.	9.689e-006
261	0.49776	0.	0.	6.538e-006
262	0.52572	0.	0.	4.031e-006
263	0.55368	0.	0.	2.1857e-006
264	0.58164	0.	0.	1.0092e-006
265	0.10634	0.	0.	4.0799e-005
266	0.6096	0.	0.	4.6517e-007
267	8.9345e-002	0.1524	0.	5.3487e-005
268	7.6581e-002	0.1524	0.	9.974e-005
269	5.1054e-002	0.1524	0.	1.2744e-004
270	2.5527e-002	0.1524	0.	1.3807e-004
271	0.10211	0.1524	0.	2.4552e-005
272	1.e-015	0.1524	0.	7.4031e-005
273	1.0658e-015	0.12192	0.	9.8935e-005
274	7.9936e-016	9.144e-002	0.	1.0438e-004
275	5.3291e-016	6.096e-002	0.	1.0639e-004
276	2.6645e-016	3.048e-002	0.	1.0194e-004
277	0.6096	3.048e-002	0.	8.3991e-007
278	0.6096	6.096e-002	0.	1.2537e-006
279	0.6096	9.144e-002	0.	1.251e-006
280	0.6096	0.12192	0.	8.3928e-007
281	0.6096	0.1524	0.	4.6758e-007
282	0.58	0.1524	0.	1.0703e-006
283	0.55039	0.1524	0.	2.3644e-006
284	0.52079	0.1524	0.	4.4092e-006
285	0.49119	0.1524	0.	7.2114e-006
286	0.46158	0.1524	0.	1.0773e-005
287	0.43198	0.1524	0.	1.5198e-005
288	0.40238	0.1524	0.	2.0768e-005
289	0.37277	0.1524	0.	2.6077e-005
290	0.34317	0.1524	0.	3.2812e-005
291	0.31357	0.1524	0.	4.0712e-005
292	0.28396	0.1524	0.	4.9019e-005
293	0.25436	0.1524	0.	5.7962e-005
294	0.22476	0.1524	0.	6.6967e-005
295	0.19515	0.1524	0.	7.7304e-005
296	0.16555	0.1524	0.	7.9312e-005
297	0.13594	0.1524	0.	6.1404e-005
298	0.10634	0.1524	0.	3.8447e-005
299	0.10211	0.1143	0.	2.6624e-004
300	0.10211	0.127	0.	7.9109e-005
301	0.10211	0.1397	0.	5.0628e-005
302	0.10211	0.1016	0.	3.8987e-004
303	0.10634	0.1397	0.	3.8773e-005
304	0.10634	0.127	0.	1.2939e-004
305	0.10634	0.1143	0.	1.4841e-004
306	0.10634	0.1016	0.	3.0376e-004
307	0.10211	3.81e-002	0.	1.8703e-004
308	0.10211	2.54e-002	0.	1.5763e-004
309	0.10211	1.27e-002	0.	4.4872e-005
310	0.10211	5.08e-002	0.	3.3614e-004
311	0.10634	1.27e-002	0.	2.5893e-005
312	0.10634	2.54e-002	0.	1.1131e-004
313	0.10634	3.81e-002	0.	1.7271e-004
314	0.10634	5.08e-002	0.	3.6564e-004
315	0.10309	7.5141e-002	0.	2.0814e-004
316	0.10136	8.484e-002	0.	1.9477e-004
317	0.12728	7.9496e-002	0.	1.616e-004
318	0.11155	8.2623e-002	1.27e-003	1.2456e-005
319	0.10895	9.2112e-002	0.	2.5313e-004
320	7.8897e-002	6.9115e-002	0.	1.7449e-004
321	0.10144	6.472e-002	0.	2.0901e-004
322	9.4635e-002	6.7658e-002	1.27e-003	1.0242e-005
323	9.8372e-002	5.9229e-002	0.	2.6332e-004
324	6.3417e-002	9.7401e-002	0.	1.4202e-004
325	7.25e-002	0.11196	0.	1.3324e-004
326	8.087e-002	0.10195	0.	1.5874e-004
327	8.2935e-002	9.2738e-002	0.	1.7246e-004
328	7.4707e-002	9.842e-002	1.27e-003	1.6912e-006
329	0.13755	4.3042e-002	0.	1.0708e-004
330	0.16013	4.5539e-002	0.	9.2676e-005
