Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
387	2.9935e-002	6.418e-002	1.27e-003	1.7772e+005
388	1.4967e-002	6.257e-002	0.	8.7482e+006
389	2.5939e-002	0.10781	0.	1.0158e+007
390	2.6907e-002	9.2875e-002	1.27e-003	1.78e+005
391	1.3454e-002	9.2157e-002	0.	8.7423e+006
392	0.16425	3.0857e-002	0.	5.6066e+006
393	0.15244	2.2893e-002	1.27e-003	1.6401e+005
394	0.15735	1.1447e-002	0.	5.4917e+006
395	0.19465	3.8835e-002	0.	5.282e+006
396	0.1784	5.7715e-002	0.	5.619e+006
397	0.17606	3.8821e-002	1.27e-003	99018
398	0.18314	1.941e-002	0.	5.5779e+006
399	0.22934	3.875e-002	0.	4.4903e+006
400	0.21332	5.7562e-002	0.	4.8557e+006
401	0.21325	3.885e-002	1.27e-003	51745
402	0.21571	1.9425e-002	0.	4.8089e+006
403	0.26061	3.8639e-002	0.	3.7879e+006
404	0.24574	5.7554e-002	0.	4.0737e+006
405	0.24543	3.865e-002	1.27e-003	37306
406	0.24578	1.9325e-002	0.	4.1487e+006
407	0.29064	3.8896e-002	0.	3.1957e+006
408	0.27658	5.7479e-002	0.	3.4522e+006
409	0.2758	3.8629e-002	1.27e-003	44466
410	0.27495	1.9314e-002	0.	3.5242e+006
411	0.32007	4.0168e-002	0.	2.6575e+006
412	0.30667	5.8286e-002	0.	2.8778e+006
413	0.30549	3.9163e-002	1.27e-003	42600
414	0.30377	1.9582e-002	0.	2.9503e+006
415	0.34732	3.9031e-002	0.	2.2187e+006
416	0.33654	5.9498e-002	0.	2.3701e+006
417	0.33465	4.1173e-002	1.27e-003	30291
418	0.33233	2.0587e-002	0.	2.436e+006
419	0.3727	3.3665e-002	0.	1.803e+006
420	0.36552	5.7125e-002	0.	1.8967e+006
421	0.35999	3.689e-002	1.27e-003	41132
422	0.35898	1.8445e-002	0.	2.0278e+006
423	0.39939	2.9476e-002	0.	1.4201e+006
424	0.38728	4.2927e-002	0.	1.5795e+006
425	0.3854	3.044e-002	1.27e-003	47250
426	0.38567	1.522e-002	0.	1.6178e+006
427	0.42673	2.8687e-002	0.	1.1081e+006
428	0.41211	4.3633e-002	0.	1.2692e+006
429	0.41339	2.8513e-002	1.27e-003	35324
430	0.41364	1.4256e-002	0.	1.2496e+006
431	0.45405	2.9349e-002	0.	8.2055e+005
432	0.43894	4.4331e-002	0.	9.5743e+005
433	0.44007	2.8861e-002	1.27e-003	27707
434	0.44096	1.443e-002	0.	9.4889e+005
435	0.48219	2.9895e-002	0.	5.7288e+005
436	0.467	4.4995e-002	0.	6.9531e+005
437	0.46804	2.9836e-002	1.27e-003	21845
438	0.46892	1.4918e-002	0.	6.7456e+005
439	0.51047	3.0016e-002	0.	3.7241e+005
440	0.49544	4.5162e-002	0.	4.6848e+005
441	0.49633	2.9953e-002	1.27e-003	15537
442	0.49705	1.4976e-002	0.	4.5292e+005
443	0.53877	3.0153e-002	0.	2.2179e+005
444	0.52395	4.5314e-002	0.	2.9128e+005
445	0.52461	3.008e-002	1.27e-003	11597
446	0.52516	1.504e-002	0.	2.7855e+005
447	0.5671	3.0313e-002	0.	1.2122e+005
448	0.55246	4.538e-002	0.	1.6662e+005
449	0.55292	3.0227e-002	1.27e-003	8003.4
450	0.5533	1.5113e-002	0.	1.5224e+005
451	0.58103	4.568e-002	0.	95500
452	0.58128	3.0399e-002	1.27e-003	5287.9
453	0.58146	1.52e-002	0.	74521
454	0.59544	3.044e-002	0.	70363
455	3.7123e-002	0.12357	0.	9.2165e+006
456	2.4972e-002	0.12275	1.27e-003	1.3091e+005
457	2.5249e-002	0.13758	0.	9.5803e+006
458	1.2486e-002	0.12234	0.	8.1652e+006
459	0.5805	7.6134e-002	0.	1.0868e+005
460	0.56639	6.0747e-002	0.	1.42e+005
461	0.58079	6.096e-002	1.27e-003	5142.1
462	0.5952	6.096e-002	0.	97161
463	0.58006	0.10658	0.	97175
464	0.56561	9.1209e-002	0.	1.4407e+005
465	0.5802	9.1307e-002	1.27e-003	5306.5
466	0.5949	9.1374e-002	0.	97490
467	0.56511	0.12179	0.	1.2715e+005
468	0.57991	0.12185	1.27e-003	5524.8
469	0.59475	0.12188	0.	71659
470	0.57995	0.13712	0.	78006
471	0.53572	0.1217	0.	2.3564e+005
472	0.55067	0.10642	0.	1.7281e+005
473	0.55031	0.12174	1.27e-003	8248.6
474	0.55035	0.13707	0.	1.6298e+005
475	0.50646	0.1216	0.	3.9688e+005
476	0.52158	0.1064	0.	3.0379e+005
477	0.52112	0.12166	1.27e-003	11934
478	0.52096	0.13703	0.	3.0095e+005
479	0.4771	0.12149	0.	6.1198e+005
480	0.4924	0.10629	0.	4.8874e+005
481	0.49181	0.12154	1.27e-003	15775
482	0.4915	0.13697	0.	4.9131e+005
483	0.44755	0.12129	0.	8.9208e+005
484	0.46316	0.10618	0.	7.2774e+005
485	0.4624	0.12144	1.27e-003	24345
486	0.46199	0.13692	0.	7.3559e+005
487	0.41723	0.1201	0.	1.2234e+006
488	0.43372	0.10582	0.	1.0297e+006
489	0.4327	0.12114	1.27e-003	35876
490	0.43234	0.13677	0.	1.0467e+006
491	0.38649	0.11747	0.	1.6008e+006
492	0.40316	0.10401	0.	1.3876e+006
493	0.40175	0.11906	1.27e-003	29423
494	0.40206	0.13573	0.	1.4103e+006
495	0.35615	0.11554	0.	2.0475e+006
496	0.37114	9.6621e-002	0.	1.7845e+006
497	0.37122	0.11588	1.27e-003	35419
498	0.372	0.13414	0.	1.7984e+006
499	0.3259	0.11494	0.	2.5527e+006
500	0.33975	9.6514e-002	0.	2.3121e+006
501	0.34107	0.11521	1.27e-003	34347
502	0.34212	0.1338	0.	2.2706e+006
503	0.29553	0.11447	0.	3.1018e+006
504	0.30929	9.6046e-002	0.	2.8325e+006
505	0.31073	0.11468	1.27e-003	40534
506	0.31215	0.13354	0.	2.8082e+006
507	0.26477	0.11421	0.	3.7031e+006
508	0.27885	9.5294e-002	0.	3.4044e+006
509	0.28033	0.11426	1.27e-003	42456
510	0.28215	0.13333	0.	3.3787e+006
511	0.23325	0.1141	0.	4.3861e+006
512	0.24763	9.5306e-002	0.	4.0379e+006
