Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
317	8.9918	3.8127	0.1	4.2393e-004
318	8.5651	4.2824	0.1	5.0405e-004
319	11.067	4.5294	0.1	2.6276e-004
320	9.1534	4.839	0.1	3.3175e-004
321	10.143	5.339	0.1	2.4311e-004
322	12.881	4.2083	0.1	2.4378e-004
323	11.647	3.6278	0.1	2.8079e-004
324	12.06	5.1904	0.1	2.6672e-004
325	14.725	3.9833	0.1	2.061e-004
326	13.241	2.9803	0.1	2.2613e-004
327	13.936	5.0179	0.1	2.2452e-004
328	16.722	3.9411	0.1	1.6134e-004
329	15.455	2.9444	0.1	1.9144e-004
330	15.882	4.9654	0.1	1.8034e-004
331	18.814	3.9544	0.1	1.1382e-004
332	17.623	2.9571	0.1	1.4082e-004
333	17.913	4.9757	0.1	1.3412e-004
334	20.904	3.9618	0.1	6.9019e-005
335	19.77	2.9599	0.1	9.232e-005
336	19.953	4.9787	0.1	8.7975e-005
337	21.9	2.9693	0.1	4.8346e-005
338	21.983	4.9831	0.1	4.5516e-005
339	22.972	3.9831	0.1	3.7159e-005
340	20.765	1.9675	0.1	7.2134e-005
341	22.927	1.9863	0.1	3.8445e-005
342	21.797	0.98628	0.1	4.9682e-005
343	18.579	1.9626	0.1	1.1973e-004
344	19.576	0.98121	0.1	9.6892e-005
345	16.356	1.9604	0.1	1.7109e-004
346	17.349	0.98135	0.1	1.4955e-004
347	13.971	1.9414	0.1	2.115e-004
348	15.091	0.97901	0.1	2.0381e-004
349	12.006	2.3998	0.1	2.6291e-004
350	12.702	0.96241	0.1	2.2666e-004
351	8.6165	2.8349	0.1	6.6288e-004
352	8.9502	2.559	0.1	5.3933e-004
353	8.3522	2.6275	0.1	7.5461e-004
354	8.3357	2.2883	0.1	9.9108e-004
355	7.8512	3.0391	0.1	6.8875e-004
356	7.7956	3.3889	0.1	9.1628e-004
357	7.7956	2.3889	0.1	1.1318e-003
358	8.8741	3.327	0.1	5.6245e-004
359	9.0618	2.8173	0.1	5.2946e-004
360	8.4197	3.1969	0.1	6.9748e-004
361	7.2723	1.0413	0.1	3.69e-004
362	6.4723	0.54128	0.1	3.5761e-004
363	8.5934	3.7803	0.1	9.2506e-004
364	7.1468	3.3962	0.1	8.2067e-004
365	8.7811	2.2707	0.1	8.5613e-004
366	8.1554	2.9895	0.1	7.7548e-004
367	8.1389	3.6502	0.1	1.0529e-003
368	8.0998	2.3393	0.1	1.2077e-003
369	8.1667	4.75	0.1	5.4786e-004
370	8.1667	5.5	0.1	3.2572e-004
371	8.1667	5.	5.e-002	6.6134e-005
372	8.1667	4.25	0.1	9.9829e-004
373	8.1667	4.5	5.e-002	1.4654e-005
374	8.0833	4.	0.1	1.2399e-003
375	8.1667	4.	5.e-002	6.7367e-005
376	8.	4.25	0.1	9.6705e-004
377	8.	4.	5.e-002	2.1854e-005
378	8.	4.75	0.1	5.6298e-004
379	8.	4.5	5.e-002	3.7458e-005
380	8.	5.5	0.1	3.7955e-004
381	8.	5.	5.e-002	1.7168e-005
382	8.1667	1.25	0.1	4.6821e-004
383	8.1667	0.5	0.1	2.8812e-004
384	8.1667	1.	5.e-002	1.5168e-005
385	8.1667	1.75	0.1	9.5184e-004
386	8.1667	1.5	5.e-002	2.9057e-005
387	8.0833	2.	0.1	1.3909e-003
388	8.1667	2.	5.e-002	2.6531e-005
389	8.	1.75	0.1	1.1744e-003
390	8.	2.	5.e-002	1.7615e-004
391	8.	1.25	0.1	5.8234e-004
392	8.	1.5	5.e-002	6.4958e-005
393	8.	0.5	0.1	3.15e-004
394	8.	1.	5.e-002	2.0824e-005
395	9.1563	6.	0.1	1.9385e-004
396	8.1667	6.	5.e-002	1.416e-005
397	11.135	6.	0.1	2.4678e-004
398	10.146	6.	5.e-002	1.3797e-005
399	13.115	6.	0.1	2.4717e-004
400	12.125	6.	5.e-002	1.3861e-006
401	15.094	6.	0.1	1.9911e-004
402	14.104	6.	5.e-002	5.2166e-006
403	17.073	6.	0.1	1.5366e-004
404	16.083	6.	5.e-002	3.8332e-006
405	19.052	6.	0.1	1.0889e-004
406	18.063	6.	5.e-002	3.2805e-006
407	21.031	6.	0.1	6.5074e-005
408	20.042	6.	5.e-002	2.5023e-006
409	23.01	6.	0.1	3.3503e-005
410	22.021	6.	5.e-002	2.1509e-006
411	24.	5.	0.1	2.4693e-005
412	24.	6.	5.e-002	2.0681e-006
413	24.	3.	0.1	2.7007e-005
414	24.	4.	5.e-002	2.0475e-006
415	24.	1.	0.1	2.6548e-005
416	24.	2.	5.e-002	2.0412e-006
417	2.6226e-014	3.	0.1	5.2585e-004
418	8.7419e-015	1.	0.1	4.7448e-004
419	1.772e-014	2.	5.e-002	7.026e-006
420	4.371e-014	5.	0.1	4.8577e-004
421	3.5441e-014	4.	5.e-002	1.632e-005
422	22.869	0.	0.1	3.8227e-005
423	24.	0.	5.e-002	2.1799e-006
424	20.607	0.	0.1	7.4944e-005
425	21.738	0.	5.e-002	2.3665e-006
426	18.345	0.	0.1	1.2725e-004
427	19.476	0.	5.e-002	3.0686e-006
428	16.083	0.	0.1	1.8264e-004
429	17.214	0.	5.e-002	3.178e-006
430	13.821	0.	0.1	2.1861e-004
431	14.952	0.	5.e-002	2.3218e-006
432	11.56	0.	0.1	2.2873e-004
433	12.69	0.	5.e-002	1.2717e-005
434	9.2976	0.	0.1	2.4161e-004
435	10.429	0.	5.e-002	1.8992e-005
436	8.1667	0.	5.e-002	2.592e-006
437	7.2	1.0919e-030	0.1	2.8617e-004
438	8.	1.2132e-030	5.e-002	1.1074e-005
439	5.6	8.4923e-031	0.1	4.0626e-004
440	6.4	0.	5.e-002	8.8479e-006
441	4.	6.0659e-031	0.1	5.0838e-004
442	4.8	0.	5.e-002	1.7494e-005
443	2.4	3.6396e-031	0.1	5.3151e-004
444	3.2	0.	5.e-002	1.1583e-005
445	0.8	1.2132e-031	0.1	4.6932e-004
446	1.6	0.	5.e-002	1.6693e-005
