NodeIndex,X,Y,Z,Weight,StrainValue,CutLocation
8898,7.036,6,0,0.213972216036238,0.00042653,0.6
30084,7.036,6,0.05,0.168615321536414,1.039e-05,0.6
30083,7.1282,6,0.1,0.131801759366381,0.00042371,0.6
30952,9.1565,6,0,0.340335298215646,0.00036316,0.6
8886,9.2487,6,0,0.30399559491541,0.00036048,0.6
30108,9.2487,6,0.05,0.212107697286116,1.2732e-05,0.6
9546,9.2487,5.9091,0,0.143561409582828,0.00036059,0.6
8876,11.093,6,0,0.770545935821159,0.00030823,0.6
30128,11.093,6,0.05,0.106834533116346,1.3227e-05,0.6
30941,11.185,6,0,0.0634567241264448,0.00030568,0.6
9586,11.093,5.9091,0,0.0591628069360505,0.0003085,0.6
30919,15.241,6,0,0.360835953455525,0.00019875,0.6
8854,15.149,6,0,0.290083805719149,0.00020107,0.6
30172,15.149,6,0.05,0.207140966739737,1.2591e-05,0.6
9674,15.149,5.9091,0,0.141939274085589,0.00020153,0.6
30909,17.085,6,0,0.665536151617745,0.00015342,0.6
8843,17.178,6,0,0.127987721464957,0.0001512,0.6
30194,17.178,6,0.05,0.107750192744866,1.1831e-05,0.6
30191,17.085,6,0.1,0.098725934172432,0.00015342,0.6
8821,21.234,6,0,0.400184117086725,5.8171e-05,0.6
30887,21.142,6,0,0.234590689326718,6.0199e-05,0.6
30238,21.234,6,0.05,0.2250275394459,8.6931e-06,0.6
9806,21.234,5.9091,0,0.140197654140656,5.8989e-05,0.6
8909,5.0894,6,0,0.687871731845343,0.00048517,0.7
30062,5.0894,6,0.05,0.14265822466277,5.9386e-06,0.7
30974,5.1812,6,0,0.0897960635167505,0.00048257,0.7
9354,5.0894,5.9091,0,0.0796739799751364,0.00048472,0.7
8898,7.109,6,0,0.722346692930048,0.00042422,0.7
30084,7.109,6,0.05,0.127965882475679,1.061e-05,0.7
30964,7.0172,6,0,0.0785159448837041,0.00042702,0.7
9398,7.109,5.9091,0,0.071171479710569,0.00042402,0.7
30952,9.2204,6,0,0.581519438789171,0.00036129,0.7
8887,9.1286,6,0,0.166148411082626,0.00036395,0.7
30106,9.1286,6,0.05,0.136096169750465,1.2699e-05,0.7
30105,9.2204,6,0.1,0.116235980377738,0.00036129,0.7
30942,11.056,6,0,0.335624087066487,0.00030923,0.7
8876,11.148,6,0,0.307655413144282,0.00030668,0.7
30128,11.148,6,0.05,0.213061165717272,1.3243e-05,0.7
9486,11.148,5.9091,0,0.143659334071959,0.00030696,0.7
8854,15.187,6,0,0.641945502652123,0.00020011,0.7
30172,15.187,6,0.05,0.16153521945554,1.2579e-05,0.7
30919,15.279,6,0,0.105636601702246,0.0001978,0.7
9574,15.187,5.9091,0,0.090882676190091,0.00020057,0.7
30909,17.115,6,0,0.663778222195559,0.00015271,0.7
8844,17.023,6,0,0.129307445882223,0.00015491,0.7
30192,17.023,6,0.05,0.108449169796515,1.1898e-05,0.7
30191,17.115,6,0.1,0.0984651621257027,0.00015271,0.7
8821,21.246,6,0,0.319633432140533,5.7909e-05,0.7
30887,21.154,6,0,0.319633432140533,5.9928e-05,0.7
30238,21.246,6,0.05,0.21640990269944,8.6755e-06,0.7
9706,21.246,5.9091,0,0.144323233019493,5.8729e-05,0.7
30975,5.1127,6,0,0.703747885037362,0.00048381,0.8
8910,5.0205,6,0,0.112422618112893,0.00048631,0.8
30060,5.0205,6,0.05,0.0951656846064881,6.0689e-06,0.8
30059,5.1127,6,0.1,0.0886638122432573,0.00048381,0.8
30964,7.1396,6,0,0.373449655490961,0.00042322,0.8
