nodeNumbers,xLocations,yLocations,zLocations,elasticStrains,equivalentStress,maxPrincipalElasticStrain,maxPrincipalStress,middlePrincipalElasticStrain,middlePrincipalStress,minPrincipalElasticStrain,minPrincipalStress,totalDeformation
991,0.12912,0.1016,0.00254,0.00033499,23081000,0.00035073,27511000,-2.2339e-05,8185000,-0.00014259,1955500,0.00088317
992,0.127,0.10795,0.00254,0.0002777,19133000,0.00028039,20662000,-3.0461e-05,4558400,-0.00012789,-488910,0.00083589
993,0.127,0.12065,0.00254,0.00012217,8417200,0.00011107,7012100,-1.3284e-05,569850,-7.2768e-05,-2511700,0.00080184
994,0.127,0.13335,0.00254,6.9085e-05,4760000,7.1896e-05,5330500,-1.9219e-05,610350,-2.0738e-05,531640,0.00076971
995,0.127,0.14605,0.00254,4.4391e-05,3058600,4.8888e-05,4087100,-2.2431e-06,1438300,-1.5729e-05,739640,0.00073966
996,0.13123,0.01905,0.00254,6.2117e-05,4279900,6.1273e-05,4244200,-1.1416e-05,478610,-2.8575e-05,-410290,0.00083568
997,0.13123,0.00635,0.00254,2.9383e-05,2024500,3.1402e-05,2644100,1.7002e-06,1105400,-1.2869e-05,350690,0.00080972
998,0.13123,0.03175,0.00254,0.00012982,8944400,0.00011547,6939000,-1.6524e-05,100870,-7.9918e-05,-3183200,0.00086446
999,0.13123,0.04445,0.00254,0.00019729,13593000,0.00019414,13181000,-4.6207e-05,729710,-8.5811e-05,-1322000,0.00089495
1000,0.12912,0.0508,0.00254,0.00023694,16325000,0.0002498,18936000,-6.1985e-05,2784100,-6.8577e-05,2442700,0.00087794
1001,0.127,0.04445,0.00254,0.00019259,13269000,0.000194,13857000,-3.6573e-05,1912200,-8.1714e-05,-426290,0.00083753
1002,0.127,0.03175,0.00254,0.00014285,9842400,0.00012679,7618100,-1.7409e-05,148100,-8.8497e-05,-3534600,0.00080741
1003,0.127,0.01905,0.00254,8.3044e-05,5721700,7.8869e-05,5284200,-1.0384e-05,660440,-4.4651e-05,-1114700,0.00077588
1004,0.127,0.00635,0.00254,3.5137e-05,2420900,3.8988e-05,3323600,-4.1514e-07,1282300,-1.2642e-05,648890,0.00074738
1005,0.1453,0.1524,0.00254,4.1095e-05,2831500,4.2691e-05,3171900,-9.3112e-06,477970,-1.4281e-05,220520,0.0010952
1006,0.17344,0.1524,0.00254,5.9755e-05,4117100,5.987e-05,4144200,-1.817e-05,101320,-2.0965e-05,-43487,0.0016293
1007,0.20158,0.1524,0.00254,6.9169e-05,4765700,6.8545e-05,4644800,-2.1573e-05,-23747,-2.5218e-05,-212540,0.0022014
1008,0.22972,0.1524,0.00254,6.4621e-05,4452400,6.4615e-05,4451200,-2.1279e-05,1459.1,-2.1382e-05,-3885.5,0.0028178
1009,0.25786,0.1524,0.00254,5.6346e-05,3882300,5.6669e-05,3948600,-1.759e-05,101630,-1.8935e-05,31972,0.0034734
1010,0.286,0.1524,0.00254,4.8643e-05,3351500,4.8716e-05,3366600,-1.5607e-05,34328,-1.6346e-05,-3948.4,0.0041646
1011,0.31414,0.1524,0.00254,4.066e-05,2801400,4.0625e-05,2794800,-1.3131e-05,9947.9,-1.3767e-05,-23016,0.004886
1012,0.34228,0.1524,0.00254,3.3389e-05,2300500,3.3313e-05,2285200,-1.09e-05,-5256.3,-1.1286e-05,-25244,0.0056321
1013,0.37042,0.1524,0.00254,2.6896e-05,1853100,2.6769e-05,1828300,-8.5454e-06,-1152,-9.4422e-06,-47612,0.0063986
1014,0.39856,0.1524,0.00254,2.1098e-05,1453600,2.0924e-05,1420800,-6.4455e-06,2923.2,-7.7793e-06,-66172,0.0071812
1015,0.4267,0.1524,0.00254,1.6134e-05,1111600,1.5911e-05,1070200,-4.7903e-06,-2265.8,-6.2308e-06,-76894,0.0079764
1016,0.45483,0.1524,0.00254,1.1833e-05,815290,1.1592e-05,771480,-3.3656e-06,-3368.1,-4.8253e-06,-78985,0.008781
1017,0.48297,0.1524,0.00254,8.2197e-06,566340,7.9704e-06,522760,-2.1847e-06,-3317.4,-3.6009e-06,-76685,0.0095922
1018,0.51111,0.1524,0.00254,5.3085e-06,365760,5.0459e-06,322470,-1.2363e-06,-2974.2,-2.5951e-06,-73366,0.010408
1019,0.53925,0.1524,0.00254,3.1023e-06,213750,2.8152e-06,170570,-5.2689e-07,-2566.4,-1.7965e-06,-68336,0.011226
1020,0.56739,0.1524,0.00254,1.5826e-06,109040,1.263e-06,66843,-7.1602e-08,-2297.1,-1.1633e-06,-58854,0.012046
1021,0.59553,0.1524,0.00254,7.1537e-07,49289,3.7588e-07,10593,1.2376e-07,-2467.9,-6.7624e-07,-43911,0.012866
1022,0.6096,0.13716,0.00254,6.2825e-07,43287,2.5637e-07,4477.7,1.8232e-07,641.89,-6.1377e-07,-40599,0.013272
1023,0.6096,0.10668,0.00254,1.031e-06,71039,5.0951e-07,18075,2.8514e-07,6450.8,-9.6013e-07,-58060,0.013264
1024,0.6096,0.0762,0.00254,1.2358e-06,85147,5.9449e-07,20914,3.6196e-07,8868,-1.153e-06,-69614,0.013256
1025,0.6096,0.04572,0.00254,1.031e-06,71034,5.036e-07,17582,2.8932e-07,6481.1,-9.6212e-07,-58349,0.013246
1026,0.6096,0.01524,0.00254,6.2585e-07,43121,2.5388e-07,4246.1,1.8137e-07,489.86,-6.1238e-07,-40630,0.013236
1027,3.9968e-16,0.04572,0.00254,0.00010101,6959900,0.00013471,13789000,1.371e-06,6881300,-6.3367e-07,6777400,0
1028,1.3323e-16,0.01524,0.00254,8.1689e-05,5628400,0.0001089,11148000,2.4587e-06,5634200,-1.8332e-06,5411900,0
1029,6.6613e-16,0.0762,0.00254,0.00010432,7187500,0.00013907,14231000,1.2203e-06,7089700,-5.4695e-07,6998100,0
1030,9.3259e-16,0.10668,0.00254,0.00010333,7119700,0.00013792,14129000,1.1017e-06,7041200,-1.1936e-07,6978000,0
1031,1.199e-15,0.13716,0.00254,8.36e-05,5760000,0.00011133,11383000,1.8102e-06,5709100,-1.4583e-06,5539800,0
1032,0.59553,0,0.00254,7.1702e-07,49403,3.7895e-07,10791,1.2204e-07,-2518.3,-6.7682e-07,-43903,0.012821
1033,0.56739,0,0.00254,1.578e-06,108730,1.2615e-06,66939,-7.2047e-08,-2142,-1.1578e-06,-58388,0.012001
1034,0.53925,0,0.00254,3.0971e-06,213390,2.8167e-06,171110,-5.3306e-07,-2421.7,-1.7826e-06,-67151,0.011181
1035,0.51111,0,0.00254,5.3019e-06,365300,5.0466e-06,323100,-1.2447e-06,-2818.7,-2.5754e-06,-71755,0.010363
1036,0.48297,0,0.00254,8.1991e-06,564920,7.9616e-06,523220,-2.1979e-06,-3090.5,-3.5606e-06,-73680,0.0095469
1037,0.45483,0,0.00254,1.1811e-05,813770,1.1587e-05,772980,-3.3921e-06,-3021.3,-4.7605e-06,-73912,0.0087356
1038,0.4267,0,0.00254,1.6138e-05,1111900,1.5928e-05,1072700,-4.8186e-06,-2074.9,-6.1864e-06,-72929,0.007931
1039,0.39856,0,0.00254,2.1162e-05,1458100,2.0991e-05,1425800,-6.4518e-06,4132.4,-7.8093e-06,-66196,0.0071359
