Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
313	10.296	0.	0.1	558.83
314	9.1545	0.	0.1	640.47
315	8.0125	0.	0.1	707.07
316	6.8706	0.	0.1	726.85
317	5.7286	0.	0.1	577.01
318	4.5867	0.	0.1	404.68
319	4.42	0.	0.1	673.15
320	3.315	3.1846e-031	0.1	848.37
321	2.21	2.1231e-031	0.1	1345.
322	1.105	1.0615e-031	0.1	1327.2
323	0.	0.	0.1	1417.9
324	3.937e-014	6.	0.1	1391.8
325	1.105	6.	0.1	1329.3
326	2.21	6.	0.1	1329.
327	3.315	6.	0.1	968.72
328	4.42	6.	0.1	752.75
329	4.6921	2.4545	0.	323.59
330	4.2487	2.8303	0.	147.56
331	4.6418	2.7183	0.	199.49
332	4.4767	2.6011	5.e-002	26.622
333	4.4484	2.3005	0.	-50.951
334	5.888	3.481	0.	69.471
335	5.4302	3.129	0.	145.06
336	5.0561	3.4047	0.	266.17
337	5.2869	3.3812	5.e-002	56.855
338	4.9368	3.6906	0.	-225.84
339	6.0806	1.0534	0.	81.333
340	5.4877	1.1372	0.	130.54
341	5.6719	1.5886	0.	-29.903
342	5.6719	1.3304	5.e-002	8.8841
343	5.1293	1.4152	0.	128.37
344	4.3996	3.4454	0.	411.87
345	4.6571	3.3357	0.	200.68
346	4.2548	3.1514	0.	74.826
347	4.6479	3.0394	0.	81.648
348	4.4889	3.2432	5.e-002	69.272
349	7.0787	3.5867	0.	-16.642
350	6.3425	3.8873	0.	-20.63
351	6.3184	3.234	0.	-48.192
352	6.4891	3.5808	5.e-002	23.364
353	2.7958	0.96914	0.	15.333
354	3.4524	0.88509	0.	154.74
355	3.3022	0.65788	5.e-002	60.71
356	3.8611	0.57894	0.	-32.626
357	3.3086	0.32894	0.	123.13
358	2.8099	1.5025	0.	53.507
359	3.4665	1.4185	0.	142.71
360	3.4146	2.1807	0.	60.742
361	3.3303	1.7247	5.e-002	80.369
362	3.8752	1.6123	0.	162.16
363	6.04	0.64653	0.	67.776
364	5.447	0.73035	0.	115.14
365	5.5906	0.51676	5.e-002	28.028
366	5.0886	0.50838	0.	-36.527
367	5.6596	0.25838	0.	27.995
368	2.7314	4.9969	0.	-11.528
369	3.2547	4.5283	0.	61.765
370	3.2407	5.0612	5.e-002	14.899
371	3.8303	5.2806	0.	-70.954
372	3.2778	5.5306	0.	55.389
373	4.1111	3.7037	0.	579.15
374	3.5902	3.8777	0.	212.64
375	3.9662	3.4098	0.	151.96
376	3.9118	3.76	5.e-002	43.443
377	4.1659	4.13	0.	263.9
378	4.3104	3.6475	5.e-002	219.42
379	4.3652	3.8238	0.	39.357
380	5.5199	4.8732	0.	97.239
381	6.1518	4.9751	0.	58.511
382	5.9585	4.4425	0.	29.59
383	5.7211	4.6911	5.e-002	84.26
384	5.1539	4.5955	0.	231.31
385	5.4008	5.2579	0.	107.26
386	5.3188	5.0552	5.e-002	5.5025
387	4.9527	5.0276	0.	193.15
388	5.4319	2.5987	0.	107.
389	5.8606	2.882	0.	50.059
390	5.3149	2.9506	0.	117.94
391	5.5735	2.8768	5.e-002	113.66
392	2.2499	3.1588	0.	-46.118
393	2.274	1.9317	0.	-29.121
394	1.6967	2.5275	0.	115.8
395	2.8786	2.6099	0.	-34.403
396	2.2585	2.583	5.e-002	24.844
397	2.2317	4.3335	0.	-25.482
398	1.6872	3.7053	0.	131.8
399	2.755	3.865	0.	16.384
400	2.2414	3.7345	5.e-002	20.59
401	1.714	1.2608	0.	131.9
402	2.2894	1.2804	5.e-002	37.632
403	2.2497	0.6402	0.	-28.581
404	6.0327	5.3598	0.	37.867
405	5.4829	5.4606	5.e-002	39.159
406	5.0348	5.4803	0.	-32.815
407	5.6058	5.7303	0.	49.468
408	1.669	4.8866	0.	119.97
409	2.222	4.9326	5.e-002	17.973
410	2.216	5.4663	0.	-32.454
411	1.1245	4.2583	0.	277.77
412	1.116	4.8406	5.e-002	18.518
413	0.55798	4.8203	0.	-354.86
414	1.1105	5.4203	0.	229.39
