Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
460,22.864,1.7944,0,1.3763e-06,13.753,1.1526e-06,9.0046,-1.6858e-07,-0.92223,-9.368e-07,-6.6943,0.48264
461,22.868,1.1953,0.05,7.7878e-08,0.77824,5.98e-08,0.44932,2.1108e-13,2.858e-06,-5.98e-08,-0.44931,0.48292
462,22.871,0.59764,0,1.0873e-06,10.866,9.1015e-07,7.3595,-9.0851e-08,-0.16163,-7.4785e-07,-5.0981,0.48314
463,23.434,1.1976,0,1.0134e-06,10.127,8.7829e-07,7.1571,-1.5582e-07,-0.61275,-6.4596e-07,-4.2955,0.4993
464,1.2989,2.9948,0,0.00014768,1475.7,8.6034e-05,307.71,5.3816e-06,-298.28,-0.00013786,-1374.6,0.0023763
465,2.0289,3.5425,0,0.00013117,1310.8,6.5951e-05,112.28,1.0894e-05,-301.4,-0.0001294,-1355.5,0.0057111
466,1.3569,3.5876,0.05,2.5609e-06,25.591,1.9664e-06,14.775,-1.6133e-13,-2.4886e-07,-1.9664e-06,-14.775,0.0025583
467,0.67846,3.5938,0,0.00012331,1232.2,4.2672e-05,-356.12,2.2802e-06,-659.61,-0.00013775,-1711.8,0.00064359
468,1.8246,2.3815,0,0.000134,1339.1,6.7119e-05,113.97,1.1608e-05,-303.12,-0.00013225,-1384,0.0046518
469,1.2408,2.402,0.05,1.9103e-06,19.09,1.4669e-06,11.022,-2.2416e-15,-1.2869e-08,-1.4669e-06,-11.022,0.0021535
470,0.6204,2.401,0,0.00012459,1245.1,4.3352e-05,-353.42,2.4864e-06,-660.47,-0.00013897,-1723.3,0.00054123
471,22.857,2.9971,0,1.555e-06,15.539,1.3306e-06,10.56,-2.4132e-07,-1.2513,-1.0123e-06,-7.0438,0.48214
472,22.29,2.392,0,2.0472e-06,20.458,1.5332e-06,10.627,-4.4914e-08,-1.2304,-1.6108e-06,-12.996,0.46591
473,22.859,2.3935,0.05,7.3908e-08,0.73857,5.6752e-08,0.42641,1.7025e-13,2.7957e-06,-5.6752e-08,-0.42641,0.48235
474,23.429,2.3968,0,1.3926e-06,13.917,1.2448e-06,10.338,-3.018e-07,-1.2824,-8.0788e-07,-5.0848,0.49887
475,22.859,4.1982,0,1.3802e-06,13.792,1.1555e-06,9.0197,-1.6955e-07,-0.93654,-9.3972e-07,-6.7233,0.48185
