Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Elastic Strain (in/in)
239	15.087	0.	0.	-2.0271e-004
240	13.973	0.	0.	-2.3132e-004
241	12.859	0.	0.	-2.6068e-004
242	11.745	0.	0.	-2.9097e-004
243	10.631	0.	0.	-3.2189e-004
244	9.517	0.	0.	-3.5301e-004
245	8.403	0.	0.	-3.788e-004
246	7.2889	0.	0.	-4.0376e-004
247	6.1748	0.	0.	-4.3132e-004
248	5.0607	0.	0.	-3.2583e-004
249	0.	0.	0.	-1.8206e-004
250	3.78	0.	0.	-4.0668e-005
251	2.835	0.	0.	-3.7176e-004
252	1.89	0.	0.	-5.4983e-004
253	0.945	0.	0.	-6.3032e-004
254	0.	6.	0.	-1.8545e-004
255	3.78	6.	0.	-4.6894e-005
256	0.945	6.	0.	-6.3508e-004
257	1.89	6.	0.	-5.4805e-004
258	2.835	6.	0.	-3.531e-004
259	3.9467	4.	0.1	-7.5375e-004
260	3.9467	4.5	0.1	-4.4979e-004
261	3.9467	5.	0.1	-3.5005e-004
262	3.9467	5.5	0.1	-7.4333e-005
263	3.78	5.5	0.1	-1.6601e-004
264	3.78	5.	0.1	-2.3254e-004
265	3.78	4.5	0.1	-8.6252e-004
266	3.78	4.	0.1	-7.8972e-004
267	3.9467	2.	0.1	-7.2965e-004
268	3.9467	1.5	0.1	-5.2468e-004
269	3.9467	1.	0.1	-2.3252e-004
270	3.9467	0.5	0.1	-9.9773e-005
271	3.78	0.5	0.1	-1.6655e-004
272	3.78	1.	0.1	-3.5534e-004
273	3.78	1.5	0.1	-7.2203e-004
274	3.78	2.	0.1	-8.5823e-004
275	3.9467	6.	0.1	-3.4811e-005
276	5.0607	6.	0.1	-1.1094e-004
277	6.1748	6.	0.1	-1.5397e-004
278	7.2889	6.	0.1	-1.3799e-004
279	8.403	6.	0.1	-1.3287e-004
280	9.517	6.	0.1	-1.1712e-004
281	10.631	6.	0.1	-1.0768e-004
282	11.745	6.	0.1	-9.6739e-005
283	12.859	6.	0.1	-8.6765e-005
284	13.973	6.	0.1	-7.7163e-005
285	15.087	6.	0.1	-6.794e-005
286	16.201	6.	0.1	-5.8774e-005
287	17.316	6.	0.1	-4.9921e-005
288	18.43	6.	0.1	-4.1329e-005
289	19.544	6.	0.1	-3.3011e-005
290	20.658	6.	0.1	-2.479e-005
291	21.772	6.	0.1	-1.6558e-005
292	22.886	6.	0.1	-8.5629e-006
293	24.	6.	0.1	-2.6902e-006
294	24.	4.8	0.1	-1.4464e-005
295	24.	3.6	0.1	-1.8464e-005
296	24.	2.4	0.1	-1.845e-005
297	24.	1.2	0.1	-1.4429e-005
298	0.	1.2	0.1	-2.1773e-006
299	0.	2.4	0.1	-1.1926e-005
300	0.	3.6	0.1	-3.2739e-006
301	0.	4.8	0.1	-1.7587e-006
302	24.	0.	0.1	-2.6999e-006
303	22.886	0.	0.1	-8.5489e-006
304	21.772	0.	0.1	-1.6639e-005
305	20.658	0.	0.1	-2.4799e-005
306	19.544	0.	0.1	-3.2949e-005
307	18.43	0.	0.1	-4.13e-005
308	17.316	0.	0.1	-4.9877e-005
309	16.201	0.	0.1	-5.8712e-005
310	15.087	0.	0.1	-6.777e-005
311	13.973	0.	0.1	-7.7098e-005
312	12.859	0.	0.1	-8.6732e-005
313	11.745	0.	0.1	-9.6647e-005
314	10.631	0.	0.1	-1.0761e-004
315	9.517	0.	0.1	-1.1797e-004
316	8.403	0.	0.1	-1.3058e-004
317	7.2889	0.	0.1	-1.4614e-004
318	6.1748	0.	0.1	-1.5253e-004
319	5.0607	0.	0.1	-1.1577e-004
320	3.9467	0.	0.1	-3.8927e-005
321	3.78	0.	0.1	-2.3142e-005
322	2.835	0.	0.1	-1.4055e-004
323	1.89	0.	0.1	-2.0882e-004
324	0.945	0.	0.1	-2.4085e-004
325	0.	0.	0.1	-3.1848e-005
326	0.	6.	0.1	-2.7189e-005
327	0.945	6.	0.1	-2.3584e-004
328	1.89	6.	0.1	-1.8714e-004
329	2.835	6.	0.1	-1.2861e-004
330	3.78	6.	0.1	-2.9937e-005
331	5.5379	2.1525	0.	-4.9301e-004
332	5.2486	2.5714	0.	-5.9081e-004
333	6.1791	2.4586	0.	-4.7262e-004
334	5.6621	2.9775	0.	-5.2523e-004
335	5.6609	2.5065	5.e-002	-2.7166e-005
336	5.1657	1.535	0.	-5.4318e-004
337	6.0525	1.5147	0.	-4.5275e-004
338	5.4148	1.7984	5.e-002	-2.0971e-005
339	4.6807	1.8992	0.	-9.045e-004
340	3.3633	3.9195	0.	-9.1882e-004
341	3.3805	3.0995	0.	-9.174e-004
342	3.1114	3.7042	0.	-8.1448e-004
343	3.3222	3.579	5.e-002	-2.9807e-005
344	3.5511	3.7895	0.	-1.5666e-003
345	5.2228	4.4397	0.	-5.1447e-004
346	6.0599	4.4477	0.	-4.4411e-004
347	5.5441	3.8111	0.	-5.0905e-004
348	5.425	4.1737	5.e-002	-1.7447e-005
349	4.6858	4.0869	0.	-9.7866e-004
350	2.5707	2.8383	0.	-7.4367e-004
351	2.9734	2.0737	0.	-7.8177e-004
352	3.2916	2.5363	0.	-9.3923e-004
353	3.0225	3.141	0.	-7.8973e-004
354	3.1444	2.4526	5.e-002	-2.7683e-005
355	3.4622	1.9763	0.	-7.903e-004
356	2.2999	0.93346	0.	-5.0599e-004
357	2.7823	1.2606	0.	-5.633e-004
358	2.7621	0.82643	5.e-002	-6.8515e-006
359	3.2711	0.66322	0.	-2.9558e-004
360	2.7986	0.41322	0.	-4.2512e-004
361	5.3256	0.60822	0.	-3.8071e-004
362	4.7326	0.7034	0.	-3.5123e-004
363	4.8441	0.49274	5.e-002	-9.6532e-006
364	4.3954	0.49637	0.	-1.953e-004
365	4.9524	0.24637	0.	-3.5068e-004
366	2.9865	4.9257	0.	-5.2464e-004
367	3.2613	4.4522	0.	-7.7207e-004
368	3.0094	4.2369	0.	-6.228e-004
369	3.1181	4.6443	5.e-002	-1.946e-005
370	3.4491	4.8222	0.	-4.6085e-004
371	2.4549	4.883	0.	-4.9206e-004
372	2.8549	5.2072	5.e-002	-9.1943e-006
373	3.3175	5.3536	0.	-2.9612e-004
374	2.845	5.6036	0.	-4.0542e-004
375	4.8101	4.8936	0.	-4.6066e-004
376	4.704	5.2787	0.	-3.4834e-004
377	4.5995	5.0813	5.e-002	-2.4028e-005
378	4.2731	5.0407	0.	-3.0703e-004
379	4.4807	2.6524	0.	-7.747e-004
380	4.6979	3.0134	0.	-6.984e-004
381	4.8364	2.6363	5.e-002	-2.3279e-005
382	4.3915	2.3182	0.	-9.9075e-004
383	1.5409	4.6453	0.	-5.5133e-004
384	1.0142	4.1167	0.	-6.0934e-004
385	1.0269	4.7318	5.e-002	-2.6337e-006
386	0.51347	4.7659	0.	-5.4028e-004
387	0.98597	5.3659	0.	-6.0771e-004
388	1.3786	1.0952	0.	-5.5461e-004
389	0.93412	1.7309	0.	-5.9938e-004
390	0.91955	1.1499	5.e-002	-2.6629e-006
391	0.45977	1.175	0.	-5.385e-004
392	0.93227	0.57497	0.	-6.0144e-004
393	5.3618	0.99763	0.	-5.0282e-004
394	4.7689	1.0928	0.	-4.7383e-004
395	4.9167	1.2716	5.e-002	-3.2765e-005
396	4.4317	1.3858	0.	-4.1854e-004
397	5.4188	4.9829	0.	-4.9331e-004
398	5.0207	4.7058	5.e-002	-3.2029e-005
399	4.4837	4.6029	0.	-4.4847e-004
400	1.8728	1.5684	0.	-5.567e-004
401	1.8377	1.0405	5.e-002	-3.106e-006
402	1.8638	0.52024	0.	-5.4304e-004
403	2.0259	3.8914	0.	-5.4098e-004
404	2.4778	4.1942	0.	-6.0785e-004
405	2.0549	4.5589	5.e-002	-9.1298e-006
406	1.9724	5.2794	0.	-5.3526e-004
407	6.2487	0.9773	0.	-4.0384e-004
408	5.807	0.7237	5.e-002	-9.5875e-006
409	5.9909	0.36185	0.	-4.0335e-004
410	5.3128	5.368	0.	-3.7858e-004
411	4.8086	5.476	5.e-002	-1.0911e-005
412	4.3776	5.488	0.	-1.933e-004
413	4.9347	5.738	0.	-3.2656e-004
414	0.97505	2.9067	0.	-6.334e-004
415	1.4283	2.2041	0.	-6.0287e-004
416	0.94869	2.3119	5.e-002	-4.0744e-006
417	0.47435	2.3559	0.	-5.6724e-004
418	1.4992	3.3628	0.	-6.0379e-004
419	1.0014	3.5016	5.e-002	-9.3542e-007
420	0.5007	3.5508	0.	-5.8229e-004
421	1.9524	2.6601	0.	-5.7169e-004
422	1.997	3.224	5.e-002	-2.4556e-006
423	7.3922	1.2232	0.	-4.0767e-004
424	6.6937	1.8208	0.	-4.3186e-004
425	6.6903	1.2309	5.e-002	-4.018e-006
426	6.9896	0.61545	0.	-4.1206e-004
427	8.7099	1.2101	0.	-3.746e-004
428	8.0394	1.803	0.	-3.9209e-004
429	8.0941	1.2155	5.e-002	-1.9025e-006
430	8.2485	0.60773	0.	-3.8625e-004
431	9.9258	1.1999	0.	-3.3887e-004
432	9.2854	1.7918	0.	-3.5491e-004
