Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
481	12.575	5.2582	0.	-2672.7
482	10.932	4.5075	0.	-3117.5
483	11.665	3.7712	0.	-2910.3
484	11.524	4.511	5.e-002	-2.0212
485	11.409	5.2555	0.	-2989.2
486	9.7213	4.4969	0.	-3456.
487	10.479	3.7648	0.	-3238.2
488	10.341	4.504	5.e-002	-3.524
489	10.239	5.252	0.	-3312.9
490	8.4579	4.4719	0.	-3804.5
491	9.2329	3.7516	0.	-3582.
492	9.1021	4.4898	5.e-002	-7.4001
493	9.0423	5.2449	0.	-3659.3
494	7.1007	4.4565	0.	-3911.8
495	7.926	3.7387	0.	-3965.8
496	7.8138	4.4541	5.e-002	-1.6673
497	7.8206	5.227	0.	-3965.1
498	5.7969	4.8167	0.	-4503.3
499	6.4625	3.6788	0.	-3915.7
500	5.5924	4.2611	0.	-4440.
501	6.3877	4.459	5.e-002	-45.305
502	6.5299	5.2295	0.	-3975.6
503	5.2061	5.1743	5.e-002	-191.62
504	5.3616	5.5872	0.	-4931.7
505	7.2878	2.9609	0.	-3970.1
506	6.0218	2.4584	0.	-4667.3
507	6.5374	2.8985	5.e-002	-55.964
508	18.885	2.4194	0.	-1084.7
509	18.342	3.0608	0.	-1219.6
510	17.959	2.487	0.	-1351.2
511	18.356	2.4381	5.e-002	-4.3097
512	19.968	2.3964	0.	-862.36
513	19.421	3.0113	0.	-979.9
514	19.413	2.4007	5.e-002	-3.5569
515	21.101	2.3934	0.	-613.87
516	20.532	2.9967	0.	-735.74
517	20.524	2.3921	5.e-002	-1.895
518	21.675	2.9934	0.	-489.28
519	21.679	2.3947	5.e-002	-1.8923
520	21.106	3.5968	0.	-612.41
521	21.672	3.5922	5.e-002	-1.8645
522	19.984	3.6116	0.	-855.06
523	20.541	3.6014	5.e-002	-2.448
524	18.878	3.6526	0.	-1116.8
525	19.428	3.6218	5.e-002	-5.0328
526	17.745	3.7353	0.	-1366.3
527	18.327	3.6834	5.e-002	-4.043
528	16.729	3.535	0.	-1597.1
529	17.362	3.1616	0.	-1497.
530	17.162	3.7872	5.e-002	-2.2063
531	15.789	3.1836	0.	-1845.5
532	16.297	3.2827	5.e-002	-3.7669
533	14.714	3.065	0.	-2112.2
534	15.281	3.0845	5.e-002	-1.3995
535	13.564	3.0419	0.	-2406.1
536	14.147	3.0455	5.e-002	-1.0845
537	12.394	3.0349	0.	-2714.
538	12.982	3.0383	5.e-002	-1.7584
539	11.212	3.0286	0.	-3031.7
540	11.807	3.0314	5.e-002	-2.25
541	9.9904	3.0196	0.	-3364.8
542	10.617	3.0257	5.e-002	-3.2834
543	8.701	3.0184	0.	-3744.3
544	9.3638	3.0134	5.e-002	-3.2561
545	8.0382	3.0233	5.e-002	-5.3351
546	4.7971	4.0632	5.e-002	-120.64
547	4.0019	4.0316	0.	-10765
548	1.4156	1.8623	0.	-6625.4
549	1.9072	1.633	5.e-002	-98.879
550	2.4736	1.3165	0.	-4879.
551	2.4527	3.4055	0.	-8727.6
552	2.1525	3.3916	5.e-002	-132.54
553	2.5962	2.6958	0.	-14034
