Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Elastic Strain (in/in)
261	7.728	2.9091	0.	-4.864e-004
262	7.728	2.7273	0.	-4.8357e-004
263	7.728	2.5455	0.	-4.781e-004
264	7.728	2.3636	0.	-4.7029e-004
265	7.728	2.1818	0.	-4.605e-004
266	7.728	2.	0.	-4.4906e-004
267	7.728	1.8182	0.	-4.3623e-004
268	7.728	1.6364	0.	-4.2228e-004
269	7.728	1.4545	0.	-4.0754e-004
270	7.728	1.2727	0.	-3.925e-004
271	7.728	1.0909	0.	-3.7772e-004
272	7.728	0.90909	0.	-3.6379e-004
273	7.728	0.72727	0.	-3.5119e-004
274	7.728	0.54545	0.	-3.4028e-004
275	7.728	0.36364	0.	-3.3121e-004
276	7.728	0.18182	0.	-3.2399e-004
277	7.544	5.8182	0.	-3.4554e-004
278	7.544	5.6364	0.	-3.517e-004
279	7.544	5.4545	0.	-3.5919e-004
280	7.544	5.2727	0.	-3.6798e-004
281	7.544	5.0909	0.	-3.7792e-004
282	7.544	4.9091	0.	-3.8875e-004
283	7.544	4.7273	0.	-4.001e-004
284	7.544	4.5455	0.	-4.1155e-004
285	7.544	4.3636	0.	-4.2273e-004
286	7.544	4.1818	0.	-4.3328e-004
287	7.544	4.	0.	-4.4296e-004
288	7.544	3.8182	0.	-4.5157e-004
289	7.544	3.6364	0.	-4.589e-004
290	7.544	3.4545	0.	-4.6472e-004
291	7.544	3.2727	0.	-4.6878e-004
292	7.544	3.0909	0.	-4.7088e-004
293	7.544	2.9091	0.	-4.7088e-004
294	7.544	2.7273	0.	-4.6878e-004
295	7.544	2.5455	0.	-4.6472e-004
296	7.544	2.3636	0.	-4.589e-004
297	7.544	2.1818	0.	-4.5157e-004
298	7.544	2.	0.	-4.4296e-004
299	7.544	1.8182	0.	-4.3328e-004
300	7.544	1.6364	0.	-4.2273e-004
301	7.544	1.4545	0.	-4.1155e-004
302	7.544	1.2727	0.	-4.001e-004
303	7.544	1.0909	0.	-3.8875e-004
304	7.544	0.90909	0.	-3.7792e-004
305	7.544	0.72727	0.	-3.6798e-004
306	7.544	0.54545	0.	-3.5919e-004
307	7.544	0.36364	0.	-3.517e-004
308	7.544	0.18182	0.	-3.4554e-004
309	7.36	5.8182	0.	-3.6424e-004
310	7.36	5.6364	0.	-3.6937e-004
311	7.36	5.4545	0.	-3.7546e-004
312	7.36	5.2727	0.	-3.8245e-004
313	7.36	5.0909	0.	-3.9023e-004
314	7.36	4.9091	0.	-3.9858e-004
315	7.36	4.7273	0.	-4.0723e-004
316	7.36	4.5455	0.	-4.159e-004
317	7.36	4.3636	0.	-4.2431e-004
318	7.36	4.1818	0.	-4.3223e-004
319	7.36	4.	0.	-4.3947e-004
320	7.36	3.8182	0.	-4.4587e-004
321	7.36	3.6364	0.	-4.5129e-004
322	7.36	3.4545	0.	-4.5557e-004
323	7.36	3.2727	0.	-4.5855e-004
324	7.36	3.0909	0.	-4.6008e-004
325	7.36	2.9091	0.	-4.6008e-004
326	7.36	2.7273	0.	-4.5855e-004
327	7.36	2.5455	0.	-4.5557e-004
328	7.36	2.3636	0.	-4.5129e-004
329	7.36	2.1818	0.	-4.4587e-004
330	7.36	2.	0.	-4.3947e-004
331	7.36	1.8182	0.	-4.3223e-004
332	7.36	1.6364	0.	-4.2431e-004
333	7.36	1.4545	0.	-4.159e-004
334	7.36	1.2727	0.	-4.0723e-004
335	7.36	1.0909	0.	-3.9858e-004
336	7.36	0.90909	0.	-3.9023e-004
337	7.36	0.72727	0.	-3.8245e-004
338	7.36	0.54545	0.	-3.7546e-004
339	7.36	0.36364	0.	-3.6937e-004
340	7.36	0.18182	0.	-3.6424e-004
341	7.176	5.8182	0.	-3.8051e-004
342	7.176	5.6364	0.	-3.8469e-004
343	7.176	5.4545	0.	-3.8954e-004
344	7.176	5.2727	0.	-3.9503e-004
345	7.176	5.0909	0.	-4.0104e-004
346	7.176	4.9091	0.	-4.074e-004
347	7.176	4.7273	0.	-4.1393e-004
348	7.176	4.5455	0.	-4.2042e-004
349	7.176	4.3636	0.	-4.2669e-004
350	7.176	4.1818	0.	-4.3256e-004
351	7.176	4.	0.	-4.379e-004
352	7.176	3.8182	0.	-4.426e-004
353	7.176	3.6364	0.	-4.4655e-004
354	7.176	3.4545	0.	-4.4965e-004
355	7.176	3.2727	0.	-4.518e-004
356	7.176	3.0909	0.	-4.5289e-004
357	7.176	2.9091	0.	-4.5289e-004
358	7.176	2.7273	0.	-4.518e-004
359	7.176	2.5455	0.	-4.4965e-004
360	7.176	2.3636	0.	-4.4655e-004
361	7.176	2.1818	0.	-4.426e-004
362	7.176	2.	0.	-4.379e-004
