Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
282	4.1961e-014	4.8	0.	-1.4559e-006
283	3.1471e-014	3.6	0.	-5.7989e-007
284	2.0981e-014	2.4	0.	-8.8844e-007
285	1.049e-014	1.2	0.	-9.357e-007
286	24.	1.2	0.	-2.1208e-007
287	24.	2.4	0.	-3.6095e-007
288	24.	3.6	0.	-3.5934e-007
289	24.	4.8	0.	-2.0967e-007
290	24.	6.	0.	-1.0445e-007
291	22.872	6.	0.	-8.6319e-008
292	21.743	6.	0.	2.5464e-007
293	20.615	6.	0.	8.7252e-007
294	19.487	6.	0.	1.7335e-006
295	18.358	6.	0.	2.8251e-006
296	17.23	6.	0.	4.2013e-006
297	16.102	6.	0.	5.7846e-006
298	14.973	6.	0.	7.6557e-006
299	13.845	6.	0.	9.6858e-006
300	12.717	6.	0.	1.2159e-005
301	11.588	6.	0.	1.4412e-005
302	10.46	6.	0.	1.7494e-005
303	9.3317	6.	0.	1.8045e-005
304	8.2033	6.	0.	1.826e-005
305	7.075	6.	0.	1.4569e-005
306	5.9467	6.	0.	2.2786e-006
307	5.78	1.5	0.	2.4953e-005
308	5.78	1.	0.	2.0128e-005
309	5.78	0.5	0.	7.7076e-006
310	5.78	2.	0.	7.2107e-005
311	5.9467	0.5	0.	2.6276e-006
312	5.9467	1.	0.	1.3716e-005
313	5.9467	1.5	0.	2.8714e-005
314	5.9467	2.	0.	5.494e-005
315	5.78	4.5	0.	9.6669e-006
316	5.78	5.	0.	7.2323e-006
317	5.78	5.5	0.	-3.7587e-006
318	5.78	4.	0.	5.4384e-005
319	5.9467	5.5	0.	5.3844e-008
320	5.9467	5.	0.	1.5863e-005
321	5.9467	4.5	0.	1.9883e-005
322	5.9467	4.	0.	4.0958e-005
323	6.0958	3.0019	0.	4.6327e-005
324	6.5413	2.8295	0.	4.0514e-005
325	6.1971	2.8011	5.e-002	2.9516e-013
326	5.9885	2.4006	0.	6.4085e-005
327	6.612	3.4128	0.	4.0187e-005
328	5.6575	2.7752	0.	3.8161e-005
329	5.5243	3.226	0.	4.7918e-005
330	5.9946	3.2027	5.e-002	-6.8206e-013
331	5.9706	3.6013	0.	4.3815e-005
332	7.4105	1.1985	0.	2.1479e-005
333	6.7973	1.2143	0.	1.9216e-005
334	7.1126	1.7429	0.	2.0289e-005
335	6.9299	1.4328	5.e-002	1.0716e-012
336	6.4383	1.4664	0.	2.7725e-005
337	3.6722	2.8431	0.	2.1187e-005
338	3.2596	3.4236	0.	1.9031e-005
339	4.0258	3.7257	0.	2.1725e-005
340	4.4453	3.2993	0.	2.6988e-005
341	3.8367	3.3492	5.e-002	4.8806e-014
342	7.1939	3.9463	0.	2.3604e-005
343	7.8251	4.5118	0.	1.8968e-005
344	7.063	4.5069	0.	2.0383e-005
345	7.1585	4.2697	5.e-002	-9.4368e-013
346	6.5526	4.1349	0.	3.4857e-005
347	4.7616	0.59804	0.	1.1315e-005
348	4.9351	0.39652	5.e-002	-1.6095e-014
349	4.7795	0.19826	0.	1.2386e-005
350	5.3575	0.44826	0.	9.8981e-006
351	7.4355	0.76151	0.	2.0917e-005
352	6.8223	0.7773	0.	1.5531e-005
353	6.98	0.55881	5.e-002	1.0605e-013
354	7.0275	0.27941	0.	1.5662e-005
355	6.4633	0.52941	0.	1.2939e-005
356	4.4383	4.9401	0.	2.9878e-005
357	5.0119	4.86	0.	2.4375e-005
358	4.5432	4.3928	0.	2.7478e-005
359	4.8716	4.6833	5.e-002	-1.7341e-012
360	5.3258	4.5917	0.	2.6339e-005
361	7.3101	5.3884	0.	1.7671e-005
362	6.7213	5.2776	0.	1.4444e-005
363	6.8243	5.4752	5.e-002	-8.3323e-022
364	6.9497	5.7376	0.	1.5324e-005
365	6.3855	5.4876	0.	1.1502e-005
366	7.835	3.6808	0.	2.1494e-005
367	7.0575	3.2404	0.	3.4072e-005
368	7.2293	3.6229	5.e-002	1.816e-013
369	4.4833	5.297	0.	2.9308e-005
370	5.0569	5.2169	0.	1.7893e-005
371	4.9616	5.3971	5.e-002	4.547e-013
372	4.7928	5.6986	0.	2.2823e-005
373	5.3708	5.4486	0.	1.6716e-005
374	3.9515	1.3569	0.	2.7269e-005
375	4.5101	1.9242	0.	3.4943e-005
376	4.5528	1.1323	0.	2.0523e-005
377	4.9189	1.9064	0.	3.0896e-005
378	4.5174	1.4651	5.e-002	4.7531e-013
379	5.1487	1.4825	0.	2.8774e-005
380	2.8488	1.2089	0.	2.8944e-005
381	3.4467	1.7928	0.	2.6225e-005
382	3.3857	1.2488	5.e-002	1.4099e-013
383	3.4268	0.62438	0.	2.312e-005
384	4.0053	2.3601	0.	3.1293e-005
385	4.9117	2.3655	0.	3.4512e-005
386	4.7784	2.8163	0.	3.4635e-005
387	4.5029	2.3833	5.e-002	-1.0592e-015
388	8.0204	1.3872	0.	1.9252e-005
389	8.688	1.8543	0.	1.9294e-005
390	7.7226	1.9316	0.	1.6323e-005
391	8.4756	2.2276	0.	1.9626e-005
392	8.1499	1.8102	5.e-002	-9.6008e-014
393	3.4721	4.9566	0.	2.7025e-005
394	4.0051	5.1969	5.e-002	-5.1136e-014
395	3.7365	5.5985	0.	3.2224e-005
396	1.3542	4.1828	0.	9.1106e-006
397	2.1531	4.7388	0.	1.9836e-005
398	1.3669	4.7613	5.e-002	-4.4343e-022
399	1.2614	5.3807	0.	2.3385e-005
400	0.68345	4.7807	0.	5.8731e-006
401	1.744	1.1813	0.	1.9788e-005
402	1.2045	1.7979	0.	9.1947e-006
403	1.1761	1.1936	5.e-002	7.2063e-013
404	1.166	0.59679	0.	2.1188e-005
405	0.58803	1.1968	0.	5.92e-006
406	2.3487	1.7673	0.	2.137e-005
407	2.312	1.169	5.e-002	-1.4967e-022
408	2.312	0.58449	0.	3.0958e-005
409	8.5582	0.97241	0.	1.8298e-005
410	7.891	0.96421	5.e-002	-6.1081e-014
411	8.0472	0.4821	0.	2.0628e-005
412	9.8021	1.0379	0.	1.8004e-005
413	9.2258	1.4395	0.	1.8342e-005
414	9.2255	0.98061	5.e-002	2.3525e-013
415	9.2786	0.49031	0.	1.9366e-005
416	10.912	1.1537	0.	1.6012e-005
417	10.296	1.6696	0.	1.7171e-005
418	10.379	1.0952	5.e-002	4.998e-013
419	10.419	0.54758	0.	1.7469e-005
420	12.031	1.2034	0.	1.3739e-005
421	11.379	1.7991	0.	1.4849e-005
422	11.445	1.2122	5.e-002	1.3312e-013
423	11.517	0.6061	0.	1.4831e-005
424	13.197	1.1871	0.	1.1342e-005
425	12.567	1.7892	0.	1.2559e-005
426	12.616	1.1946	5.e-002	-1.7711e-015
427	12.667	0.59728	0.	1.246e-005
428	14.355	1.1764	0.	8.9272e-006
429	13.743	1.7711	0.	1.0052e-005
430	13.777	1.1796	5.e-002	1.568e-015
431	13.811	0.58978	0.	9.8861e-006
432	15.504	1.1766	0.	6.8617e-006
433	14.911	1.7615	0.	7.8034e-006
434	14.934	1.1733	5.e-002	-1.7545e-015
435	14.954	0.58667	0.	7.7566e-006
436	16.643	1.1811	0.	5.074e-006
437	16.065	1.7676	0.	5.8668e-006
438	16.075	1.1799	5.e-002	6.6609e-016
439	16.088	0.58993	0.	5.855e-006
440	17.774	1.1825	0.	3.5715e-006
441	17.205	1.7735	0.	4.2106e-006
442	17.21	1.1824	5.e-002	-8.8396e-015
443	17.22	0.59119	0.	4.2314e-006
444	18.904	1.1874	0.	2.3347e-006
445	18.336	1.7765	0.	2.8312e-006
446	18.337	1.1827	5.e-002	5.0587e-014
447	18.348	0.59133	0.	2.8674e-006
448	20.034	1.1931	0.	1.338e-006
449	19.464	1.7898	0.	1.7174e-006
450	19.471	1.1922	5.e-002	1.0736e-013
451	19.479	0.59608	0.	1.7562e-006
452	21.166	1.1933	0.	5.8732e-007
453	20.588	1.7959	0.	8.4047e-007
454	20.597	1.1941	5.e-002	1.2045e-013
455	20.606	0.59705	0.	8.8421e-007
456	22.3	1.1939	0.	9.0174e-008
457	21.726	1.7916	0.	2.1801e-007
458	21.734	1.1925	5.e-002	1.7055e-013
459	21.739	0.59623	0.	2.7067e-007
460	22.862	1.7945	0.	-1.6879e-007
461	22.866	1.1954	5.e-002	1.6493e-013
462	22.869	0.59768	0.	-9.0569e-008
463	23.433	1.1977	0.	-1.5553e-007
464	1.2871	3.0033	0.	5.2294e-006
465	2.0119	3.5512	0.	1.0682e-005
466	1.3414	3.6042	5.e-002	-8.6147e-014
467	0.6707	3.6021	0.	2.2548e-006
468	1.8091	2.3839	0.	1.1194e-005
469	1.2329	2.4023	5.e-002	-1.1617e-013
470	0.61644	2.4012	0.	2.3653e-006
471	22.855	2.9971	0.	-2.4153e-007
472	22.288	2.3922	0.	-4.2126e-008
473	22.857	2.3936	5.e-002	1.7495e-013
474	23.428	2.3968	0.	-3.0206e-007
475	22.857	4.1983	0.	-1.6913e-007
476	22.286	3.5991	0.	-4.2496e-008
477	22.854	3.6006	5.e-002	1.7461e-013
478	23.427	3.6003	0.	-3.0208e-007
479	22.294	4.7967	0.	9.266e-008
480	22.86	4.7959	5.e-002	1.9392e-013
481	23.43	4.798	0.	-1.5377e-007
482	22.866	5.398	0.	-9.0978e-008
483	21.16	4.7968	0.	5.9383e-007
484	21.723	4.1976	0.	2.2047e-007
485	21.727	4.7975	5.e-002	1.748e-013
486	21.735	5.3987	0.	2.6845e-007
487	20.025	4.7973	0.	1.3457e-006
488	20.584	4.1956	0.	8.4571e-007
489	20.592	4.7961	5.e-002	1.6342e-013
490	20.603	5.398	0.	8.8952e-007
491	18.895	4.7875	0.	2.3445e-006
492	19.453	4.1925	0.	1.7229e-006
493	19.459	4.7986	5.e-002	1.3362e-013
494	19.473	5.3993	0.	1.7597e-006
495	17.767	4.7566	0.	3.599e-006
496	18.33	4.1745	0.	2.8435e-006
497	18.331	4.7765	5.e-002	9.3828e-014
498	18.345	5.3883	0.	2.8643e-006
499	16.625	4.7323	0.	5.1158e-006
500	17.204	4.1419	0.	4.2288e-006
501	17.203	4.7366	5.e-002	1.2324e-013
502	17.216	5.3683	0.	4.2476e-006
503	15.477	4.7391	0.	6.9205e-006
504	16.047	4.1255	0.	5.8776e-006
505	16.046	4.7279	5.e-002	1.2848e-013
506	16.074	5.364	0.	5.8608e-006
507	14.325	4.7544	0.	9.021e-006
508	14.892	4.1492	0.	7.8507e-006
509	14.908	4.7503	5.e-002	6.5782e-015
510	14.941	5.3752	0.	7.78e-006
511	13.145	4.7592	0.	1.1567e-005
512	13.718	4.1593	0.	1.013e-005
513	13.742	4.7584	5.e-002	7.9944e-015
514	13.794	5.3792	0.	9.9113e-006
515	11.919	4.745	0.	1.4014e-005
516	12.514	4.1643	0.	1.2733e-005
517	12.547	4.76	5.e-002	2.2715e-013
518	12.632	5.38	0.	1.2587e-005
519	10.652	4.7383	0.	1.6021e-005
520	11.239	4.1408	0.	1.4818e-005
521	11.291	4.7301	5.e-002	1.3125e-013
522	11.44	5.3651	0.	1.4941e-005
523	9.2517	4.7502	0.	1.7624e-005
524	9.8622	4.0987	0.	1.6033e-005
525	10.012	4.7465	5.e-002	7.4023e-014
526	10.236	5.3732	0.	1.7138e-005
527	8.1437	5.0278	0.	2.1093e-005
528	8.4662	4.2464	0.	1.7915e-005
529	8.4917	4.754	5.e-002	-1.3735e-014
530	8.9117	5.377	0.	2.1485e-005
531	7.3817	5.0228	0.	2.1722e-005
532	7.7958	5.3016	5.e-002	5.5416e-014
533	7.9995	5.6508	0.	1.9982e-005
534	2.9466	2.3512	0.	1.8614e-005
535	3.5077	2.3369	5.e-002	-2.254e-013
536	9.0766	3.5948	0.	1.6416e-005
537	8.1349	3.2791	0.	1.7997e-005
538	8.4407	3.7388	5.e-002	2.2594e-014
539	2.5339	2.9318	0.	1.6425e-005
540	2.8108	4.1071	0.	2.1053e-005
541	2.6824	3.4981	5.e-002	-3.1075e-022
542	2.3854	2.3656	5.e-002	-1.4222e-013
543	9.7195	2.0712	0.	1.7563e-005
544	9.0138	2.2717	0.	1.8248e-005
545	9.2262	1.8984	5.e-002	-4.125e-013
546	10.763	2.315	0.	1.5944e-005
547	9.9627	2.8474	0.	1.6303e-005
548	10.213	2.244	5.e-002	1.1452e-014
549	11.916	2.3849	0.	1.3718e-005
550	11.25	2.9688	0.	1.4495e-005
551	11.314	2.3861	5.e-002	-1.9871e-015
552	13.114	2.3731	0.	1.1269e-005
553	12.5	2.9762	0.	1.2568e-005
554	12.518	2.3837	5.e-002	3.4825e-014
555	14.299	2.3561	0.	8.9282e-006
556	13.702	2.9614	0.	1.0102e-005
557	13.71	2.3625	5.e-002	-1.437e-014
558	15.472	2.3525	0.	6.8077e-006
559	14.882	2.9489	0.	7.7871e-006
560	14.888	2.3497	5.e-002	1.1019e-013
561	16.627	2.36	0.	5.0028e-006
562	16.051	2.9392	0.	5.8278e-006
563	16.056	2.3553	5.e-002	1.0935e-013
564	17.766	2.3675	0.	3.4697e-006
565	17.202	2.9559	0.	4.1659e-006
566	17.199	2.3647	5.e-002	-5.3733e-015
567	18.896	2.3789	0.	2.2131e-006
568	18.332	2.9714	0.	2.7778e-006
569	18.334	2.3704	5.e-002	4.5536e-014
570	20.019	2.3925	0.	1.2191e-006
571	19.452	2.9869	0.	1.6576e-006
572	19.458	2.3874	5.e-002	4.7957e-014
573	21.149	2.3941	0.	4.7034e-007
574	20.577	2.9964	0.	7.8445e-007
575	20.58	2.3976	5.e-002	5.2232e-014
576	21.718	2.9942	0.	1.5831e-007
577	21.718	2.3907	5.e-002	1.172e-013
578	21.147	3.5964	0.	4.7148e-007
579	21.719	3.5977	5.e-002	1.3559e-013
580	20.011	3.5908	0.	1.2221e-006
581	20.575	3.5952	5.e-002	1.2275e-013
