Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
306	16.251	6.	0.	5.5791e-006
307	15.144	6.	0.	7.3817e-006
308	14.037	6.	0.	9.425e-006
309	12.93	6.	0.	1.1697e-005
310	11.823	6.	0.	1.4222e-005
311	10.716	6.	0.	1.7001e-005
312	9.6088	6.	0.	2.0067e-005
313	8.5018	6.	0.	2.292e-005
314	7.3947	6.	0.	2.6565e-005
315	6.2877	6.	0.	2.7796e-005
316	5.1807	6.	0.	2.8731e-005
317	4.0737	6.	0.	2.2973e-005
318	2.9667	6.	0.	1.6537e-006
319	2.8	1.5	0.	5.8508e-005
320	2.8	1.	0.	4.7803e-005
321	2.8	0.5	0.	2.6297e-005
322	2.8	2.	0.	7.04e-005
323	2.9667	0.5	0.	6.888e-006
324	2.9667	1.	0.	2.5093e-005
325	2.9667	1.5	0.	1.5904e-005
326	2.9667	2.	0.	9.0643e-005
327	2.8	4.5	0.	4.2383e-005
328	2.8	5.	0.	9.4202e-006
329	2.8	5.5	0.	1.3852e-005
330	2.8	4.	0.	8.1625e-005
331	2.9667	5.5	0.	6.8574e-006
332	2.9667	5.	0.	2.4015e-005
333	2.9667	4.5	0.	4.2148e-005
334	2.9667	4.	0.	8.9869e-005
335	2.3509	3.8462	0.	6.3278e-005
336	2.7999	3.1649	0.	7.3295e-005
337	2.6268	3.606	0.	5.0837e-005
338	2.5078	3.582	5.e-002	1.1761e-012
339	2.6539	2.791	0.	8.5647e-005
340	2.6539	4.041	0.	5.4821e-005
341	2.6539	3.791	0.	1.0345e-004
342	3.2971	3.0252	0.	6.882e-005
343	3.3259	3.3646	0.	3.9468e-005
344	3.8523	3.1724	0.	5.6401e-005
345	3.5021	3.3027	5.e-002	-2.0149e-021
346	3.2344	3.6513	0.	7.3877e-005
347	4.5854	0.99067	0.	3.1646e-005
348	4.6039	1.526	0.	2.5799e-005
349	4.0262	1.1708	0.	2.7465e-005
350	4.0489	1.5497	0.	2.9065e-005
351	4.3458	1.294	5.e-002	1.647e-015
352	5.037	4.2815	0.	2.95e-005
353	4.5132	4.8733	0.	3.3801e-005
354	3.9816	4.7266	0.	2.4698e-005
355	4.2731	4.0299	0.	2.9399e-005
356	4.1899	4.445	5.e-002	1.4441e-013
357	3.5783	4.4725	0.	3.7747e-005
358	1.2928	0.91043	0.	2.0579e-005
359	1.774	1.1537	0.	2.6536e-005
360	1.7631	0.7897	5.e-002	2.0415e-013
361	1.8149	0.39485	0.	3.2451e-005
362	2.2816	0.64485	0.	2.7015e-005
363	1.3573	2.6637	0.	1.3222e-005
364	1.8194	1.8936	0.	2.1808e-005
365	1.8981	2.7248	0.	3.3467e-005
366	1.8539	2.2696	5.e-002	3.3356e-014
367	2.327	1.8848	0.	3.7541e-005
368	4.3618	0.61788	0.	2.6117e-005
369	3.8025	0.79803	0.	1.984e-005
370	3.8985	0.54841	5.e-002	-2.1097e-021
371	3.9861	0.27421	0.	2.1519e-005
372	3.4326	0.52421	0.	1.6449e-005
373	1.4565	4.5725	0.	1.8155e-005
374	2.0329	4.4808	0.	4.4174e-005
375	1.8719	4.8511	5.e-002	-6.3746e-022
376	1.8693	5.4256	0.	3.3475e-005
377	2.3359	5.1756	0.	2.0039e-005
378	4.4159	5.3867	0.	2.6179e-005
379	3.8843	5.24	0.	1.5572e-005
380	3.9954	5.4717	5.e-002	-8.3829e-022
381	4.0345	5.7359	0.	2.0427e-005
382	3.481	5.4859	0.	1.4373e-005
383	4.4246	2.051	0.	2.9169e-005
384	3.5395	2.5459	0.	5.6558e-005
385	3.8695	2.0747	0.	3.2803e-005
386	4.0948	2.693	0.	3.2967e-005
387	3.9871	2.3439	5.e-002	-6.5262e-013
388	0.95093	3.6759	0.	6.4153e-006
389	0.81837	2.5709	0.	4.5528e-006
390	0.86068	3.0578	5.e-002	-1.8423e-013
391	0.43034	3.3289	0.	2.4788e-006
392	1.4917	3.7369	0.	2.7146e-005
393	1.0412	4.2939	5.e-002	-3.6332e-014
394	0.98725	5.147	0.	1.5208e-005
395	0.52059	4.547	0.	3.4428e-006
396	5.9721	4.5774	0.	2.5548e-005
397	6.5064	4.0115	0.	2.4549e-005
398	5.7721	3.6802	0.	2.4939e-005
399	5.8841	4.118	5.e-002	-1.1859e-013
400	0.79931	1.5576	0.	6.5362e-006
401	1.2804	1.8008	0.	1.1536e-005
402	0.77607	2.084	5.e-002	-2.4651e-013
403	0.38803	2.242	0.	1.592e-006
404	0.82256	1.0312	5.e-002	-1.8946e-014
405	0.87795	0.51558	0.	1.7122e-005
406	0.41128	1.1156	0.	3.7714e-006
407	5.2645	0.85028	0.	3.1846e-005
408	4.8251	0.68734	5.e-002	-2.1292e-013
409	5.0029	0.34367	0.	3.1878e-005
410	6.1923	1.2993	0.	2.5311e-005
411	5.2831	1.3856	0.	2.5829e-005
412	5.704	1.0132	5.e-002	-3.3648e-014
413	5.9959	0.50662	0.	2.9398e-005
414	7.5203	1.5096	0.	2.1243e-005
415	6.8145	2.2062	0.	2.1803e-005
416	6.0176	1.9899	0.	2.2746e-005
417	6.6806	1.5854	5.e-002	5.2494e-013
418	7.0377	0.79269	0.	2.5802e-005
419	8.9408	1.3973	0.	2.0711e-005
420	8.3511	2.0349	0.	2.1287e-005
421	8.36	1.4339	5.e-002	1.067e-014
422	8.4309	0.71694	0.	2.1058e-005
423	10.098	1.3386	0.	1.8449e-005
424	9.5086	1.9523	0.	1.9562e-005
425	9.5217	1.3607	5.e-002	1.5875e-014
426	9.5652	0.68034	0.	1.9513e-005
427	11.236	1.3041	0.	1.5793e-005
428	10.663	1.9081	0.	1.7192e-005
429	10.674	1.3166	5.e-002	-1.725e-015
430	10.695	0.65829	0.	1.6993e-005
431	12.359	1.2839	0.	1.3014e-005
432	11.784	1.8802	0.	1.4279e-005
433	11.798	1.2916	5.e-002	-1.0065e-022
434	11.81	0.6458	0.	1.4224e-005
435	13.475	1.2697	0.	1.0586e-005
436	12.907	1.8707	0.	1.1714e-005
437	12.92	1.2762	5.e-002	-9.3512e-023
438	12.925	0.63809	0.	1.1716e-005
439	14.587	1.249	0.	8.4084e-006
440	14.029	1.8712	0.	9.3834e-006
441	14.029	1.2631	5.e-002	4.5715e-015
442	14.033	0.63157	0.	9.4046e-006
443	15.698	1.2288	0.	6.4955e-006
444	15.148	1.8425	0.	7.3275e-006
445	15.145	1.2348	5.e-002	7.0724e-015
446	15.145	0.6174	0.	7.391e-006
447	16.803	1.2142	0.	4.828e-006
448	16.251	1.8266	0.	5.5321e-006
449	16.25	1.2227	5.e-002	2.2411e-013
450	16.251	0.61136	0.	5.5907e-006
451	17.905	1.2061	0.	3.4066e-006
452	17.354	1.8156	0.	4.0029e-006
453	17.355	1.2057	5.e-002	1.038e-013
454	17.357	0.60286	0.	4.0443e-006
455	19.003	1.2096	0.	2.2223e-006
456	18.446	1.8206	0.	2.6981e-006
457	18.455	1.2066	5.e-002	8.1909e-014
458	18.46	0.60328	0.	2.7393e-006
459	20.101	1.2127	0.	1.2731e-006
460	19.541	1.8285	0.	1.6391e-006
461	19.552	1.2126	5.e-002	1.4948e-013
462	19.562	0.60632	0.	1.6726e-006
463	21.211	1.2088	0.	5.5934e-007
464	20.641	1.8153	0.	8.0155e-007
465	20.65	1.2129	5.e-002	2.3363e-013
466	20.664	0.60643	0.	8.3958e-007
467	22.328	1.1999	0.	7.8824e-008
