Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
624	0.38523	9.1576e-002	1.27e-003	7.2078e-003
625	0.34353	9.2529e-002	0.	6.024e-003
626	0.35726	9.2601e-002	1.27e-003	6.4095e-003
627	0.31586	9.2772e-002	0.	5.2621e-003
628	0.3298	9.2457e-002	1.27e-003	5.6431e-003
629	0.28747	9.262e-002	0.	4.5051e-003
630	0.30192	9.3087e-002	1.27e-003	4.8868e-003
631	0.25832	9.1893e-002	0.	3.7592e-003
632	0.27302	9.2152e-002	1.27e-003	4.1308e-003
633	0.22858	9.134e-002	0.	3.0364e-003
634	0.24363	9.1634e-002	1.27e-003	3.3967e-003
635	0.1995	8.9567e-002	0.	2.3735e-003
636	0.17337	8.4351e-002	0.	1.8204e-003
637	0.18547	8.8087e-002	1.27e-003	2.071e-003
638	0.21353	9.1046e-002	1.27e-003	2.6874e-003
639	0.12439	0.12825	1.27e-003	8.8777e-004
640	0.11562	0.12763	0.	7.3808e-004
641	8.0316e-002	2.9992e-002	1.27e-003	3.2748e-004
642	9.1466e-002	2.7696e-002	0.	4.1546e-004
643	6.7555e-002	6.8505e-002	1.27e-003	2.5498e-004
644	8.5086e-002	5.9653e-002	0.	4.0076e-004
645	2.6809e-002	2.9261e-002	1.27e-003	3.6435e-005
646	2.6231e-002	1.463e-002	0.	3.1043e-005
647	1.3404e-002	2.987e-002	0.	9.3119e-006
648	0.12884	3.1602e-002	0.	9.4959e-004
649	0.12502	2.5807e-002	1.27e-003	8.7346e-004
650	0.11593	2.5604e-002	0.	7.1725e-004
651	0.13266	3.7398e-002	1.27e-003	1.0236e-003
652	0.11975	3.7749e-002	0.	8.0354e-004
653	0.11796	7.1299e-002	0.	8.157e-004
654	0.11634	6.4848e-002	1.27e-003	7.8646e-004
655	0.11159	5.7824e-002	0.	7.0857e-004
656	0.11214	9.2605e-002	0.	7.2669e-004
657	0.10435	9.3347e-002	0.	6.1634e-004
658	0.1076	8.9654e-002	0.	6.6434e-004
659	0.10723	9.3445e-002	1.27e-003	6.5521e-004
660	0.10492	9.7523e-002	0.	6.1754e-004
661	0.12494	8.8801e-002	0.	9.2662e-004
662	0.1165	8.8407e-002	0.	7.9423e-004
663	0.11704	9.1765e-002	1.27e-003	8.0027e-004
664	0.11195	9.6683e-002	0.	7.1998e-004
665	0.1009	9.1222e-002	0.	5.7483e-004
666	0.10148	9.3249e-002	1.27e-003	5.7932e-004
667	9.8371e-002	8.3198e-002	0.	5.5007e-004
668	9.7089e-002	8.8313e-002	0.	5.3179e-004
669	9.3863e-002	8.7432e-002	1.27e-003	4.9549e-004
670	0.12621	8.1793e-002	0.	9.4769e-004
671	0.13285	8.5837e-002	1.27e-003	1.0575e-003
672	0.10542	8.2413e-002	0.	6.3941e-004
673	0.11123	7.8357e-002	0.	7.1968e-004
674	0.10288	7.8964e-002	1.27e-003	6.0677e-004
675	0.16128	8.0615e-002	1.27e-003	1.5792e-003
676	0.10414	8.7529e-002	0.	6.1961e-004
677	0.11196	8.5456e-002	0.	7.2851e-004
678	0.10796	8.5863e-002	1.27e-003	6.7175e-004
679	0.10031	8.9195e-002	1.27e-003	5.6947e-004
680	0.11777	8.1399e-002	0.	8.1531e-004
681	0.11958	7.775e-002	1.27e-003	8.4212e-004
682	0.11596	8.5048e-002	1.27e-003	7.8694e-004
683	6.028e-002	0.10365	1.27e-003	1.9738e-004
684	4.7589e-002	9.5882e-002	2.54e-003	1.2525e-004
685	6.8171e-002	9.461e-002	2.54e-003	2.5667e-004
686	5.6277e-002	0.11526	2.54e-003	1.6766e-004
687	7.0497e-002	0.1099	2.54e-003	2.6612e-004
688	0.11777	8.1399e-002	2.54e-003	8.1531e-004
689	0.11196	8.5456e-002	2.54e-003	7.2851e-004
690	0.1165	8.8407e-002	2.54e-003	7.9423e-004
691	0.11123	7.8357e-002	2.54e-003	7.1968e-004
692	0.12621	8.1793e-002	2.54e-003	9.4769e-004
693	0.11796	7.1299e-002	2.54e-003	8.157e-004
694	0.10414	8.7529e-002	2.54e-003	6.1961e-004
695	9.7089e-002	8.8313e-002	2.54e-003	5.3179e-004
696	0.1009	9.1222e-002	2.54e-003	5.7483e-004
697	0.10542	8.2413e-002	2.54e-003	6.3941e-004
698	0.1076	8.9654e-002	2.54e-003	6.6434e-004
699	0.17337	8.4351e-002	2.54e-003	1.8204e-003
700	0.16217	6.7518e-002	2.54e-003	1.5932e-003
701	0.15419	9.1271e-002	2.54e-003	1.4441e-003
702	0.14939	7.5037e-002	2.54e-003	1.352e-003
703	9.8371e-002	8.3198e-002	2.54e-003	5.5007e-004
704	9.979e-002	7.5047e-002	2.54e-003	5.6846e-004
705	0.12494	8.8801e-002	2.54e-003	9.2662e-004
706	0.13998	9.3882e-002	2.54e-003	1.1822e-003
707	0.13517	7.7647e-002	2.54e-003	1.0971e-003
708	8.4962e-002	8.6503e-002	2.54e-003	4.0393e-004
709	9.5602e-002	9.305e-002	2.54e-003	5.1034e-004
710	0.10435	9.3347e-002	2.54e-003	6.1634e-004
