Node Number	X Location (m)	Y Location (m)	Z Location (m)	Middle Principal Elastic Strain (m/m)
221	0.16271	0.1524	2.54e-003	-2.4214e-005
222	0.19064	0.1524	2.54e-003	-2.5648e-005
223	0.21857	0.1524	2.54e-003	-2.0985e-005
224	0.2465	0.1524	2.54e-003	-2.023e-005
225	0.27443	0.1524	2.54e-003	-1.6795e-005
226	0.30236	0.1524	2.54e-003	-1.41e-005
227	0.33029	0.1524	2.54e-003	-1.1525e-005
228	0.35822	0.1524	2.54e-003	-9.3302e-006
229	0.38616	0.1524	2.54e-003	-7.2797e-006
230	0.41409	0.1524	2.54e-003	-5.4866e-006
231	0.44202	0.1524	2.54e-003	-3.9629e-006
232	0.46995	0.1524	2.54e-003	-2.6702e-006
233	0.49788	0.1524	2.54e-003	-1.6167e-006
234	0.52581	0.1524	2.54e-003	-8.0856e-007
235	0.55374	0.1524	2.54e-003	-2.3102e-007
236	0.58167	0.1524	2.54e-003	9.4263e-008
237	0.6096	0.1524	2.54e-003	9.8489e-008
238	0.6096	0.12192	2.54e-003	2.1027e-007
239	0.6096	9.144e-002	2.54e-003	3.6202e-007
240	0.6096	6.096e-002	2.54e-003	3.6146e-007
241	0.6096	3.048e-002	2.54e-003	2.1223e-007
242	2.6645e-016	3.048e-002	2.54e-003	1.071e-006
243	5.3291e-016	6.096e-002	2.54e-003	1.0283e-006
244	7.9936e-016	9.144e-002	2.54e-003	1.0367e-006
245	1.0658e-015	0.12192	2.54e-003	9.2499e-007
246	0.6096	0.	2.54e-003	9.5933e-008
247	0.58167	0.	2.54e-003	9.0663e-008
248	0.55374	0.	2.54e-003	-2.2973e-007
249	0.52581	0.	2.54e-003	-8.1502e-007
250	0.49788	0.	2.54e-003	-1.6366e-006
251	0.46995	0.	2.54e-003	-2.6829e-006
252	0.44202	0.	2.54e-003	-3.973e-006
253	0.41409	0.	2.54e-003	-5.5061e-006
254	0.38616	0.	2.54e-003	-7.2527e-006
255	0.35822	0.	2.54e-003	-9.2843e-006
256	0.33029	0.	2.54e-003	-1.1623e-005
257	0.30236	0.	2.54e-003	-1.4078e-005
258	0.27443	0.	2.54e-003	-1.6832e-005
259	0.2465	0.	2.54e-003	-1.9801e-005
260	0.21857	0.	2.54e-003	-2.2425e-005
261	0.19064	0.	2.54e-003	-2.4092e-005
262	0.16271	0.	2.54e-003	-2.2259e-005
263	0.13478	0.	2.54e-003	-1.5286e-005
264	0.10685	0.	2.54e-003	-4.4133e-007
265	0.10262	0.	2.54e-003	-5.1335e-007
266	7.6962e-002	-3.8133e-032	2.54e-003	-2.6906e-005
267	5.1308e-002	-2.5422e-032	2.54e-003	-4.1312e-005
268	2.5654e-002	-1.2711e-032	2.54e-003	-3.2087e-005
269	0.	0.	2.54e-003	8.4777e-008
270	1.e-015	0.1524	2.54e-003	2.4472e-007
271	2.5654e-002	0.1524	2.54e-003	-3.4076e-005
272	5.1308e-002	0.1524	2.54e-003	-4.0558e-005
273	7.6962e-002	0.1524	2.54e-003	-2.6749e-005
274	0.10262	0.1524	2.54e-003	5.0841e-007
275	7.6962e-002	0.1524	0.	2.6749e-005
276	5.1308e-002	0.1524	0.	4.0558e-005
277	2.5654e-002	0.1524	0.	3.4076e-005
278	0.10262	0.1524	0.	-5.0841e-007
279	1.e-015	0.1524	0.	-2.4472e-007
280	2.5654e-002	-1.2711e-032	0.	3.2087e-005
281	5.1308e-002	-2.5422e-032	0.	4.1312e-005
282	7.6962e-002	-3.8133e-032	0.	2.6906e-005
283	0.10262	0.	0.	5.1335e-007
284	0.	0.	0.	-8.4777e-008
285	0.13478	0.	0.	1.5286e-005
286	0.16271	0.	0.	2.2259e-005
287	0.19064	0.	0.	2.4092e-005
288	0.21857	0.	0.	2.2425e-005
289	0.2465	0.	0.	1.9801e-005
290	0.27443	0.	0.	1.6832e-005
291	0.30236	0.	0.	1.4078e-005
292	0.33029	0.	0.	1.1623e-005
293	0.35822	0.	0.	9.2843e-006
294	0.38616	0.	0.	7.2527e-006
295	0.41409	0.	0.	5.5061e-006
296	0.44202	0.	0.	3.973e-006
297	0.46995	0.	0.	2.6829e-006
298	0.49788	0.	0.	1.6366e-006
299	0.52581	0.	0.	8.1502e-007
300	0.55374	0.	0.	2.2973e-007
301	0.58167	0.	0.	-9.0664e-008
302	0.10685	0.	0.	4.4133e-007
303	0.6096	0.	0.	-9.5931e-008
304	1.0658e-015	0.12192	0.	-9.2499e-007
305	7.9936e-016	9.144e-002	0.	-1.0367e-006
306	5.3291e-016	6.096e-002	0.	-1.0283e-006
307	2.6645e-016	3.048e-002	0.	-1.071e-006
308	0.6096	3.048e-002	0.	-2.1223e-007
309	0.6096	6.096e-002	0.	-3.6146e-007
310	0.6096	9.144e-002	0.	-3.6203e-007
311	0.6096	0.12192	0.	-2.1027e-007
312	0.6096	0.1524	0.	-9.8487e-008
313	0.58167	0.1524	0.	-9.4263e-008
314	0.55374	0.1524	0.	2.3102e-007
315	0.52581	0.1524	0.	8.0856e-007
316	0.49788	0.1524	0.	1.6167e-006
317	0.46995	0.1524	0.	2.6702e-006
318	0.44202	0.1524	0.	3.9629e-006
319	0.41409	0.1524	0.	5.4866e-006
320	0.38616	0.1524	0.	7.2797e-006
321	0.35822	0.1524	0.	9.3302e-006
322	0.33029	0.1524	0.	1.1525e-005
323	0.30236	0.1524	0.	1.41e-005
324	0.27443	0.1524	0.	1.6795e-005
325	0.2465	0.1524	0.	2.023e-005
326	0.21857	0.1524	0.	2.0985e-005
327	0.19064	0.1524	0.	2.5648e-005
328	0.16271	0.1524	0.	2.4214e-005
329	0.13478	0.1524	0.	1.5091e-005
330	0.10685	0.1524	0.	1.9628e-006
331	0.10262	3.81e-002	0.	4.1643e-005
332	0.10262	2.54e-002	0.	4.4693e-005
333	0.10262	1.27e-002	0.	1.5777e-005
334	0.10262	5.08e-002	0.	9.7606e-005
335	0.10685	1.27e-002	0.	5.4976e-007
336	0.10685	2.54e-002	0.	1.4776e-005
337	0.10685	3.81e-002	0.	3.3036e-005
338	0.10685	5.08e-002	0.	8.826e-005
339	0.10262	0.1143	0.	1.3915e-005
340	0.10262	0.127	0.	2.9979e-005
341	0.10262	0.1397	0.	7.2219e-006
342	0.10262	0.1016	0.	1.1565e-004
343	0.10685	0.1397	0.	-2.9889e-006
344	0.10685	0.127	0.	3.7964e-007
345	0.10685	0.1143	0.	1.5432e-005
346	0.10685	0.1016	0.	4.2512e-005
347	0.13724	6.1021e-002	0.	2.5472e-005
348	0.12692	6.7153e-002	0.	5.0867e-005
349	0.13517	7.7647e-002	0.	2.9713e-005
350	0.14939	7.5037e-002	0.	2.4665e-005
351	0.1375	6.9458e-002	1.27e-003	-1.3014e-013
352	0.15002	5.3503e-002	0.	2.2399e-005
353	0.13482	4.4991e-002	0.	2.7254e-005
354	0.13699	5.2584e-002	1.27e-003	-3.9788e-015
355	0.12192	5.1692e-002	0.	6.4143e-005
356	8.638e-002	7.8352e-002	0.	5.7391e-005
357	0.10652	6.7989e-002	0.	5.5344e-005
358	9.979e-002	7.5047e-002	0.	5.8405e-005
359	9.67e-002	7.113e-002	1.27e-003	1.9954e-012
360	9.9658e-002	6.0965e-002	0.	7.6136e-005
361	9.3218e-002	0.10184	0.	5.1722e-005
362	9.9408e-002	9.5958e-002	0.	9.3723e-005
