Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent Elastic Strain (m/m)
75	0.38523	9.1576e-002	0.	2.356e-005
76	0.35726	9.2601e-002	0.	2.9502e-005
77	0.3298	9.2457e-002	0.	3.5987e-005
78	0.30192	9.3087e-002	0.	4.3201e-005
79	0.27302	9.2152e-002	0.	5.1229e-005
80	0.24363	9.1634e-002	0.	5.9701e-005
81	0.18547	8.8087e-002	0.	8.0583e-005
82	0.21353	9.1046e-002	0.	6.9424e-005
83	0.12439	0.12825	0.	5.0144e-005
84	8.0316e-002	2.9992e-002	0.	9.6902e-005
85	6.7555e-002	6.8505e-002	0.	1.3568e-004
86	2.6809e-002	2.9261e-002	0.	1.4211e-004
87	0.12502	2.5807e-002	0.	6.355e-005
88	0.13266	3.7398e-002	0.	1.0471e-004
89	0.11634	6.4848e-002	0.	1.8663e-004
90	0.10723	9.3445e-002	0.	2.9033e-004
91	0.11704	9.1765e-002	0.	1.6656e-004
92	0.10148	9.3249e-002	0.	3.3229e-004
93	9.3863e-002	8.7432e-002	0.	2.3872e-004
94	0.13285	8.5837e-002	0.	1.4851e-004
95	0.10288	7.8964e-002	0.	2.2222e-004
96	0.16128	8.0615e-002	0.	9.0357e-005
97	0.10796	8.5863e-002	0.	2.35e-004
98	0.10031	8.9195e-002	0.	2.6359e-004
99	0.11958	7.775e-002	0.	1.7731e-004
100	0.11596	8.5048e-002	0.	1.8707e-004
101	6.028e-002	0.10365	0.	1.3917e-004
102	6.028e-002	0.10365	2.54e-003	1.3917e-004
103	0.11596	8.5048e-002	2.54e-003	1.8707e-004
104	0.11958	7.775e-002	2.54e-003	1.7731e-004
105	0.10031	8.9195e-002	2.54e-003	2.6359e-004
106	0.10796	8.5863e-002	2.54e-003	2.35e-004
107	0.16128	8.0615e-002	2.54e-003	9.0357e-005
108	0.10288	7.8964e-002	2.54e-003	2.2222e-004
109	0.13285	8.5837e-002	2.54e-003	1.4851e-004
110	9.3863e-002	8.7432e-002	2.54e-003	2.3872e-004
111	0.10148	9.3249e-002	2.54e-003	3.3229e-004
112	0.11704	9.1765e-002	2.54e-003	1.6656e-004
113	0.10723	9.3445e-002	2.54e-003	2.9033e-004
114	0.11634	6.4848e-002	2.54e-003	1.8663e-004
115	0.13266	3.7398e-002	2.54e-003	1.0471e-004
116	0.12502	2.5807e-002	2.54e-003	6.355e-005
117	2.6809e-002	2.9261e-002	2.54e-003	1.4211e-004
118	6.7555e-002	6.8505e-002	2.54e-003	1.3568e-004
119	8.0316e-002	2.9992e-002	2.54e-003	9.6902e-005
120	0.12439	0.12825	2.54e-003	5.0144e-005
121	0.21353	9.1046e-002	2.54e-003	6.9424e-005
122	0.18547	8.8087e-002	2.54e-003	8.0583e-005
123	0.24363	9.1634e-002	2.54e-003	5.9701e-005
124	0.27302	9.2152e-002	2.54e-003	5.1229e-005
125	0.30192	9.3087e-002	2.54e-003	4.3201e-005
126	0.3298	9.2457e-002	2.54e-003	3.5987e-005
127	0.35726	9.2601e-002	2.54e-003	2.9502e-005
128	0.38523	9.1576e-002	2.54e-003	2.356e-005
129	0.41304	9.112e-002	2.54e-003	1.8325e-005
130	0.4409	9.0971e-002	2.54e-003	1.3757e-005
131	0.4689	9.1131e-002	2.54e-003	9.8717e-006
132	0.49681	9.126e-002	2.54e-003	6.6962e-006
133	0.52478	9.1364e-002	2.54e-003	4.239e-006
134	0.55283	9.1399e-002	2.54e-003	2.5255e-006
135	0.55298	6.0862e-002	2.54e-003	2.5162e-006
136	0.52471	6.0802e-002	2.54e-003	4.2388e-006
137	0.49678	6.0805e-002	2.54e-003	6.6965e-006
138	0.46887	6.0649e-002	2.54e-003	9.8691e-006
139	0.44097	6.0505e-002	2.54e-003	1.3744e-005
140	0.41306	6.0428e-002	2.54e-003	1.8327e-005
141	0.38514	6.0928e-002	2.54e-003	2.3603e-005
142	0.35713	6.1437e-002	2.54e-003	2.9509e-005
143	0.32951	6.1607e-002	2.54e-003	3.6021e-005
144	0.30231	6.2339e-002	2.54e-003	4.3066e-005
145	0.27423	6.1895e-002	2.54e-003	5.0859e-005
146	0.24513	6.1339e-002	2.54e-003	5.9598e-005
147	0.21647	6.0351e-002	2.54e-003	6.8115e-005
148	0.18874	5.7406e-002	2.54e-003	7.852e-005
149	0.15468	0.13224	2.54e-003	7.5997e-005
150	0.17679	0.11889	2.54e-003	8.3302e-005
151	0.21317	0.12119	2.54e-003	7.1422e-005
152	0.24395	0.12177	2.54e-003	6.0123e-005
153	0.27309	0.12253	2.54e-003	5.1647e-005
154	0.30171	0.12267	2.54e-003	4.3503e-005
155	0.3299	0.1228	2.54e-003	3.6108e-005
156	0.3581	0.12353	2.54e-003	2.9397e-005
157	0.38576	0.12199	2.54e-003	2.3472e-005
158	0.41339	0.12168	2.54e-003	1.8245e-005
159	0.44121	0.12151	2.54e-003	1.3677e-005
160	0.46907	0.12162	2.54e-003	9.7922e-006
161	0.49686	0.12179	2.54e-003	6.5957e-006
162	0.52499	0.12179	2.54e-003	4.0867e-006
163	0.55321	0.12188	2.54e-003	2.2861e-006
164	0.58126	0.12178	2.54e-003	1.2207e-006
165	0.58101	9.1481e-002	2.54e-003	1.5563e-006
166	0.58101	6.0782e-002	2.54e-003	1.5576e-006
167	0.58134	3.0358e-002	2.54e-003	1.2162e-006
168	0.55331	3.0272e-002	2.54e-003	2.2809e-006
169	0.5253	3.0254e-002	2.54e-003	4.0632e-006
170	0.49736	2.9958e-002	2.54e-003	6.5492e-006
171	0.46943	3.e-002	2.54e-003	9.7398e-006
172	0.44151	3.0023e-002	2.54e-003	1.3633e-005
173	0.41361	3.0009e-002	2.54e-003	1.8228e-005
174	0.38547	3.0384e-002	2.54e-003	2.3549e-005
175	0.35754	3.0783e-002	2.54e-003	2.9504e-005
176	0.32989	2.9947e-002	2.54e-003	3.6082e-005
177	0.30186	2.9822e-002	2.54e-003	4.3394e-005
178	0.27413	3.0749e-002	2.54e-003	5.1248e-005
179	0.24586	3.0805e-002	2.54e-003	5.9775e-005
180	0.21743	3.023e-002	2.54e-003	6.8618e-005
181	0.18878	2.8726e-002	2.54e-003	7.7552e-005
182	0.15658	2.6333e-002	2.54e-003	7.7585e-005
183	5.1267e-002	2.4727e-002	2.54e-003	1.2875e-004
184	2.9388e-002	0.12107	2.54e-003	1.4245e-004
185	3.4898e-002	8.8118e-002	2.54e-003	1.4471e-004
186	3.008e-002	5.7479e-002	2.54e-003	1.5267e-004
187	7.6061e-002	8.5574e-002	2.54e-003	1.49e-004
188	0.16306	5.4422e-002	2.54e-003	8.7768e-005
189	5.2274e-002	0.12687	2.54e-003	1.2365e-004
190	0.14711	0.10193	2.54e-003	9.184e-005
191	0.12925	0.13915	2.54e-003	6.9673e-005
192	8.9095e-002	0.10501	2.54e-003	1.8034e-004
193	8.0713e-002	0.11615	2.54e-003	1.227e-004
194	7.6432e-002	0.13373	2.54e-003	1.0184e-004
195	0.13022	1.4819e-002	2.54e-003	7.628e-005
196	6.3442e-002	5.0016e-002	2.54e-003	1.2062e-004
197	7.5725e-002	1.7591e-002	2.54e-003	9.4573e-005
198	0.13255	0.11811	2.54e-003	9.7572e-005
199	9.7341e-002	9.8667e-002	2.54e-003	3.0168e-004
200	9.67e-002	7.113e-002	2.54e-003	2.389e-004
201	0.13699	5.2584e-002	2.54e-003	1.0942e-004
202	0.1375	6.9458e-002	2.54e-003	1.2883e-004
203	0.10685	0.1397	2.54e-003	2.1715e-005
204	0.10685	0.127	2.54e-003	7.9834e-005
205	0.10685	0.1143	2.54e-003	1.481e-004
206	0.10685	0.1016	2.54e-003	3.216e-004
207	0.10262	0.1016	2.54e-003	6.1655e-004
208	0.10262	0.1143	2.54e-003	1.7395e-004
209	0.10262	0.127	2.54e-003	1.0401e-004
210	0.10262	0.1397	2.54e-003	5.9758e-005
211	0.10685	1.27e-002	2.54e-003	3.4007e-005
212	0.10685	2.54e-002	2.54e-003	1.1785e-004
213	0.10685	3.81e-002	2.54e-003	1.6626e-004
214	0.10685	5.08e-002	2.54e-003	3.4358e-004
215	0.10262	5.08e-002	2.54e-003	3.7655e-004
216	0.10262	3.81e-002	2.54e-003	1.7713e-004
217	0.10262	2.54e-002	2.54e-003	1.8424e-004
218	0.10262	1.27e-002	2.54e-003	8.0451e-005
219	0.10685	0.1524	2.54e-003	3.4701e-005
220	0.13478	0.1524	2.54e-003	5.4765e-005
221	0.16271	0.1524	2.54e-003	7.7818e-005
222	0.19064	0.1524	2.54e-003	7.976e-005
223	0.21857	0.1524	2.54e-003	6.9282e-005
224	0.2465	0.1524	2.54e-003	6.1628e-005
225	0.27443	0.1524	2.54e-003	5.1911e-005
226	0.30236	0.1524	2.54e-003	4.3707e-005
227	0.33029	0.1524	2.54e-003	3.6225e-005
228	0.35822	0.1524	2.54e-003	2.9573e-005
229	0.38616	0.1524	2.54e-003	2.3445e-005
230	0.41409	0.1524	2.54e-003	1.821e-005
231	0.44202	0.1524	2.54e-003	1.3614e-005
232	0.46995	0.1524	2.54e-003	9.7145e-006
233	0.49788	0.1524	2.54e-003	6.5149e-006
234	0.52581	0.1524	2.54e-003	3.9959e-006
235	0.55374	0.1524	2.54e-003	2.1633e-006
236	0.58167	0.1524	2.54e-003	1.0047e-006
237	0.6096	0.1524	2.54e-003	4.603e-007
238	0.6096	0.12192	2.54e-003	8.288e-007
239	0.6096	9.144e-002	2.54e-003	1.2373e-006
240	0.6096	6.096e-002	2.54e-003	1.2357e-006
241	0.6096	3.048e-002	2.54e-003	8.2899e-007
242	2.6645e-016	3.048e-002	2.54e-003	9.9069e-005
243	5.3291e-016	6.096e-002	2.54e-003	1.0519e-004
244	7.9936e-016	9.144e-002	2.54e-003	1.0545e-004
245	1.0658e-015	0.12192	2.54e-003	1.0088e-004
246	0.6096	0.	2.54e-003	4.584e-007
247	0.58167	0.	2.54e-003	1.0054e-006
248	0.55374	0.	2.54e-003	2.1621e-006
249	0.52581	0.	2.54e-003	3.987e-006
250	0.49788	0.	2.54e-003	6.5039e-006
251	0.46995	0.	2.54e-003	9.6971e-006
252	0.44202	0.	2.54e-003	1.3589e-005
253	0.41409	0.	2.54e-003	1.8225e-005
254	0.38616	0.	2.54e-003	2.3534e-005
255	0.35822	0.	2.54e-003	2.9483e-005
256	0.33029	0.	2.54e-003	3.6267e-005
257	0.30236	0.	2.54e-003	4.3716e-005
258	0.27443	0.	2.54e-003	5.1794e-005
259	0.2465	0.	2.54e-003	6.0454e-005
260	0.21857	0.	2.54e-003	6.9403e-005
261	0.19064	0.	2.54e-003	7.7112e-005
262	0.16271	0.	2.54e-003	7.6673e-005
263	0.13478	0.	2.54e-003	5.6875e-005
264	0.10685	0.	2.54e-003	3.915e-005
265	0.10262	0.	2.54e-003	4.7391e-005
266	7.6962e-002	-3.8133e-032	2.54e-003	8.7732e-005
267	5.1308e-002	-2.5422e-032	2.54e-003	1.3325e-004
268	2.5654e-002	-1.2711e-032	2.54e-003	1.3679e-004
269	0.	0.	2.54e-003	7.2761e-005
270	1.e-015	0.1524	2.54e-003	7.224e-005
271	2.5654e-002	0.1524	2.54e-003	1.3818e-004
272	5.1308e-002	0.1524	2.54e-003	1.3122e-004
273	7.6962e-002	0.1524	2.54e-003	8.9825e-005
274	0.10262	0.1524	2.54e-003	4.8324e-005
275	7.6962e-002	0.1524	0.	8.9825e-005
276	5.1308e-002	0.1524	0.	1.3122e-004
277	2.5654e-002	0.1524	0.	1.3818e-004
278	0.10262	0.1524	0.	4.8324e-005
279	1.e-015	0.1524	0.	7.224e-005
280	2.5654e-002	-1.2711e-032	0.	1.3679e-004
281	5.1308e-002	-2.5422e-032	0.	1.3325e-004
282	7.6962e-002	-3.8133e-032	0.	8.7732e-005
283	0.10262	0.	0.	4.7391e-005
284	0.	0.	0.	7.2761e-005
285	0.13478	0.	0.	5.6875e-005
286	0.16271	0.	0.	7.6673e-005
287	0.19064	0.	0.	7.7112e-005
288	0.21857	0.	0.	6.9403e-005
289	0.2465	0.	0.	6.0454e-005
290	0.27443	0.	0.	5.1794e-005
291	0.30236	0.	0.	4.3716e-005
292	0.33029	0.	0.	3.6267e-005
293	0.35822	0.	0.	2.9483e-005
294	0.38616	0.	0.	2.3534e-005
295	0.41409	0.	0.	1.8225e-005
296	0.44202	0.	0.	1.3589e-005
297	0.46995	0.	0.	9.6971e-006
298	0.49788	0.	0.	6.5039e-006
299	0.52581	0.	0.	3.987e-006
300	0.55374	0.	0.	2.1621e-006
301	0.58167	0.	0.	1.0054e-006
302	0.10685	0.	0.	3.915e-005
303	0.6096	0.	0.	4.584e-007
304	1.0658e-015	0.12192	0.	1.0088e-004
305	7.9936e-016	9.144e-002	0.	1.0545e-004
306	5.3291e-016	6.096e-002	0.	1.0519e-004
307	2.6645e-016	3.048e-002	0.	9.9069e-005
308	0.6096	3.048e-002	0.	8.2899e-007
309	0.6096	6.096e-002	0.	1.2357e-006
310	0.6096	9.144e-002	0.	1.2373e-006
311	0.6096	0.12192	0.	8.288e-007
312	0.6096	0.1524	0.	4.603e-007
313	0.58167	0.1524	0.	1.0047e-006
314	0.55374	0.1524	0.	2.1633e-006
315	0.52581	0.1524	0.	3.9959e-006
316	0.49788	0.1524	0.	6.5149e-006
317	0.46995	0.1524	0.	9.7145e-006
318	0.44202	0.1524	0.	1.3614e-005
319	0.41409	0.1524	0.	1.821e-005
320	0.38616	0.1524	0.	2.3445e-005
321	0.35822	0.1524	0.	2.9573e-005
322	0.33029	0.1524	0.	3.6225e-005
323	0.30236	0.1524	0.	4.3707e-005
324	0.27443	0.1524	0.	5.1911e-005
325	0.2465	0.1524	0.	6.1628e-005
326	0.21857	0.1524	0.	6.9282e-005
327	0.19064	0.1524	0.	7.976e-005
328	0.16271	0.1524	0.	7.7818e-005
329	0.13478	0.1524	0.	5.4765e-005
330	0.10685	0.1524	0.	3.4701e-005
331	0.10262	3.81e-002	0.	1.7713e-004
332	0.10262	2.54e-002	0.	1.8424e-004
333	0.10262	1.27e-002	0.	8.0451e-005
334	0.10262	5.08e-002	0.	3.7655e-004
335	0.10685	1.27e-002	0.	3.4007e-005
336	0.10685	2.54e-002	0.	1.1785e-004
337	0.10685	3.81e-002	0.	1.6626e-004
338	0.10685	5.08e-002	0.	3.4358e-004
339	0.10262	0.1143	0.	1.7395e-004
340	0.10262	0.127	0.	1.0401e-004
341	0.10262	0.1397	0.	5.9758e-005
342	0.10262	0.1016	0.	6.1655e-004
343	0.10685	0.1397	0.	2.1715e-005
344	0.10685	0.127	0.	7.9834e-005
345	0.10685	0.1143	0.	1.481e-004
346	0.10685	0.1016	0.	3.216e-004
347	0.13724	6.1021e-002	0.	1.1872e-004
348	0.12692	6.7153e-002	0.	1.5662e-004
349	0.13517	7.7647e-002	0.	1.3792e-004
350	0.14939	7.5037e-002	0.	1.095e-004
351	0.1375	6.9458e-002	1.27e-003	8.3753e-006
352	0.15002	5.3503e-002	0.	9.8115e-005
353	0.13482	4.4991e-002	0.	1.0637e-004
354	0.13699	5.2584e-002	1.27e-003	6.4986e-006
355	0.12192	5.1692e-002	0.	2.2285e-004
356	8.638e-002	7.8352e-002	0.	1.8887e-004
357	0.10652	6.7989e-002	0.	2.09e-004
358	9.979e-002	7.5047e-002	0.	2.2977e-004
359	9.67e-002	7.113e-002	1.27e-003	9.8076e-006
360	9.9658e-002	6.0965e-002	0.	3.0264e-004
361	9.3218e-002	0.10184	0.	2.4009e-004
362	9.9408e-002	9.5958e-002	0.	3.059e-004
363	9.5602e-002	9.305e-002	0.	2.6479e-004
364	9.7341e-002	9.8667e-002	1.27e-003	3.4703e-005
365	9.9978e-002	0.10013	0.	4.499e-004
366	0.13983	0.11002	0.	9.3584e-005
367	0.14361	0.12517	0.	8.6004e-005
368	0.12847	0.12318	0.	7.0814e-005
369	0.13255	0.11811	1.27e-003	1.2839e-005
370	0.1197	0.11621	0.	1.0201e-004
371	6.3496e-002	2.1159e-002	0.	1.114e-004
372	7.802e-002	2.3792e-002	0.	9.5683e-005
373	7.5725e-002	1.7591e-002	1.27e-003	5.4552e-006
374	7.6343e-002	8.7957e-003	0.	9.0884e-005
375	8.917e-002	1.5146e-002	0.	8.2559e-005
376	4.6761e-002	5.3747e-002	0.	1.3473e-004
377	5.7355e-002	3.7371e-002	0.	1.2459e-004
378	7.1879e-002	4.0004e-002	0.	1.0841e-004
379	6.5499e-002	5.9261e-002	0.	1.2764e-004
380	6.3442e-002	5.0016e-002	1.27e-003	6.7827e-006
381	8.3029e-002	4.4058e-002	0.	1.4444e-004
382	0.1434	2.0576e-002	0.	7.5068e-005
383	0.12762	2.0313e-002	0.	6.9746e-005
384	0.13022	1.4819e-002	1.27e-003	7.5389e-006
385	0.1325	7.4097e-003	0.	6.591e-005
386	0.11853	1.376e-002	0.	5.239e-005
387	7.8573e-002	0.12494	0.	1.1211e-004
388	6.4353e-002	0.1303	0.	1.1186e-004
389	7.6432e-002	0.13373	1.27e-003	4.6879e-006
390	7.6697e-002	0.14307	0.	9.5419e-005
391	8.9524e-002	0.13672	0.	7.8305e-005
392	8.4904e-002	0.11058	0.	1.5142e-004
393	7.0497e-002	0.1099	0.	1.2783e-004
394	8.0713e-002	0.11615	1.27e-003	5.017e-006
395	9.1664e-002	0.12158	0.	1.0679e-004
396	8.2578e-002	9.5292e-002	0.	1.5897e-004
397	8.9095e-002	0.10501	1.27e-003	1.5075e-005
398	9.5856e-002	0.10965	0.	1.6005e-004
399	0.14196	0.13569	0.	7.0459e-005
400	0.12682	0.1337	0.	5.9495e-005
401	0.12925	0.13915	1.27e-003	6.2334e-006
402	0.13202	0.14577	0.	6.1394e-005
403	0.11805	0.13942	0.	4.4432e-005
404	0.16195	0.11041	0.	8.7491e-005
405	0.13998	9.3882e-002	0.	1.1997e-004
406	0.15419	9.1271e-002	0.	9.1015e-005
407	0.14711	0.10193	1.27e-003	5.7724e-006
408	0.12698	0.10176	0.	1.9017e-004
409	4.0831e-002	0.12397	0.	1.3201e-004
410	5.6277e-002	0.11526	0.	1.3124e-004
411	5.2274e-002	0.12687	1.27e-003	2.5425e-006
412	5.1791e-002	0.13963	0.	1.2734e-004
413	0.15982	4.0378e-002	0.	8.2471e-005
414	0.1759	5.5914e-002	0.	8.3132e-005
415	0.16217	6.7518e-002	0.	8.9037e-005
416	0.16306	5.4422e-002	1.27e-003	2.5255e-006
417	7.1808e-002	7.704e-002	0.	1.4115e-004
418	8.4962e-002	8.6503e-002	0.	1.9225e-004
419	6.8171e-002	9.461e-002	0.	1.4393e-004
420	7.6061e-002	8.5574e-002	1.27e-003	7.2978e-006
421	3.2489e-002	7.2798e-002	0.	1.4848e-004
422	2.8444e-002	4.337e-002	0.	1.4709e-004
423	3.008e-002	5.7479e-002	1.27e-003	4.0864e-006
424	1.504e-002	5.922e-002	0.	1.2689e-004
425	3.2143e-002	0.10459	0.	1.4319e-004
426	5.1227e-002	7.8312e-002	0.	1.3819e-004
427	4.7589e-002	9.5882e-002	0.	1.4053e-004
428	3.4898e-002	8.8118e-002	1.27e-003	3.3717e-006
429	1.7449e-002	8.9779e-002	0.	1.2277e-004
430	2.9388e-002	0.12107	1.27e-003	3.7972e-006
431	2.7521e-002	0.13673	0.	1.3916e-004
432	1.4694e-002	0.12149	0.	1.1985e-004
433	3.9038e-002	2.6994e-002	0.	1.3411e-004
434	5.1267e-002	2.4727e-002	1.27e-003	2.9908e-006
435	5.1288e-002	1.2363e-002	0.	1.3091e-004
436	0.17268	2.753e-002	0.	7.7447e-005
437	0.14462	3.1866e-002	0.	9.0633e-005
438	0.15658	2.6333e-002	1.27e-003	2.1251e-006
439	0.15965	1.3167e-002	0.	7.6956e-005
440	0.20311	2.9478e-002	0.	7.3081e-005
441	0.18876	4.3066e-002	0.	7.8021e-005
442	0.18878	2.8726e-002	1.27e-003	8.4057e-007
443	0.18971	1.4363e-002	0.	7.7325e-005
444	0.23165	3.0517e-002	0.	6.4194e-005
445	0.21695	4.529e-002	0.	6.8355e-005
446	0.21743	3.023e-002	1.27e-003	6.2861e-007
447	0.218	1.5115e-002	0.	6.8991e-005
448	0.26	3.0777e-002	0.	5.5508e-005
449	0.2455	4.6072e-002	0.	5.9671e-005
450	0.24586	3.0805e-002	1.27e-003	7.4025e-007
451	0.24618	1.5403e-002	0.	6.0089e-005
452	0.288	3.0286e-002	0.	4.7318e-005
453	0.27418	4.6322e-002	0.	5.1031e-005
454	0.27413	3.0749e-002	1.27e-003	6.1705e-007
455	0.27428	1.5375e-002	0.	5.1491e-005
456	0.31588	2.9884e-002	0.	3.9736e-005
457	0.30209	4.608e-002	0.	4.3201e-005
458	0.30186	2.9822e-002	1.27e-003	5.643e-007
459	0.30211	1.4911e-002	0.	4.352e-005
460	0.34372	3.0365e-002	0.	3.2791e-005
461	0.3297	4.5777e-002	0.	3.6019e-005
462	0.32989	2.9947e-002	1.27e-003	5.3847e-007
463	0.33009	1.4974e-002	0.	3.6141e-005
464	0.37151	3.0584e-002	0.	2.6525e-005
465	0.35734	4.611e-002	0.	2.947e-005
466	0.35754	3.0783e-002	1.27e-003	5.0888e-007
467	0.35788	1.5392e-002	0.	2.9462e-005
468	0.39954	3.0197e-002	0.	2.0886e-005
469	0.38531	4.5656e-002	0.	2.3542e-005
470	0.38547	3.0384e-002	1.27e-003	4.4793e-007
471	0.38581	1.5192e-002	0.	2.3507e-005
472	0.42756	3.0016e-002	0.	1.5928e-005
473	0.41333	4.5219e-002	0.	1.8241e-005
474	0.41361	3.0009e-002	1.27e-003	3.8899e-007
475	0.41385	1.5005e-002	0.	1.819e-005
476	0.45547	3.0012e-002	0.	1.1684e-005
477	0.44124	4.5264e-002	0.	1.3651e-005
478	0.44151	3.0023e-002	1.27e-003	3.3664e-007
479	0.44177	1.5012e-002	0.	1.3576e-005
480	0.48339	2.9979e-002	0.	8.1407e-006
481	0.46915	4.5324e-002	0.	9.7664e-006
482	0.46943	3.e-002	1.27e-003	2.7572e-007
483	0.46969	1.5e-002	0.	9.682e-006
484	0.51133	3.0106e-002	0.	5.3005e-006
485	0.49707	4.5382e-002	0.	6.585e-006
486	0.49736	2.9958e-002	1.27e-003	2.2114e-007
487	0.49762	1.4979e-002	0.	6.4882e-006
488	0.5393	3.0263e-002	0.	3.1631e-006
489	0.525	4.5528e-002	0.	4.1131e-006
490	0.5253	3.0254e-002	1.27e-003	1.6984e-007
491	0.52555	1.5127e-002	0.	3.9858e-006
492	0.56733	3.0315e-002	0.	1.7321e-006
493	0.55315	4.5567e-002	0.	2.3653e-006
494	0.55331	3.0272e-002	1.27e-003	1.172e-007
495	0.55352	1.5136e-002	0.	2.1793e-006
496	0.58118	4.557e-002	0.	1.3654e-006
497	0.58134	3.0358e-002	1.27e-003	7.696e-008
498	0.58151	1.5179e-002	0.	1.0722e-006
499	0.59547	3.0419e-002	0.	1.0079e-006
500	0.58101	7.6131e-002	0.	1.5455e-006
501	0.567	6.0822e-002	0.	2.014e-006
502	0.58101	6.0782e-002	1.27e-003	7.4173e-008
503	0.5953	6.0871e-002	0.	1.3891e-006
504	0.58113	0.10663	0.	1.3674e-006
505	0.56692	9.144e-002	0.	2.0183e-006
506	0.58101	9.1481e-002	1.27e-003	7.3708e-008
507	0.5953	9.146e-002	0.	1.3892e-006
508	0.56724	0.12183	0.	1.7368e-006
509	0.58126	0.12178	1.27e-003	7.7499e-008
510	0.59543	0.12185	0.	1.0105e-006
511	0.58146	0.13709	0.	1.0739e-006
512	0.5391	0.12184	0.	3.177e-006
513	0.55302	0.10664	0.	2.3723e-006
514	0.55321	0.12188	1.27e-003	1.1829e-007
515	0.55348	0.13714	0.	2.1828e-006
516	0.51092	0.12179	0.	5.3356e-006
517	0.52489	0.10658	0.	4.1257e-006
518	0.52499	0.12179	1.27e-003	1.7163e-007
519	0.5254	0.1371	0.	4.0007e-006
520	0.48297	0.1217	0.	8.1902e-006
521	0.49683	0.10652	0.	6.6085e-006
