Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Principal Stress (Pa)
127	0.35726	9.2601e-002	2.54e-003	2.012e+006
128	0.38523	9.1576e-002	2.54e-003	1.5974e+006
129	0.41304	9.112e-002	2.54e-003	1.2325e+006
130	0.4409	9.0971e-002	2.54e-003	9.1542e+005
131	0.4689	9.1131e-002	2.54e-003	6.4521e+005
132	0.49681	9.126e-002	2.54e-003	4.2366e+005
133	0.52478	9.1364e-002	2.54e-003	2.5081e+005
134	0.55283	9.1399e-002	2.54e-003	1.2598e+005
135	0.55298	6.0862e-002	2.54e-003	1.2524e+005
136	0.52471	6.0802e-002	2.54e-003	2.5115e+005
137	0.49678	6.0805e-002	2.54e-003	4.2432e+005
138	0.46887	6.0649e-002	2.54e-003	6.4549e+005
139	0.44097	6.0505e-002	2.54e-003	9.1474e+005
140	0.41306	6.0428e-002	2.54e-003	1.2335e+006
141	0.38514	6.0928e-002	2.54e-003	1.5998e+006
142	0.35713	6.1437e-002	2.54e-003	2.0119e+006
143	0.32951	6.1607e-002	2.54e-003	2.4693e+006
144	0.30231	6.2339e-002	2.54e-003	2.9648e+006
145	0.27423	6.1895e-002	2.54e-003	3.5262e+006
146	0.24513	6.1339e-002	2.54e-003	4.1487e+006
147	0.21647	6.0351e-002	2.54e-003	4.8104e+006
148	0.18874	5.7406e-002	2.54e-003	5.5753e+006
149	0.15468	0.13224	2.54e-003	5.3297e+006
150	0.17679	0.11889	2.54e-003	5.8756e+006
151	0.21317	0.12119	2.54e-003	5.033e+006
152	0.24395	0.12177	2.54e-003	4.1999e+006
153	0.27309	0.12253	2.54e-003	3.5638e+006
154	0.30171	0.12267	2.54e-003	2.9958e+006
155	0.3299	0.1228	2.54e-003	2.4736e+006
156	0.3581	0.12353	2.54e-003	2.0051e+006
157	0.38576	0.12199	2.54e-003	1.5921e+006
158	0.41339	0.12168	2.54e-003	1.2298e+006
159	0.44121	0.12151	2.54e-003	9.136e+005
160	0.46907	0.12162	2.54e-003	6.4499e+005
161	0.49686	0.12179	2.54e-003	4.2373e+005
162	0.52499	0.12179	2.54e-003	2.4899e+005
163	0.55321	0.12188	2.54e-003	1.2208e+005
164	0.58126	0.12178	2.54e-003	43536
165	0.58101	9.1481e-002	2.54e-003	47564
166	0.58101	6.0782e-002	2.54e-003	47534
167	0.58134	3.0358e-002	2.54e-003	43322
168	0.55331	3.0272e-002	2.54e-003	1.2152e+005
169	0.5253	3.0254e-002	2.54e-003	2.4666e+005
170	0.49736	2.9958e-002	2.54e-003	4.1982e+005
171	0.46943	3.e-002	2.54e-003	6.4068e+005
