Node Number	X Location (in)	Y Location (in)	Z Location (in)	Total Deformation (in)
240	12.758	4.3987	5.e-002	0.2026
241	12.759	5.1993	0.	0.20228
242	9.9041	4.4226	0.	0.13065
243	10.861	3.6761	0.	0.15412
244	10.858	4.4461	5.e-002	0.15381
245	10.872	5.2231	0.	0.15374
246	8.2887	4.0248	0.	9.3987e-002
247	8.0175	4.7819	0.	8.7749e-002
248	8.9502	4.3991	5.e-002	0.10852
249	8.9818	5.1995	0.	0.10877
250	7.1965	3.9954	0.	7.1064e-002
251	7.1475	3.5089	0.	7.0264e-002
252	7.5115	3.0033	0.	7.7736e-002
253	7.6272	3.6505	5.e-002	8.0009e-002
254	6.9253	4.7525	0.	6.5174e-002
255	6.7658	4.3403	5.e-002	6.2296e-002
256	6.0162	4.4202	0.	4.803e-002
257	8.2322	1.2454	0.	9.2378e-002
258	7.3608	1.7532	0.	7.4336e-002
259	7.3258	1.1503	5.e-002	7.3192e-002
260	7.2329	0.57513	0.	7.0743e-002
261	6.2962	1.0751	0.	5.2706e-002
262	10.014	1.359	0.	0.13316
263	9.1385	1.3406	5.e-002	0.11264
264	9.0759	0.67029	0.	0.11072
265	11.827	1.4186	0.	0.17826
266	10.876	2.1418	0.	0.15448
267	10.89	1.3775	5.e-002	0.15453
268	10.888	0.68875	0.	0.15407
269	13.7	1.4634	0.	0.22782
270	12.757	2.1867	0.	0.20274
271	12.764	1.4596	5.e-002	0.20274
272	12.762	0.72982	0.	0.20234
273	15.57	1.4783	0.	0.27949
274	14.636	2.1999	0.	0.2536
275	14.636	1.4671	5.e-002	0.25345
276	14.635	0.73354	0.	0.25317
277	17.442	1.5746	0.	0.33273
278	16.501	2.2229	0.	0.30591
279	16.504	1.4895	5.e-002	0.30589
280	16.505	0.74477	0.	0.30576
281	19.283	1.9163	0.	0.38602
282	18.364	2.2541	0.	0.35939
283	18.38	1.6596	5.e-002	0.35979
284	18.38	0.82981	0.	0.35968
285	19.267	2.5108	0.	0.3856
286	20.186	2.1729	5.e-002	0.41236
287	20.22	1.0865	0.	0.41326
288	2.8199	1.9066	0.	1.0397e-002
289	3.8478	2.4309	0.	1.9329e-002
290	3.5618	1.5805	5.e-002	1.6181e-002
291	3.4809	0.79026	0.	1.4766e-002
292	4.3309	1.2903	0.	2.3209e-002
293	1.8421	3.2111	0.	4.5539e-003
294	2.8332	2.9692	0.	1.0636e-002
295	2.0779	2.2326	5.e-002	5.7312e-003
296	1.889	1.1163	0.	4.5263e-003
297	1.039	2.1163	0.	1.4382e-003
298	2.4135	4.4348	0.	7.4773e-003
299	1.6064	4.1896	5.e-002	3.3681e-003
300	1.6532	5.0948	0.	3.3267e-003
301	0.80319	4.0948	0.	8.5263e-004
302	3.4046	4.1929	0.	1.4923e-002
303	3.2207	4.68	5.e-002	1.3067e-002
304	3.3103	5.34	0.	1.3179e-002
305	4.1603	4.84	0.	2.1307e-002
306	4.3801	3.0924	0.	2.5042e-002
307	4.6264	2.9034	5.e-002	2.7966e-002
308	4.8632	2.4517	0.	3.0735e-002
309	3.8611	3.4935	0.	1.9429e-002
310	4.1338	3.2813	5.e-002	2.2265e-002
311	4.6169	3.6406	0.	2.7555e-002
312	5.8046	3.0752	5.e-002	4.5162e-002
313	6.6678	3.3673	5.e-002	6.0857e-002
314	7.3958	2.3562	5.e-002	7.5267e-002
315	6.3312	1.9281	0.	5.4136e-002
316	17.423	2.9024	0.	0.3323
317	18.349	2.8487	5.e-002	0.35896
318	15.566	2.9445	0.	0.27956
319	16.497	2.9562	5.e-002	0.30586
320	13.692	2.9232	0.	0.22785
321	14.635	2.9328	5.e-002	0.25364
322	11.806	2.9099	0.	0.17804
323	12.749	2.9137	5.e-002	0.2026
324	10.863	2.906	5.e-002	0.15424
325	3.5884	3.7057	5.e-002	1.6741e-002
326	4.3442	4.1029	0.	2.4039e-002
327	7.0848	5.1647	5.e-002	6.8004e-002
328	7.1124	5.5824	0.	6.8154e-002
329	6.1758	5.0824	0.	5.0249e-002
330	6.9253	4.7525	0.1	6.5174e-002
331	8.0175	4.7819	0.1	8.7749e-002
332	6.1758	5.0824	0.1	5.0249e-002
333	7.1124	5.5824	0.1	6.8154e-002
334	3.8611	3.4935	0.1	1.9429e-002
335	3.4046	4.1929	0.1	1.4923e-002
336	2.8332	2.9692	0.1	1.0636e-002
337	4.3442	4.1029	0.1	2.4039e-002
338	11.806	2.9099	0.1	0.17804
339	10.876	2.1418	0.1	0.15448
340	10.861	3.6761	0.1	0.15412
341	10.019	2.8405	0.1	0.13372
342	13.692	2.9232	0.1	0.22785
343	12.757	2.1867	0.1	0.20274
344	12.753	3.6562	0.1	0.20267
