Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
557	19.317	6.	0.	3.3438e-006
558	17.443	6.	0.	5.4611e-006
559	15.57	6.	0.	7.9549e-006
560	13.697	6.	0.	1.0816e-005
561	11.823	6.	0.	1.5093e-005
562	9.95	6.	0.	1.9617e-005
563	8.0767	6.	0.	2.3227e-005
564	6.2033	6.	0.	1.9899e-005
565	5.2667	5.5	0.	2.1709e-005
566	5.1	1.25	0.	5.909e-005
567	5.1	1.75	0.	1.1014e-004
568	5.1833	2.	0.	1.3224e-004
569	5.2667	1.25	0.	4.4328e-005
570	5.2667	1.75	0.	8.0713e-005
571	5.1	4.75	0.	4.7818e-005
572	5.1	4.25	0.	8.1153e-005
573	5.1833	4.	0.	9.9904e-005
574	5.2667	4.75	0.	4.3154e-005
575	5.2667	4.25	0.	8.8204e-005
