Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent (von-Mises) Stress (psi)
100	7.14	6.	0.1	563.53
101	9.0133	6.	0.1	609.52
102	10.887	6.	0.1	517.65
103	12.76	6.	0.1	378.05
104	14.633	6.	0.1	266.85
105	16.507	6.	0.1	176.48
106	18.38	6.	0.1	102.89
107	20.253	6.	0.1	48.887
108	22.127	6.	0.1	21.664
109	24.	6.	0.1	9.6551
110	24.	4.	0.1	11.968
111	24.	2.	0.1	12.173
112	1.7484e-014	2.	0.1	1003.3
113	3.4968e-014	4.	0.1	1000.2
114	24.	0.	0.1	11.095
115	22.127	0.	0.1	24.689
116	20.253	0.	0.1	48.737
117	18.38	0.	0.1	103.51
118	16.507	0.	0.1	175.21
119	14.633	0.	0.1	266.97
120	12.76	0.	0.1	378.32
121	10.887	0.	0.1	500.6
122	9.0133	0.	0.1	641.24
123	7.14	0.	0.1	578.62
124	5.2667	0.	0.1	620.
125	5.1	0.	0.1	622.16
126	3.4	1.4558e-030	0.1	991.76
127	1.7	7.2791e-031	0.1	1306.4
128	0.	0.	0.1	868.02
129	3.937e-014	6.	0.1	852.28
130	1.7	6.	0.1	1333.4
131	3.4	6.	0.1	1003.7
132	5.1	6.	0.1	793.88
133	3.4	6.	0.	1003.7
134	1.7	6.	0.	1333.4
135	5.1	6.	0.	793.88
136	3.937e-014	6.	0.	852.28
137	1.7	7.2791e-031	0.	1306.4
138	3.4	1.4558e-030	0.	991.76
139	5.1	0.	0.	622.16
140	0.	0.	0.	868.02
141	7.14	0.	0.	578.62
142	9.0133	0.	0.	641.24
143	10.887	0.	0.	500.6
144	12.76	0.	0.	378.32
145	14.633	0.	0.	266.97
146	16.507	0.	0.	175.21
147	18.38	0.	0.	103.51
148	20.253	0.	0.	48.737
149	22.127	0.	0.	24.689
150	5.2667	0.	0.	620.
151	24.	0.	0.	11.095
152	3.4968e-014	4.	0.	1000.2
153	1.7484e-014	2.	0.	1003.3
154	24.	2.	0.	12.173
155	24.	4.	0.	11.968
156	24.	6.	0.	9.6551
157	22.127	6.	0.	21.664
158	20.253	6.	0.	48.887
159	18.38	6.	0.	102.89
160	16.507	6.	0.	176.48
161	14.633	6.	0.	266.85
162	12.76	6.	0.	378.05
163	10.887	6.	0.	517.65
164	9.0133	6.	0.	609.52
165	7.14	6.	0.	563.53
166	5.2667	6.	0.	555.09
167	5.1	1.5	0.	1607.8
168	5.1	1.	0.	1396.4
169	5.1	2.	0.	4694.2
170	5.2667	1.	0.	932.93
171	5.2667	1.5	0.	1752.5
172	5.2667	2.	0.	3497.1
173	5.1	4.5	0.	1897.6
174	5.1	5.	0.	1159.2
175	5.1	4.	0.	3557.9
176	5.2667	5.	0.	732.26
177	5.2667	4.5	0.	1420.5
178	5.2667	4.	0.	3509.3
179	4.9782	2.8131	0.	2290.2
180	5.2071	2.5623	0.	2356.9
181	5.0893	2.5213	5.e-002	155.6
182	5.0946	2.2607	0.	3569.
183	5.1405	3.2458	0.	2037.5
184	5.6092	3.231	0.	1924.
185	5.4139	3.3868	5.e-002	87.15
186	5.3403	3.6934	0.	2711.2
187	6.0679	2.8768	0.	1480.9
188	6.4995	3.0229	0.	966.12
189	6.8635	2.5173	0.	898.93
190	6.3312	2.6784	5.e-002	94.642
191	5.799	2.3392	0.	2277.8
192	6.4672	4.0403	0.	949.64
193	5.9866	3.4078	0.	1494.8
194	6.4182	3.5538	0.	977.93
195	6.1686	3.7403	5.e-002	85.271
196	5.7176	3.8701	0.	2301.6
197	4.043	1.7958	0.	1250.6
198	4.5753	2.4573	0.	1515.
199	4.5241	2.0111	5.e-002	99.094
200	4.812	1.7556	0.	1495.2
201	9.0631	3.587	0.	604.29
202	9.1573	2.0577	0.	623.33
203	8.2859	2.5655	0.	645.44
204	10.019	2.8405	0.	557.33
205	9.176	2.7749	5.e-002	12.194
206	5.096	2.854	0.	2118.2
207	4.7468	3.0041	0.	1831.8
208	4.8671	3.1049	5.e-002	42.89
209	4.9836	3.5524	0.	2727.4
210	5.5648	2.8392	0.	2009.3
211	5.325	2.6032	5.e-002	35.186
212	5.2958	2.3016	0.	2813.1
213	22.108	3.0377	0.	21.897
214	21.138	2.1109	0.	38.638
215	22.09	2.0488	5.e-002	0.63157
216	22.108	1.0244	0.	22.818
217	23.045	2.0244	0.	17.231
218	21.219	4.0863	0.	35.613
219	22.127	4.0267	5.e-002	0.97266
220	23.064	4.0133	0.	16.979
221	22.127	5.0133	0.	21.291
222	19.379	4.2465	0.	75.629
223	20.249	3.1594	0.	52.003
224	20.311	4.1459	5.e-002	1.4374
225	20.282	5.073	0.	48.43
226	17.486	4.3626	0.	137.51
227	18.398	3.5979	0.	103.44
228	18.448	4.3472	5.e-002	3.0902
229	18.414	5.1736	0.	101.66
230	15.589	4.3626	0.	218.23
231	16.511	3.6671	0.	172.64
232	16.524	4.3781	5.e-002	4.443
233	16.515	5.189	0.	174.21
234	13.706	4.3729	0.	318.47
235	14.645	3.64	0.	263.15
236	14.655	4.3472	5.e-002	5.6265
237	14.644	5.1736	0.	264.65
238	11.808	4.4224	0.	437.93
239	12.753	3.6562	0.	372.84
240	12.758	4.3987	5.e-002	4.8756
241	12.759	5.1993	0.	375.41
242	9.9041	4.4226	0.	546.83
243	10.861	3.6761	0.	500.22
244	10.858	4.4461	5.e-002	7.3738
245	10.872	5.2231	0.	509.18
246	8.2887	4.0248	0.	688.36
247	8.0175	4.7819	0.	648.72
248	8.9502	4.3991	5.e-002	11.953
249	8.9818	5.1995	0.	599.01
250	7.1965	3.9954	0.	764.47
251	7.1475	3.5089	0.	795.5
252	7.5115	3.0033	0.	728.73
253	7.6272	3.6505	5.e-002	58.1
254	6.9253	4.7525	0.	727.07
255	6.7658	4.3403	5.e-002	28.562
256	6.0162	4.4202	0.	979.83
257	8.2322	1.2454	0.	639.83
258	7.3608	1.7532	0.	660.77
259	7.3258	1.1503	5.e-002	7.2218
260	7.2329	0.57513	0.	613.44
261	6.2962	1.0751	0.	722.46
262	10.014	1.359	0.	565.05
263	9.1385	1.3406	5.e-002	9.2243
264	9.0759	0.67029	0.	636.31
265	11.827	1.4186	0.	436.07
266	10.876	2.1418	0.	498.06
267	10.89	1.3775	5.e-002	8.7097
268	10.888	0.68875	0.	498.95
269	13.7	1.4634	0.	319.18
270	12.757	2.1867	0.	372.81
271	12.764	1.4596	5.e-002	6.1877
272	12.762	0.72982	0.	375.62
273	15.57	1.4783	0.	218.76
274	14.636	2.1999	0.	263.78
275	14.636	1.4671	5.e-002	4.6888
276	14.635	0.73354	0.	265.25
277	17.442	1.5746	0.	138.85
278	16.501	2.2229	0.	172.7
279	16.504	1.4895	5.e-002	3.4753
280	16.505	0.74477	0.	173.43
281	19.283	1.9163	0.	80.015
282	18.364	2.2541	0.	104.91
283	18.38	1.6596	5.e-002	3.9762
284	18.38	0.82981	0.	103.52
285	19.267	2.5108	0.	80.542
286	20.186	2.1729	5.e-002	0.2466
287	20.22	1.0865	0.	51.507
288	2.8199	1.9066	0.	1159.1
289	3.8478	2.4309	0.	1156.7
290	3.5618	1.5805	5.e-002	66.344
291	3.4809	0.79026	0.	1023.9
292	4.3309	1.2903	0.	1186.4
293	1.8421	3.2111	0.	1344.2
294	2.8332	2.9692	0.	1204.6
295	2.0779	2.2326	5.e-002	58.703
296	1.889	1.1163	0.	1299.8
297	1.039	2.1163	0.	1140.4
298	2.4135	4.4348	0.	1201.8
299	1.6064	4.1896	5.e-002	34.198
300	1.6532	5.0948	0.	1354.5
301	0.80319	4.0948	0.	1173.8
302	3.4046	4.1929	0.	1089.9
303	3.2207	4.68	5.e-002	32.098
304	3.3103	5.34	0.	1028.6
305	4.1603	4.84	0.	1066.9
306	4.3801	3.0924	0.	1446.
307	4.6264	2.9034	5.e-002	124.9
308	4.8632	2.4517	0.	3127.9
309	3.8611	3.4935	0.	1222.5
310	4.1338	3.2813	5.e-002	5.3869
311	4.6169	3.6406	0.	2421.7
312	5.8046	3.0752	5.e-002	54.082
313	6.6678	3.3673	5.e-002	20.539
314	7.3958	2.3562	5.e-002	19.228
315	6.3312	1.9281	0.	1147.9
316	17.423	2.9024	0.	139.54
317	18.349	2.8487	5.e-002	4.2773
318	15.566	2.9445	0.	218.46
319	16.497	2.9562	5.e-002	3.9372
320	13.692	2.9232	0.	318.13
321	14.635	2.9328	5.e-002	4.6715
322	11.806	2.9099	0.	435.37
323	12.749	2.9137	5.e-002	4.8073
324	10.863	2.906	5.e-002	10.329
325	3.5884	3.7057	5.e-002	64.248
326	4.3442	4.1029	0.	1449.6
327	7.0848	5.1647	5.e-002	39.092
328	7.1124	5.5824	0.	641.9
329	6.1758	5.0824	0.	686.03
330	6.9253	4.7525	0.1	727.07
331	8.0175	4.7819	0.1	648.72
332	6.1758	5.0824	0.1	686.03
333	7.1124	5.5824	0.1	641.9
334	3.8611	3.4935	0.1	1222.5
335	3.4046	4.1929	0.1	1089.9
336	2.8332	2.9692	0.1	1204.6
337	4.3442	4.1029	0.1	1449.6
338	11.806	2.9099	0.1	435.37
339	10.876	2.1418	0.1	498.06
340	10.861	3.6761	0.1	500.22
341	10.019	2.8405	0.1	557.33
342	13.692	2.9232	0.1	318.13
343	12.757	2.1867	0.1	372.81
344	12.753	3.6562	0.1	372.84
345	15.566	2.9445	0.1	218.46
346	14.636	2.1999	0.1	263.78
347	14.645	3.64	0.1	263.15
348	17.423	2.9024	0.1	139.54
349	16.501	2.2229	0.1	172.7
350	16.511	3.6671	0.1	172.64
351	19.267	2.5108	0.1	80.542
352	18.364	2.2541	0.1	104.91
353	18.398	3.5979	0.1	103.44
354	7.3608	1.7532	0.1	660.77
355	7.5115	3.0033	0.1	728.73
356	8.2859	2.5655	0.1	645.44
357	6.8635	2.5173	0.1	898.93
358	6.3312	1.9281	0.1	1147.9
359	7.1475	3.5089	0.1	795.5
360	6.4182	3.5538	0.1	977.93
361	6.4995	3.0229	0.1	966.12
362	5.5648	2.8392	0.1	2009.3
363	5.9866	3.4078	0.1	1494.8
364	6.0679	2.8768	0.1	1480.9
365	5.6092	3.231	0.1	1924.
366	4.3801	3.0924	0.1	1446.
367	3.8478	2.4309	0.1	1156.7
368	4.6169	3.6406	0.1	2421.7
369	4.7468	3.0041	0.1	1831.8
370	4.5753	2.4573	0.1	1515.
371	4.8632	2.4517	0.1	3127.9
372	2.4135	4.4348	0.1	1201.8
373	4.1603	4.84	0.1	1066.9
374	3.3103	5.34	0.1	1028.6
375	1.8421	3.2111	0.1	1344.2
376	0.80319	4.0948	0.1	1173.8
377	1.6532	5.0948	0.1	1354.5
378	2.8199	1.9066	0.1	1159.1
