Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
201	9.0631	3.587	0.	-617.07
202	9.1573	2.0577	0.	-620.52
203	8.2859	2.5655	0.	-686.98
204	10.019	2.8405	0.	-564.39
205	9.176	2.7749	5.e-002	-7.0404
206	5.096	2.854	0.	-1963.
207	4.7468	3.0041	0.	-1796.9
208	4.8671	3.1049	5.e-002	-24.763
209	4.9836	3.5524	0.	-2943.8
210	5.5648	2.8392	0.	-1855.
211	5.325	2.6032	5.e-002	-20.315
212	5.2958	2.3016	0.	-2964.3
213	22.108	3.0377	0.	-17.022
214	21.138	2.1109	0.	-36.136
215	22.09	2.0488	5.e-002	-0.36463
216	22.108	1.0244	0.	-16.152
217	23.045	2.0244	0.	-12.546
218	21.219	4.0863	0.	-31.603
219	22.127	4.0267	5.e-002	-0.56157
220	23.064	4.0133	0.	-12.269
221	22.127	5.0133	0.	-15.542
222	19.379	4.2465	0.	-72.4
223	20.249	3.1594	0.	-50.12
224	20.311	4.1459	5.e-002	-0.82987
225	20.282	5.073	0.	-44.63
226	17.486	4.3626	0.	-134.67
227	18.398	3.5979	0.	-101.36
228	18.448	4.3472	5.e-002	-1.7841
229	18.414	5.1736	0.	-98.431
230	15.589	4.3626	0.	-216.48
231	16.511	3.6671	0.	-170.73
232	16.524	4.3781	5.e-002	-2.5652
233	16.515	5.189	0.	-170.92
234	13.706	4.3729	0.	-319.92
235	14.645	3.64	0.	-262.4
236	14.655	4.3472	5.e-002	-3.2484
237	14.644	5.1736	0.	-263.38
238	11.808	4.4224	0.	-442.11
239	12.753	3.6562	0.	-376.31
240	12.758	4.3987	5.e-002	-2.815
241	12.759	5.1993	0.	-378.99
242	9.9041	4.4226	0.	-558.81
243	10.861	3.6761	0.	-506.14
244	10.858	4.4461	5.e-002	-4.2573
245	10.872	5.2231	0.	-511.15
246	8.2887	4.0248	0.	-692.86
247	8.0175	4.7819	0.	-636.43
248	8.9502	4.3991	5.e-002	-6.9009
249	8.9818	5.1995	0.	-604.94
250	7.1965	3.9954	0.	-801.05
251	7.1475	3.5089	0.	-785.32
252	7.5115	3.0033	0.	-762.4
253	7.6272	3.6505	5.e-002	-33.544
254	6.9253	4.7525	0.	-746.9
255	6.7658	4.3403	5.e-002	-16.491
256	6.0162	4.4202	0.	-1059.
257	8.2322	1.2454	0.	-623.02
258	7.3608	1.7532	0.	-689.21
259	7.3258	1.1503	5.e-002	-4.1695
260	7.2329	0.57513	0.	-576.93
261	6.2962	1.0751	0.	-777.34
262	10.014	1.359	0.	-561.62
263	9.1385	1.3406	5.e-002	-5.3257
264	9.0759	0.67029	0.	-619.37
265	11.827	1.4186	0.	-439.18
266	10.876	2.1418	0.	-504.91
267	10.89	1.3775	5.e-002	-5.0286
268	10.888	0.68875	0.	-503.7
269	13.7	1.4634	0.	-318.62
270	12.757	2.1867	0.	-374.42
271	12.764	1.4596	5.e-002	-3.5725
272	12.762	0.72982	0.	-374.3
273	15.57	1.4783	0.	-217.46
274	14.636	2.1999	0.	-262.92
275	14.636	1.4671	5.e-002	-2.7071
276	14.635	0.73354	0.	-263.54
277	17.442	1.5746	0.	-136.97
278	16.501	2.2229	0.	-171.3
279	16.504	1.4895	5.e-002	-2.0065
280	16.505	0.74477	0.	-170.9
281	19.283	1.9163	0.	-78.574
282	18.364	2.2541	0.	-103.22
283	18.38	1.6596	5.e-002	-2.2957
284	18.38	0.82981	0.	-100.24
285	19.267	2.5108	0.	-79.62
286	20.186	2.1729	5.e-002	-0.14237
287	20.22	1.0865	0.	-48.202
288	2.8199	1.9066	0.	-1119.
289	3.8478	2.4309	0.	-1183.2
290	3.5618	1.5805	5.e-002	-38.304
291	3.4809	0.79026	0.	-1041.
292	4.3309	1.2903	0.	-1229.6
293	1.8421	3.2111	0.	-1205.8
294	2.8332	2.9692	0.	-1216.8
295	2.0779	2.2326	5.e-002	-33.892
296	1.889	1.1163	0.	-1163.8
297	1.039	2.1163	0.	-1586.8
298	2.4135	4.4348	0.	-1187.2
299	1.6064	4.1896	5.e-002	-19.744
300	1.6532	5.0948	0.	-1226.9
301	0.80319	4.0948	0.	-1602.8
302	3.4046	4.1929	0.	-1197.2
303	3.2207	4.68	5.e-002	-18.532
304	3.3103	5.34	0.	-1092.9
305	4.1603	4.84	0.	-1181.7
306	4.3801	3.0924	0.	-1461.8
307	4.6264	2.9034	5.e-002	-72.108
308	4.8632	2.4517	0.	-3410.6
309	3.8611	3.4935	0.	-1299.1
310	4.1338	3.2813	5.e-002	-3.1101
311	4.6169	3.6406	0.	-2655.4
312	5.8046	3.0752	5.e-002	-31.224
313	6.6678	3.3673	5.e-002	-11.858
314	7.3958	2.3562	5.e-002	-11.101
315	6.3312	1.9281	0.	-1272.2
316	17.423	2.9024	0.	-138.06
317	18.349	2.8487	5.e-002	-2.4695
318	15.566	2.9445	0.	-217.26
319	16.497	2.9562	5.e-002	-2.2732
320	13.692	2.9232	0.	-319.21
321	14.635	2.9328	5.e-002	-2.6971
322	11.806	2.9099	0.	-440.54
323	12.749	2.9137	5.e-002	-2.7755
324	10.863	2.906	5.e-002	-5.9633
325	3.5884	3.7057	5.e-002	-37.094
326	4.3442	4.1029	0.	-1622.1
327	7.0848	5.1647	5.e-002	-22.57
328	7.1124	5.5824	0.	-608.86
329	6.1758	5.0824	0.	-713.64
330	6.9253	4.7525	0.1	6.4137
331	8.0175	4.7819	0.1	-19.57
332	6.1758	5.0824	0.1	5.7536
333	7.1124	5.5824	0.1	-67.737
334	3.8611	3.4935	0.1	9.2099
335	3.4046	4.1929	0.1	87.112
336	2.8332	2.9692	0.1	-111.76
337	4.3442	4.1029	0.1	126.32
338	11.806	2.9099	0.1	-1.5347e-002
339	10.876	2.1418	0.1	1.0949
340	10.861	3.6761	0.1	-1.926
341	10.019	2.8405	0.1	-7.0414
342	13.692	2.9232	0.1	-0.42991
343	12.757	2.1867	0.1	1.4971
344	12.753	3.6562	0.1	2.6813
345	15.566	2.9445	0.1	-5.0958
346	14.636	2.1999	0.1	-3.5915
347	14.645	3.64	0.1	-3.7602
348	17.423	2.9024	0.1	-6.088
349	16.501	2.2229	0.1	-5.731
350	16.511	3.6671	0.1	-6.2992
351	19.267	2.5108	0.1	-5.2926
352	18.364	2.2541	0.1	-5.5144
353	18.398	3.5979	0.1	-6.2208
354	7.3608	1.7532	0.1	23.49
355	7.5115	3.0033	0.1	11.643
356	8.2859	2.5655	0.1	21.762
357	6.8635	2.5173	0.1	34.283
358	6.3312	1.9281	0.1	72.6
359	7.1475	3.5089	0.1	-31.013
360	6.4182	3.5538	0.1	-2.3848
361	6.4995	3.0229	0.1	-10.349
362	5.5648	2.8392	0.1	-218.85
363	5.9866	3.4078	0.1	-28.561
364	6.0679	2.8768	0.1	-40.414
365	5.6092	3.231	0.1	-196.4
366	4.3801	3.0924	0.1	-17.094
367	3.8478	2.4309	0.1	-21.355
368	4.6169	3.6406	0.1	180.98
369	4.7468	3.0041	0.1	-140.31
370	4.5753	2.4573	0.1	-298.63
371	4.8632	2.4517	0.1	218.77
372	2.4135	4.4348	0.1	-121.75
373	4.1603	4.84	0.1	90.829
374	3.3103	5.34	0.1	54.034
375	1.8421	3.2111	0.1	-321.39
376	0.80319	4.0948	0.1	316.61
377	1.6532	5.0948	0.1	-302.11
378	2.8199	1.9066	0.1	-142.54
379	1.039	2.1163	0.1	340.01
380	1.889	1.1163	0.1	-297.01
381	4.043	1.7958	0.1	-261.74
382	4.3309	1.2903	0.1	1.5059
383	3.4809	0.79026	0.1	-17.877
384	19.283	1.9163	0.1	-5.3497
385	20.249	3.1594	0.1	-6.0368
386	21.138	2.1109	0.1	-6.7097
387	20.22	1.0865	0.1	-7.8684
388	17.442	1.5746	0.1	-5.6626
389	18.38	0.82981	0.1	-7.0961
390	15.57	1.4783	0.1	-4.7307
391	16.505	0.74477	0.1	-6.5921
392	13.7	1.4634	0.1	-2.1514
393	14.635	0.73354	0.1	-5.4215
394	11.827	1.4186	0.1	2.8226
395	12.762	0.72982	0.1	-2.9702
396	10.014	1.359	0.1	-8.2074
397	10.888	0.68875	0.1	1.9061
398	8.2322	1.2454	0.1	-26.841
399	9.1573	2.0577	0.1	-15.788
400	9.0759	0.67029	0.1	-22.517
401	6.2962	1.0751	0.1	38.686
402	7.2329	0.57513	0.1	-59.071
403	7.1965	3.9954	0.1	-2.5632
404	6.4672	4.0403	0.1	27.984
405	6.0162	4.4202	0.1	60.402
406	8.2887	4.0248	0.1	-24.63
407	9.9041	4.4226	0.1	-6.9401
408	9.0631	3.587	0.1	-12.458
409	8.9818	5.1995	0.1	-3.603
410	11.808	4.4224	0.1	0.78105
411	10.872	5.2231	0.1	-3.4097
412	13.706	4.3729	0.1	0.36135
413	12.759	5.1993	0.1	2.9462
414	15.589	4.3626	0.1	-5.5759
415	14.644	5.1736	0.1	-4.1189
416	17.486	4.3626	0.1	-7.0771
417	16.515	5.189	0.1	-7.9018
418	19.379	4.2465	0.1	-7.5117
419	18.414	5.1736	0.1	-7.6784
420	21.219	4.0863	0.1	-8.1254
421	20.282	5.073	0.1	-7.965
422	22.108	3.0377	0.1	-8.1995
423	22.127	5.0133	0.1	-8.9349
424	23.064	4.0133	0.1	-7.3333
425	23.045	2.0244	0.1	-7.3473
426	22.108	1.0244	0.1	-10.164
427	5.096	2.854	0.1	-292.93
428	5.2071	2.5623	0.1	-416.11
429	5.2958	2.3016	0.1	57.507
430	5.1405	3.2458	0.1	-273.9
431	4.9782	2.8131	0.1	-293.01
432	4.9836	3.5524	0.1	165.33
433	4.812	1.7556	0.1	-241.81
434	5.7176	3.8701	0.1	122.96
435	5.799	2.3392	0.1	284.54
436	5.3403	3.6934	0.1	-63.5
437	5.0946	2.2607	0.1	101.56
438	5.2667	4.75	0.1	-25.894
439	5.2667	5.5	0.1	33.541
440	5.2667	5.	5.e-002	-34.002
441	5.2667	4.25	0.1	62.554
442	5.2667	4.5	5.e-002	-61.671
443	5.1833	4.	0.1	396.1
444	5.2667	4.	5.e-002	-86.116
445	5.1	4.25	0.1	291.48
446	5.1	4.	5.e-002	-52.631
447	5.1	4.75	0.1	129.93
448	5.1	4.5	5.e-002	-83.925
449	5.1	5.5	0.1	75.102
450	5.1	5.	5.e-002	-27.653
451	5.2667	1.25	0.1	81.553
452	5.2667	0.5	0.1	2.661
453	5.2667	1.	5.e-002	-39.06
454	5.2667	1.75	0.1	294.68
455	5.2667	1.5	5.e-002	-88.376
456	5.1833	2.	0.1	433.45
457	5.2667	2.	5.e-002	-84.249
458	5.1	1.75	0.1	167.47
459	5.1	2.	5.e-002	-267.09
460	5.1	1.25	0.1	-45.913
461	5.1	1.5	5.e-002	-107.04
462	5.1	0.5	0.1	60.116
463	5.1	1.	5.e-002	-136.47
464	6.2033	6.	0.1	-7.8492
465	5.2667	6.	5.e-002	-11.455
466	8.0767	6.	0.1	-36.875
467	7.14	6.	5.e-002	-31.358
468	9.95	6.	0.1	-11.536
469	9.0133	6.	5.e-002	-11.245
470	11.823	6.	0.1	-1.535
471	10.887	6.	5.e-002	-10.265
472	13.697	6.	0.1	-0.81186
473	12.76	6.	5.e-002	-6.806
474	15.57	6.	0.1	-7.0425
475	14.633	6.	5.e-002	-5.1644
476	17.443	6.	0.1	-9.2815
477	16.507	6.	5.e-002	-4.0933
478	19.317	6.	0.1	-9.1554
479	18.38	6.	5.e-002	-3.4814
480	21.19	6.	0.1	-9.5847
481	20.253	6.	5.e-002	-1.8678
482	23.063	6.	0.1	-8.2835
483	22.127	6.	5.e-002	-1.2713
484	24.	5.	0.1	-6.0182
485	24.	6.	5.e-002	-0.72681
486	24.	3.	0.1	-6.0913
487	24.	4.	5.e-002	-0.68527
488	24.	1.	0.1	-6.0281
489	24.	2.	5.e-002	-0.89406
490	2.6226e-014	3.	0.1	977.85
491	8.7419e-015	1.	0.1	893.27
492	1.772e-014	2.	5.e-002	-25.451
493	4.371e-014	5.	0.1	859.91
494	3.5441e-014	4.	5.e-002	-43.905
495	23.063	0.	0.1	-9.8052
496	24.	0.	5.e-002	-1.0854
497	21.19	0.	0.1	-11.914
498	22.127	0.	5.e-002	-0.9427
499	19.317	0.	0.1	-10.322
500	20.253	0.	5.e-002	-1.1396
501	17.443	0.	0.1	-8.7542
502	18.38	0.	5.e-002	-3.5212
503	15.57	0.	0.1	-7.9906
504	16.507	0.	5.e-002	-4.7063
505	13.697	0.	0.1	-6.7858
506	14.633	0.	5.e-002	-6.0576
507	11.823	0.	0.1	-4.9833
508	12.76	0.	5.e-002	-5.7554
509	9.95	0.	0.1	-11.15
510	10.887	0.	5.e-002	-4.4414
511	8.0767	0.	0.1	-45.748
512	9.0133	0.	5.e-002	-4.8577
513	6.2033	0.	0.1	-36.518
514	7.14	0.	5.e-002	-20.315
