Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
209	1.7214	1.5147	0.1	218.43
210	2.1464	4.5147	0.1	223.08
211	5.6051	3.5074	0.1	155.41
212	5.6051	2.2574	0.1	-12.212
213	4.1958	3.5582	0.1	313.82
214	3.3458	1.5582	0.1	144.85
215	4.9537	1.9788	0.1	180.16
216	5.1144	2.1446	0.1	-32.016
217	5.2667	4.75	0.1	53.168
218	5.2667	5.5	0.1	55.23
219	5.2667	5.	5.e-002	3.7257e-007
220	5.2667	4.25	0.1	365.76
221	5.2667	4.5	5.e-002	1.0001e-005
222	5.1833	4.	0.1	431.51
223	5.2667	4.	5.e-002	5.9584e-005
224	5.1	4.25	0.1	78.127
225	5.1	4.	5.e-002	1.6484e-005
226	5.1	4.75	0.1	157.35
227	5.1	4.5	5.e-002	-2.6478e-014
228	5.1	5.5	0.1	247.33
229	5.1	5.	5.e-002	-9.5634e-007
230	5.2667	1.25	0.1	49.044
231	5.2667	0.5	0.1	83.517
232	5.2667	1.	5.e-002	7.0841e-006
233	5.2667	1.75	0.1	544.49
234	5.2667	1.5	5.e-002	-3.0074e-014
235	5.1833	2.	0.1	615.48
236	5.2667	2.	5.e-002	9.6237e-005
237	5.1	1.75	0.1	206.76
238	5.1	2.	5.e-002	9.5534e-005
239	5.1	1.25	0.1	26.295
240	5.1	1.5	5.e-002	-7.5832e-006
241	5.1	0.5	0.1	10.918
242	5.1	1.	5.e-002	-3.5836e-014
243	7.0229	6.	0.1	49.084
244	5.2667	6.	5.e-002	-7.7076e-015
245	10.535	6.	0.1	23.167
246	8.7792	6.	5.e-002	6.2938e-006
247	14.633	6.	0.1	19.651
248	12.292	6.	5.e-002	2.5644e-006
249	20.487	6.	0.1	21.767
250	16.975	6.	5.e-002	9.6408e-006
251	24.	4.5	0.1	19.11
252	24.	6.	5.e-002	1.9773e-005
253	24.	1.5	0.1	19.654
254	24.	3.	5.e-002	4.8696e-006
255	1.3113e-014	1.5	0.1	889.12
256	3.9339e-014	4.5	0.1	936.15
257	2.6581e-014	3.	5.e-002	-7.7283e-015
258	19.317	0.	0.1	25.54
259	24.	0.	5.e-002	1.4041e-005
260	12.292	0.	0.1	24.49
261	14.633	0.	5.e-002	1.4762e-005
262	7.6083	0.	0.1	48.727
263	9.95	0.	5.e-002	1.4198e-005
264	5.2667	0.	5.e-002	-5.9584e-015
265	4.25	1.8198e-030	0.1	-79.913
266	5.1	2.1837e-030	5.e-002	-3.0967e-014
267	2.55	1.0919e-030	0.1	106.82
268	3.4	0.	5.e-002	4.0648e-006
269	0.85	3.6396e-031	0.1	489.38
270	1.7	0.	5.e-002	-6.7466e-007
271	0.	0.	5.e-002	8.3151e-007
272	1.275	6.	0.1	542.27
273	5.2451e-014	6.	5.e-002	-1.9193e-007
274	3.825	6.	0.1	-58.409
275	2.55	6.	5.e-002	6.7797e-006
276	5.1	6.	5.e-002	-3.9818e-014
277	3.825	6.	0.	58.409
278	1.275	6.	0.	-542.27
279	5.1	5.5	0.	-247.33
280	3.9339e-014	4.5	0.	-936.15
281	2.55	1.0919e-030	0.	-106.82
282	0.85	3.6396e-031	0.	-489.38
283	4.25	1.8198e-030	0.	79.913
284	5.1	0.5	0.	-10.918
285	1.3113e-014	1.5	0.	-889.12
286	12.292	0.	0.	-24.49
287	7.6083	0.	0.	-48.727
288	19.317	0.	0.	-25.54
289	5.2667	0.5	0.	-83.517
290	24.	1.5	0.	-19.654
291	24.	4.5	0.	-19.11
292	20.487	6.	0.	-21.767
293	14.633	6.	0.	-19.651
294	10.535	6.	0.	-23.167
295	7.0229	6.	0.	-49.084
296	5.2667	5.5	0.	-55.23
297	5.1	1.25	0.	-26.295
298	5.1	1.75	0.	-206.76
299	5.1833	2.	0.	-615.48
300	5.2667	1.25	0.	-49.044
301	5.2667	1.75	0.	-544.49
302	5.1	4.75	0.	-157.35
303	5.1	4.25	0.	-78.127
304	5.1833	4.	0.	-431.51
305	5.2667	4.75	0.	-53.168
306	5.2667	4.25	0.	-365.76
