NodeIndex,X,Y,Z,Weight,StrainValue,CutLocation
271,11.371,6,0.1,0.245853300456817,4.7566e-05,2.02
869,10.797,6,0,0.234381411027199,5.2055e-05,2.02
877,15.389,6,0,0.349450994518973,2.2692e-05,2.02
992,15.389,6,0.1,0.30888031011876,2.2692e-05,2.02
204,14.815,6,0,0.171548670036587,2.5593e-05,2.02
878,14.815,6,0.05,0.17012002532568,9.6998e-07,2.02
206,17.112,6,0,0.727870647197295,1.478e-05,2.02
882,17.112,6,0.05,0.169865321956516,7.3988e-07,2.02
276,17.112,6,0.1,0.0867223088419796,1.478e-05,2.02
879,16.538,6,0,0.0155417220042087,1.7285e-05,2.02
887,21.13,6,0,0.540376482004994,3.2836e-06,2.02
997,21.13,6,0.1,0.309885564209393,3.2836e-06,2.02
210,21.704,6,0,0.0750522891673604,2.3107e-06,2.02
890,21.704,6,0.05,0.0746856646182524,2.5654e-07,2.02
382,5.0742,6,0,0.886499519160481,0.00010011,2.04
106,5.6477,6,0,0.0417595172436367,9.89e-05,2.04
105,4.5007,6,0,0.0381640039952275,0.00010136,2.04
298,5.3854,5.3815,0,0.0335769596006552,9.7887e-05,2.04
384,7.3682,6,0,0.391273365935713,8.1569e-05,2.04
107,6.7947,6,0,0.343725898276968,8.6432e-05,2.04
295,6.6751,5.3847,0,0.140339870090053,8.7215e-05,2.04
108,7.9418,6,0,0.124660865697266,7.6761e-05,2.04
109,9.0888,6,0,0.631304739282792,6.5963e-05,2.04
386,9.6623,6,0,0.151851799715002,6.1153e-05,2.04
289,9.052,5.404,0,0.114315219424514,6.5815e-05,2.04
385,8.5153,6,0,0.102528241577692,7.1352e-05,2.04
111,11.383,6,0,0.365262546801884,4.7487e-05,2.04
387,10.809,6,0,0.355220964759219,5.1916e-05,2.04
283,11.368,5.4066,0,0.158757959531265,4.7391e-05,2.04
388,11.956,6,0,0.120758528907632,4.3438e-05,2.04
391,15.397,6,0,0.486140795205103,2.2618e-05,2.04
114,14.824,6,0,0.254706746423952,2.5506e-05,2.04
274,14.819,5.4012,0,0.134937495134362,2.546e-05,2.04
115,15.971,6,0,0.124214963236583,1.9737e-05,2.04
116,17.118,6,0,0.915436819936569,1.4757e-05,2.04
392,16.544,6,0,0.0296364438108913,1.7242e-05,2.04
393,17.691,6,0,0.0278813244650688,1.2624e-05,2.04
268,17.109,5.3908,0,0.0270454117874708,1.4726e-05,2.04
396,21.132,6,0,0.753386473600068,3.2832e-06,2.04
120,21.706,6,0,0.10124561305297,2.3062e-06,2.04
119,20.559,6,0,0.0799224340168536,4.2953e-06,2.04
256,21.7,5.3977,0,0.0654454793301074,2.3172e-06,2.04
845,5.0916,6,0,0.898147563041988,9.9001e-05,2.06
969,5.0916,6,0.1,0.0751796277975413,9.9001e-05,2.06
192,5.6646,6,0,0.0133624504597107,9.8115e-05,2.06
848,5.6646,6,0.05,0.0133103587007595,3.0846e-06,2.06
849,7.3835,6,0,0.257247017720004,8.1107e-05,2.06
193,6.8105,6,0,0.2519154733113,8.5791e-05,2.06
850,6.8105,6,0.05,0.248240264096933,1.0085e-06,2.06
971,7.3835,6,0.1,0.242597244871763,8.1107e-05,2.06
195,9.1025,6,0,0.358036920203644,6.5823e-05,2.06
854,9.1025,6,0.05,0.318587503928893,1.4527e-06,2.06
265,9.1025,6,0.1,0.249945622733565,6.5823e-05,2.06
853,9.6754,6,0,0.0734299531338984,6.1018e-05,2.06
855,10.821,6,0,0.261377379721239,5.1801e-05,2.06
197,11.394,6,0,0.248041799123216,4.7387e-05,2.06
974,10.821,6,0.1,0.246050112281108,5.1801e-05,2.06
858,11.394,6,0.05,0.244530708874437,1.3719e-06,2.06
863,15.405,6,0,0.332465915156635,2.2598e-05,2.06
978,15.405,6,0.1,0.298809873794905,2.2598e-05,2.06
200,14.832,6,0,0.18520519730193,2.5481e-05,2.06
864,14.832,6,0.05,0.18351901374653,9.993e-07,2.06
202,17.124,6,0,0.584856930995111,1.4728e-05,2.06
868,17.124,6,0.05,0.253085764133845,7.5356e-07,2.06
272,17.124,6,0.1,0.136489788761972,1.4728e-05,2.06
865,16.551,6,0,0.0255675161090729,1.722e-05,2.06
873,21.135,6,0,0.555469594475332,3.2735e-06,2.06
983,21.135,6,0.1,0.302724458099007,3.2735e-06,2.06
206,21.708,6,0,0.0710738654348335,2.298e-06,2.06
876,21.708,6,0.05,0.0707320819908265,2.5295e-07,2.06
845,5.1089,6,0,0.892716800858402,9.8203e-05,2.08
969,5.1089,6,0.1,0.0791389835556184,9.8203e-05,2.08
191,4.5365,6,0,0.0140996974758479,9.896e-05,2.08
846,4.5365,6,0.05,0.0140445181101322,1.8091e-06,2.08
193,6.8263,6,0,0.260485269402217,8.5856e-05,2.08
850,6.8263,6,0.05,0.256244582139359,1.538e-06,2.08
263,6.8263,6,0.1,0.244666339103047,8.5856e-05,2.08
849,7.3988,6,0,0.238603809355377,8.0933e-05,2.08
