Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
120	22.965	3.4545	0.	-240.31
121	22.965	3.2727	0.	-233.41
122	22.965	3.0909	0.	-230.13
123	22.965	2.9091	0.	-230.13
124	22.965	2.7273	0.	-233.41
125	22.965	2.5455	0.	-240.31
126	22.965	2.3636	0.	-250.07
127	22.965	2.1818	0.	-258.96
128	22.965	2.	0.	-261.69
129	22.965	1.8182	0.	-255.56
130	22.965	1.6364	0.	-242.44
131	22.965	1.4545	0.	-226.26
132	22.965	1.2727	0.	-210.32
133	22.965	1.0909	0.	-195.84
134	22.965	0.90909	0.	-183.13
135	22.965	0.72727	0.	-172.17
136	22.965	0.54545	0.	-162.98
137	22.965	0.36364	0.	-155.68
138	22.965	0.18182	0.	-150.28
139	22.781	5.8182	0.	-194.38
140	22.781	5.6364	0.	-199.27
141	22.781	5.4545	0.	-206.1
142	22.781	5.2727	0.	-214.72
143	22.781	5.0909	0.	-224.98
144	22.781	4.9091	0.	-236.7
145	22.781	4.7273	0.	-249.53
146	22.781	4.5455	0.	-262.72
147	22.781	4.3636	0.	-274.82
148	22.781	4.1818	0.	-283.74
149	22.781	4.	0.	-287.54
150	22.781	3.8182	0.	-285.81
151	22.781	3.6364	0.	-280.23
152	22.781	3.4545	0.	-273.69
153	22.781	3.2727	0.	-268.56
154	22.781	3.0909	0.	-265.91
155	22.781	2.9091	0.	-265.91
156	22.781	2.7273	0.	-268.56
157	22.781	2.5455	0.	-273.69
158	22.781	2.3636	0.	-280.23
159	22.781	2.1818	0.	-285.81
160	22.781	2.	0.	-287.54
161	22.781	1.8182	0.	-283.74
162	22.781	1.6364	0.	-274.82
163	22.781	1.4545	0.	-262.72
164	22.781	1.2727	0.	-249.53
165	22.781	1.0909	0.	-236.7
166	22.781	0.90909	0.	-224.98
167	22.781	0.72727	0.	-214.72
168	22.781	0.54545	0.	-206.1
169	22.781	0.36364	0.	-199.27
170	22.781	0.18182	0.	-194.38
171	22.598	5.8182	0.	-239.3
172	22.598	5.6364	0.	-243.6
173	22.598	5.4545	0.	-249.9
174	22.598	5.2727	0.	-257.79
175	22.598	5.0909	0.	-267.06
176	22.598	4.9091	0.	-277.41
177	22.598	4.7273	0.	-288.32
178	22.598	4.5455	0.	-298.96
179	22.598	4.3636	0.	-308.19
180	22.598	4.1818	0.	-314.66
181	22.598	4.	0.	-317.43
182	22.598	3.8182	0.	-316.49
183	22.598	3.6364	0.	-312.94
184	22.598	3.4545	0.	-308.53
185	22.598	3.2727	0.	-304.84
186	22.598	3.0909	0.	-302.81
187	22.598	2.9091	0.	-302.81
188	22.598	2.7273	0.	-304.84
189	22.598	2.5455	0.	-308.53
190	22.598	2.3636	0.	-312.94
191	22.598	2.1818	0.	-316.49
192	22.598	2.	0.	-317.43
193	22.598	1.8182	0.	-314.66
194	22.598	1.6364	0.	-308.19
195	22.598	1.4545	0.	-298.96
196	22.598	1.2727	0.	-288.31
197	22.598	1.0909	0.	-277.41
198	22.598	0.90909	0.	-267.06
199	22.598	0.72727	0.	-257.79
200	22.598	0.54545	0.	-249.9
201	22.598	0.36364	0.	-243.6
202	22.598	0.18182	0.	-239.3
203	22.414	5.8182	0.	-284.46
204	22.414	5.6364	0.	-288.09
205	22.414	5.4545	0.	-293.76
206	22.414	5.2727	0.	-300.82
207	22.414	5.0909	0.	-308.96
208	22.414	4.9091	0.	-317.84
209	22.414	4.7273	0.	-326.92
210	22.414	4.5455	0.	-335.48
211	22.414	4.3636	0.	-342.64
212	22.414	4.1818	0.	-347.58
213	22.414	4.	0.	-349.82
214	22.414	3.8182	0.	-349.48
215	22.414	3.6364	0.	-347.28
216	22.414	3.4545	0.	-344.36
217	22.414	3.2727	0.	-341.79
218	22.414	3.0909	0.	-340.32
219	22.414	2.9091	0.	-340.32
220	22.414	2.7273	0.	-341.79
221	22.414	2.5455	0.	-344.36
222	22.414	2.3636	0.	-347.28
223	22.414	2.1818	0.	-349.48
224	22.414	2.	0.	-349.82
225	22.414	1.8182	0.	-347.58
226	22.414	1.6364	0.	-342.64
227	22.414	1.4545	0.	-335.48
228	22.414	1.2727	0.	-326.92
229	22.414	1.0909	0.	-317.84
230	22.414	0.90909	0.	-308.96
231	22.414	0.72727	0.	-300.82
232	22.414	0.54545	0.	-293.76
233	22.414	0.36364	0.	-288.09
234	22.414	0.18182	0.	-284.46
235	22.23	5.8182	0.	-329.49
236	22.23	5.6364	0.	-332.39
237	22.23	5.4545	0.	-337.38
238	22.23	5.2727	0.	-343.55
239	22.23	5.0909	0.	-350.56
240	22.23	4.9091	0.	-358.05
241	22.23	4.7273	0.	-365.53
242	22.23	4.5455	0.	-372.42
243	22.23	4.3636	0.	-378.09
244	22.23	4.1818	0.	-382.02
245	22.23	4.	0.	-383.95
246	22.23	3.8182	0.	-384.03
247	22.23	3.6364	0.	-382.76
248	22.23	3.4545	0.	-380.89
249	22.23	3.2727	0.	-379.16
250	22.23	3.0909	0.	-378.16
251	22.23	2.9091	0.	-378.16
252	22.23	2.7273	0.	-379.16
253	22.23	2.5455	0.	-380.89
254	22.23	2.3636	0.	-382.76
255	22.23	2.1818	0.	-384.03
256	22.23	2.	0.	-383.95
257	22.23	1.8182	0.	-382.02
