Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
61	23.333	2.5455	0.	113.34
62	23.333	2.3636	0.	177.7
63	23.333	2.1818	0.	284.07
64	23.333	2.	0.	382.22
65	23.333	1.8182	0.	402.64
66	23.333	1.6364	0.	354.73
67	23.333	1.4545	0.	286.74
68	23.333	1.2727	0.	227.38
69	23.333	1.0909	0.	175.76
70	23.333	0.90909	0.	131.44
71	23.333	0.72727	0.	93.214
72	23.333	0.54545	0.	60.535
73	23.333	0.36364	0.	33.479
74	23.333	0.18182	0.	12.711
75	23.149	5.8182	0.	14.716
76	23.149	5.6364	0.	34.8
77	23.149	5.4545	0.	59.767
78	23.149	5.2727	0.	89.487
79	23.149	5.0909	0.	123.76
80	23.149	4.9091	0.	162.39
81	23.149	4.7273	0.	204.81
82	23.149	4.5455	0.	249.23
83	23.149	4.3636	0.	288.91
84	23.149	4.1818	0.	308.85
85	23.149	4.	0.	291.8
86	23.149	3.8182	0.	240.91
87	23.149	3.6364	0.	179.92
88	23.149	3.4545	0.	133.47
89	23.149	3.2727	0.	107.91
90	23.149	3.0909	0.	97.708
91	23.149	2.9091	0.	97.708
92	23.149	2.7273	0.	107.91
93	23.149	2.5455	0.	133.47
94	23.149	2.3636	0.	179.92
95	23.149	2.1818	0.	240.91
96	23.149	2.	0.	291.8
97	23.149	1.8182	0.	308.85
98	23.149	1.6364	0.	288.91
99	23.149	1.4545	0.	249.23
100	23.149	1.2727	0.	204.81
101	23.149	1.0909	0.	162.39
102	23.149	0.90909	0.	123.76
103	23.149	0.72727	0.	89.487
104	23.149	0.54545	0.	59.767
105	23.149	0.36364	0.	34.8
106	23.149	0.18182	0.	14.716
107	22.965	5.8182	0.	16.807
108	22.965	5.6364	0.	36.21
109	22.965	5.4545	0.	59.369
110	22.965	5.2727	0.	86.146
111	22.965	5.0909	0.	116.24
112	22.965	4.9091	0.	148.95
113	22.965	4.7273	0.	182.89
114	22.965	4.5455	0.	215.21
115	22.965	4.3636	0.	240.34
116	22.965	4.1818	0.	250.12
117	22.965	4.	0.	239.21
118	22.965	3.8182	0.	210.06
119	22.965	3.6364	0.	173.46
120	22.965	3.4545	0.	141.6
121	22.965	3.2727	0.	120.78
122	22.965	3.0909	0.	111.1
123	22.965	2.9091	0.	111.1
124	22.965	2.7273	0.	120.78
125	22.965	2.5455	0.	141.6
126	22.965	2.3636	0.	173.46
127	22.965	2.1818	0.	210.06
128	22.965	2.	0.	239.21
129	22.965	1.8182	0.	250.12
130	22.965	1.6364	0.	240.34
131	22.965	1.4545	0.	215.21
132	22.965	1.2727	0.	182.89
133	22.965	1.0909	0.	148.95
134	22.965	0.90909	0.	116.24
135	22.965	0.72727	0.	86.146
136	22.965	0.54545	0.	59.369
137	22.965	0.36364	0.	36.21
138	22.965	0.18182	0.	16.807
139	22.781	5.8182	0.	18.747
140	22.781	5.6364	0.	37.191
141	22.781	5.4545	0.	58.571
142	22.781	5.2727	0.	82.519
143	22.781	5.0909	0.	108.62
144	22.781	4.9091	0.	135.96
145	22.781	4.7273	0.	162.96
146	22.781	4.5455	0.	186.98
147	22.781	4.3636	0.	204.24
148	22.781	4.1818	0.	210.74
149	22.781	4.	0.	204.33
150	22.781	3.8182	0.	186.95
151	22.781	3.6364	0.	164.29
152	22.781	3.4545	0.	142.99
153	22.781	3.2727	0.	127.58
154	22.781	3.0909	0.	119.8
155	22.781	2.9091	0.	119.8
156	22.781	2.7273	0.	127.58
157	22.781	2.5455	0.	142.99
158	22.781	2.3636	0.	164.29
159	22.781	2.1818	0.	186.95
160	22.781	2.	0.	204.33
161	22.781	1.8182	0.	210.74
162	22.781	1.6364	0.	204.24
163	22.781	1.4545	0.	186.98
164	22.781	1.2727	0.	162.96
165	22.781	1.0909	0.	135.96
166	22.781	0.90909	0.	108.62
167	22.781	0.72727	0.	82.519
168	22.781	0.54545	0.	58.571
169	22.781	0.36364	0.	37.191
170	22.781	0.18182	0.	18.747
171	22.598	5.8182	0.	20.475
172	22.598	5.6364	0.	37.688
173	22.598	5.4545	0.	57.268
174	22.598	5.2727	0.	78.563
175	22.598	5.0909	0.	101.09
176	22.598	4.9091	0.	123.91
177	22.598	4.7273	0.	145.59
178	22.598	4.5455	0.	164.1
179	22.598	4.3636	0.	177.04
180	22.598	4.1818	0.	182.28
181	22.598	4.	0.	179.07
182	22.598	3.8182	0.	168.78
183	22.598	3.6364	0.	154.66
184	22.598	3.4545	0.	140.64
185	22.598	3.2727	0.	129.88
186	22.598	3.0909	0.	124.17
187	22.598	2.9091	0.	124.17
