Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
52	23.333	4.1818	0.	-6.2264e-006
53	23.333	4.	0.	-4.8714e-006
54	23.333	3.8182	0.	-1.49e-006
55	23.333	3.6364	0.	1.0229e-006
56	23.333	3.4545	0.	2.278e-006
57	23.333	3.2727	0.	2.6725e-006
58	23.333	3.0909	0.	2.7707e-006
59	23.333	2.9091	0.	2.7707e-006
60	23.333	2.7273	0.	2.6725e-006
61	23.333	2.5455	0.	2.278e-006
62	23.333	2.3636	0.	1.0229e-006
63	23.333	2.1818	0.	-1.49e-006
64	23.333	2.	0.	-4.8714e-006
65	23.333	1.8182	0.	-6.2264e-006
66	23.333	1.6364	0.	-5.801e-006
67	23.333	1.4545	0.	-4.5297e-006
68	23.333	1.2727	0.	-3.1509e-006
69	23.333	1.0909	0.	-1.9096e-006
70	23.333	0.90909	0.	-8.4575e-007
71	23.333	0.72727	0.	5.3554e-008
72	23.333	0.54545	0.	7.9951e-007
73	23.333	0.36364	0.	1.3964e-006
74	23.333	0.18182	0.	1.8536e-006
75	23.149	5.8182	0.	3.0711e-006
76	23.149	5.6364	0.	2.6099e-006
77	23.149	5.4545	0.	2.0522e-006
78	23.149	5.2727	0.	1.3893e-006
79	23.149	5.0909	0.	6.2867e-007
80	23.149	4.9091	0.	-2.203e-007
81	23.149	4.7273	0.	-1.1182e-006
82	23.149	4.5455	0.	-1.9701e-006
83	23.149	4.3636	0.	-2.6251e-006
84	23.149	4.1818	0.	-2.5295e-006
85	23.149	4.	0.	-1.5383e-006
86	23.149	3.8182	0.	-7.245e-008
87	23.149	3.6364	0.	1.4587e-006
88	23.149	3.4545	0.	2.5014e-006
89	23.149	3.2727	0.	3.0368e-006
90	23.149	3.0909	0.	3.2489e-006
91	23.149	2.9091	0.	3.2489e-006
92	23.149	2.7273	0.	3.0368e-006
93	23.149	2.5455	0.	2.5014e-006
94	23.149	2.3636	0.	1.4587e-006
95	23.149	2.1818	0.	-7.2455e-008
96	23.149	2.	0.	-1.5383e-006
97	23.149	1.8182	0.	-2.5295e-006
98	23.149	1.6364	0.	-2.6251e-006
99	23.149	1.4545	0.	-1.9701e-006
100	23.149	1.2727	0.	-1.1182e-006
101	23.149	1.0909	0.	-2.2031e-007
102	23.149	0.90909	0.	6.2866e-007
103	23.149	0.72727	0.	1.3893e-006
104	23.149	0.54545	0.	2.0522e-006
105	23.149	0.36364	0.	2.6099e-006
106	23.149	0.18182	0.	3.071e-006
107	22.965	5.8182	0.	4.3977e-006
108	22.965	5.6364	0.	3.9426e-006
109	22.965	5.4545	0.	3.4276e-006
110	22.965	5.2727	0.	2.8475e-006
111	22.965	5.0909	0.	2.2167e-006
112	22.965	4.9091	0.	1.5577e-006
113	22.965	4.7273	0.	9.1668e-007
114	22.965	4.5455	0.	3.782e-007
115	22.965	4.3636	0.	1.0235e-007
116	22.965	4.1818	0.	1.9897e-007
117	22.965	4.	0.	7.4723e-007
118	22.965	3.8182	0.	1.6314e-006
119	22.965	3.6364	0.	2.5328e-006
120	22.965	3.4545	0.	3.2541e-006
121	22.965	3.2727	0.	3.7172e-006
122	22.965	3.0909	0.	3.9292e-006
123	22.965	2.9091	0.	3.9292e-006
124	22.965	2.7273	0.	3.7172e-006
125	22.965	2.5455	0.	3.2541e-006
126	22.965	2.3636	0.	2.5328e-006
127	22.965	2.1818	0.	1.6314e-006
128	22.965	2.	0.	7.4722e-007
129	22.965	1.8182	0.	1.9896e-007
130	22.965	1.6364	0.	1.0235e-007
131	22.965	1.4545	0.	3.782e-007
132	22.965	1.2727	0.	9.1667e-007
133	22.965	1.0909	0.	1.5577e-006
134	22.965	0.90909	0.	2.2167e-006
135	22.965	0.72727	0.	2.8475e-006
136	22.965	0.54545	0.	3.4276e-006
137	22.965	0.36364	0.	3.9426e-006
138	22.965	0.18182	0.	4.3977e-006
139	22.781	5.8182	0.	5.7868e-006
140	22.781	5.6364	0.	5.3457e-006
141	22.781	5.4545	0.	4.8747e-006
142	22.781	5.2727	0.	4.3694e-006
