Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
194	3.3347	6.	0.	2.5005e-005
195	4.4828	6.	0.	3.7037e-005
196	5.6309	6.	0.	3.6839e-005
197	6.7789	6.	0.	2.9511e-005
198	7.927	6.	0.	2.6045e-005
199	9.0751	6.	0.	2.2458e-005
200	10.223	6.	0.	1.9242e-005
201	11.371	6.	0.	1.6279e-005
202	12.519	6.	0.	1.3769e-005
203	13.667	6.	0.	1.1465e-005
204	14.815	6.	0.	9.3472e-006
205	15.964	6.	0.	7.4538e-006
206	17.112	6.	0.	5.8088e-006
207	18.26	6.	0.	4.3954e-006
208	19.408	6.	0.	3.208e-006
209	20.556	6.	0.	2.229e-006
210	21.704	6.	0.	1.4876e-006
211	22.852	6.	0.	8.9788e-007
212	24.	6.	0.	4.8193e-007
213	24.	4.8	0.	7.7379e-007
214	24.	3.6	0.	1.1595e-006
215	24.	2.4	0.	1.1601e-006
216	24.	1.2	0.	7.741e-007
217	1.049e-014	1.2	0.	1.3739e-006
218	2.0981e-014	2.4	0.	1.3244e-005
219	3.1471e-014	3.6	0.	1.3153e-005
220	4.1961e-014	4.8	0.	5.8511e-007
221	24.	0.	0.	4.8011e-007
222	2.1867	0.	0.	1.7752e-005
223	22.852	0.	0.	8.9645e-007
224	21.704	0.	0.	1.4891e-006
225	20.556	0.	0.	2.2226e-006
226	19.408	0.	0.	3.1814e-006
227	18.26	0.	0.	4.352e-006
228	17.112	0.	0.	5.7558e-006
229	15.964	0.	0.	7.4078e-006
230	14.815	0.	0.	9.2909e-006
231	13.667	0.	0.	1.1423e-005
232	12.519	0.	0.	1.3767e-005
233	11.371	0.	0.	1.6338e-005
234	10.223	0.	0.	1.905e-005
235	9.0751	0.	0.	2.1988e-005
236	7.927	0.	0.	2.549e-005
237	6.7789	0.	0.	2.8877e-005
238	5.6309	0.	0.	3.2231e-005
239	4.4828	0.	0.	3.5377e-005
240	3.3347	0.	0.	3.1302e-005
241	0.	0.	0.	5.9261e-006
242	2.02	0.	0.	1.5926e-005
243	1.01	-1.2132e-031	0.	3.8632e-005
244	3.937e-014	6.	0.	5.5918e-006
245	2.02	6.	0.	2.8249e-005
246	1.01	6.	0.	3.9326e-005
247	2.1867	5.5	0.1	4.8716e-005
248	2.1867	5.	0.1	1.3965e-004
249	2.1867	4.5	0.1	1.5331e-004
250	2.1867	4.	0.1	3.3287e-004
251	2.02	4.	0.1	5.8717e-004
252	2.02	4.5	0.1	1.1961e-004
253	2.02	5.	0.1	1.0969e-004
254	2.02	5.5	0.1	5.376e-005
255	2.1867	0.5	0.1	7.2002e-005
256	2.1867	1.	0.1	1.123e-004
257	2.1867	1.5	0.1	2.3361e-004
258	2.1867	2.	0.1	3.5363e-004
259	2.02	2.	0.1	4.3475e-004
260	2.02	1.5	0.1	1.9757e-004
261	2.02	1.	0.1	2.254e-004
262	2.02	0.5	0.1	1.1232e-004
263	2.1867	6.	0.1	5.1513e-005
264	3.3347	6.	0.1	7.7029e-005
265	4.4828	6.	0.1	9.833e-005
266	5.6309	6.	0.1	9.7602e-005
267	6.7789	6.	0.1	8.6906e-005
268	7.927	6.	0.1	7.7381e-005
269	9.0751	6.	0.1	6.6068e-005
270	10.223	6.	0.1	5.6435e-005
271	11.371	6.	0.1	4.7444e-005
272	12.519	6.	0.1	3.9288e-005
273	13.667	6.	0.1	3.1965e-005
274	14.815	6.	0.1	2.5385e-005
275	15.964	6.	0.1	1.958e-005
276	17.112	6.	0.1	1.4549e-005
277	18.26	6.	0.1	1.0292e-005
278	19.408	6.	0.1	6.8e-006
279	20.556	6.	0.1	4.025e-006
280	21.704	6.	0.1	2.0071e-006
