Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
210	22.886	0.	0.1	-0.31258
211	21.771	0.	0.1	-0.34413
212	20.657	0.	0.1	-0.42031
213	19.542	0.	0.1	-0.22067
214	18.428	0.	0.1	-0.65839
215	17.314	0.	0.1	1.3692
216	16.199	0.	0.1	-2.1709
217	15.085	0.	0.1	-1.4236
218	13.971	0.	0.1	1.6792
219	12.856	0.	0.1	-0.24331
220	11.742	0.	0.1	0.27207
221	10.627	0.	0.1	0.83828
222	9.513	0.	0.1	2.1659
223	8.3986	0.	0.1	8.4616
224	7.2842	0.	0.1	19.983
225	6.1698	0.	0.1	18.466
226	5.0554	0.	0.1	34.24
227	3.9411	0.	0.1	96.976
228	2.8267	0.	0.1	134.23
229	2.66	0.	0.1	239.62
230	1.7733	-4.0439e-032	0.1	53.819
231	0.88667	-2.022e-032	0.1	57.407
232	0.	0.	0.1	469.35
233	3.937e-014	6.	0.1	655.18
234	0.88667	6.	0.1	-15.104
235	1.7733	6.	0.1	125.03
236	2.66	6.	0.1	266.2
237	1.7733	6.	0.	-125.03
238	0.88667	6.	0.	15.104
239	2.66	6.	0.	-266.2
240	3.937e-014	6.	0.	-655.18
241	0.88667	-2.022e-032	0.	-57.407
242	1.7733	-4.0439e-032	0.	-53.819
243	2.66	0.	0.	-239.62
244	0.	0.	0.	-469.35
245	3.9411	0.	0.	-96.976
246	5.0554	0.	0.	-34.24
247	6.1698	0.	0.	-18.466
248	7.2842	0.	0.	-19.983
249	8.3986	0.	0.	-8.4616
250	9.513	0.	0.	-2.1659
251	10.627	0.	0.	-0.83828
252	11.742	0.	0.	-0.27207
253	12.856	0.	0.	0.24331
254	13.971	0.	0.	-1.6792
255	15.085	0.	0.	1.4236
256	16.199	0.	0.	2.1709
257	17.314	0.	0.	-1.3692
258	18.428	0.	0.	0.65839
259	19.542	0.	0.	0.22067
260	20.657	0.	0.	0.42031
261	21.771	0.	0.	0.34413
262	22.886	0.	0.	0.31258
263	2.8267	0.	0.	-134.23
264	24.	0.	0.	0.80922
265	4.1961e-014	4.8	0.	-1084.4
266	3.1471e-014	3.6	0.	-1192.9
267	2.0981e-014	2.4	0.	-981.39
268	1.049e-014	1.2	0.	-835.19
269	24.	1.2	0.	-0.58461
270	24.	2.4	0.	-1.3067
271	24.	3.6	0.	-1.3053
272	24.	4.8	0.	-0.59917
273	24.	6.	0.	0.79582
274	22.886	6.	0.	0.33235
275	21.771	6.	0.	0.32673
276	20.657	6.	0.	0.4303
277	19.542	6.	0.	0.32326
278	18.428	6.	0.	0.66745
279	17.314	6.	0.	-1.375
280	16.199	6.	0.	2.227
281	15.085	6.	0.	1.3047
282	13.971	6.	0.	-1.8406
283	12.856	6.	0.	0.31794
284	11.742	6.	0.	-0.22324
285	10.627	6.	0.	-0.5116
286	9.513	6.	0.	-1.2877
287	8.3986	6.	0.	-4.9982
288	7.2842	6.	0.	1.6272
289	6.1698	6.	0.	29.914
290	5.0554	6.	0.	12.393
291	3.9411	6.	0.	-54.615
292	2.8267	6.	0.	-154.65
293	2.66	1.5	0.	-67.168
294	2.66	1.	0.	-225.57
295	2.66	0.5	0.	-161.73
296	2.66	2.	0.	-1081.4
297	2.8267	0.5	0.	-208.88
298	2.8267	1.	0.	-119.24
299	2.8267	1.5	0.	-301.89
300	2.8267	2.	0.	-495.13
301	2.66	4.5	0.	420.78
302	2.66	5.	0.	230.71
303	2.66	5.5	0.	-100.95
304	2.66	4.	0.	-1171.4
305	2.8267	5.5	0.	-224.59
306	2.8267	5.	0.	-114.53
307	2.8267	4.5	0.	119.43
308	2.8267	4.	0.	-718.8
309	4.1139	4.431	0.	-115.23
310	4.2504	4.9813	0.	-37.806
311	3.6539	4.8749	0.	4.8241
312	3.8153	4.6832	5.e-002	-2.1156e-014
313	3.321	4.5916	0.	79.057
314	1.237	0.88952	0.	-148.98
315	1.676	1.137	0.	-179.29
316	1.6728	0.77418	5.e-002	3.2947e-006
317	1.7231	0.38709	0.	-47.601
318	2.1664	0.63709	0.	-134.35
319	1.5045	2.5034	0.	-342.11
320	1.762	1.7316	0.	-355.
321	1.8448	1.9634	5.e-002	-3.772e-006
322	2.2524	1.7317	0.	-291.12
