Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
406,1.9298,2.6085,0.1,0.00013066,1305.7,0.00013257,1440.9,-1.0922e-05,362.74,-6.0652e-05,-10.915,0.0055316
407,4.4705,2.2505,0.1,0.00017303,1729.1,0.00017257,1715.8,-5.6899e-05,-8.349,-5.8195e-05,-18.087,0.028027
408,22.015,2.7023,0.1,2.2296e-06,22.281,1.7435e-06,13.48,-1.1254e-08,0.29485,-1.6803e-06,-12.245,0.49981
409,21.362,1.9977,0.1,2.9649e-06,29.629,2.5969e-06,22.277,-3.3079e-07,0.27875,-1.8871e-06,-11.415,0.47947
410,21.332,4.0842,0.1,2.997e-06,29.949,2.6416e-06,22.796,-3.553e-07,0.27818,-1.8821e-06,-11.193,0.47848
411,22.013,3.3825,0.1,2.2236e-06,22.221,1.7413e-06,13.477,-1.4151e-08,0.28734,-1.6732e-06,-12.178,0.49975
412,5.8004,2.8803,0.1,0.00018405,1839.2,0.00018313,1812.9,-5.8859e-05,-5.3343,-6.4362e-05,-46.682,0.048988
413,5.4829,2.7213,0.1,0.00022333,2231.8,0.00022138,2177.4,-6.9072e-05,-4.9871,-8.1827e-05,-100.82,0.043302
414,4.758,2.7609,0.1,0.00021138,2112.4,0.00020987,2069.5,-6.6636e-05,-8.0939,-7.5689e-05,-76.116,0.032124
415,6.7004,2.2181,0.1,0.00010176,1016.9,0.00010291,1058,-2.521e-05,95.379,-3.8646e-05,-5.5735,0.06659
416,20.695,1.9658,0.1,4.0792e-06,40.764,3.7657e-06,33.993,-7.1981e-07,0.29035,-2.2645e-06,-11.316,0.4587
417,20.008,1.9318,0.1,5.513e-06,55.092,5.235e-06,48.669,-1.2148e-06,0.20828,-2.7401e-06,-11.252,0.43736
