Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
216	1.049e-014	1.2	0.1	7750.2
217	2.0981e-014	2.4	0.1	8162.6
218	3.1471e-014	3.6	0.1	8173.
219	4.1961e-014	4.8	0.1	7760.1
220	24.	0.	0.1	95.892
221	22.869	0.	0.1	219.33
222	21.738	0.	0.1	459.95
223	20.607	0.	0.1	716.45
224	19.476	0.	0.1	974.17
225	18.345	0.	0.1	1237.6
226	17.214	0.	0.1	1508.5
227	16.083	0.	0.1	1787.1
228	14.952	0.	0.1	2072.3
229	13.821	0.	0.1	2384.6
230	12.69	0.	0.1	2666.4
231	11.56	0.	0.1	2814.1
232	10.429	0.	0.1	2710.3
233	9.2976	0.	0.1	2137.2
234	8.1667	0.	0.1	1716.7
235	8.	0.	0.1	1921.8
236	6.8571	1.0399e-030	0.1	2753.9
237	5.7143	8.6656e-031	0.1	4106.8
238	4.5714	6.9325e-031	0.1	4941.3
239	3.4286	5.1994e-031	0.1	5566.
240	2.2857	3.4662e-031	0.1	6176.9
241	1.1429	1.7331e-031	0.1	5399.5
242	0.	0.	0.1	5409.8
243	3.937e-014	6.	0.1	5422.3
244	1.1429	6.	0.1	5383.
245	2.2857	6.	0.1	6196.6
246	3.4286	6.	0.1	5576.2
247	4.5714	6.	0.1	4969.
248	5.7143	6.	0.1	4114.4
249	6.8571	6.	0.1	2959.4
250	8.	6.	0.1	2075.7
251	6.8571	6.	0.	-115.57
252	5.7143	6.	0.	6.9228
253	4.5714	6.	0.	128.79
254	3.4286	6.	0.	-14.719
255	2.2857	6.	0.	-172.96
256	1.1429	6.	0.	686.86
257	8.	6.	0.	-198.08
258	3.937e-014	6.	0.	-2291.5
259	1.1429	1.7331e-031	0.	682.75
260	2.2857	3.4662e-031	0.	-184.37
261	3.4286	5.1994e-031	0.	-25.757
262	4.5714	6.9325e-031	0.	-4.6212
263	5.7143	8.6656e-031	0.	170.27
264	6.8571	1.0399e-030	0.	96.643
265	8.	0.	0.	-389.59
266	0.	0.	0.	-2251.
267	9.2976	0.	0.	3.7141
268	10.429	0.	0.	89.543
269	11.56	0.	0.	207.1
270	12.69	0.	0.	11.272
271	13.821	0.	0.	-2.0067
272	14.952	0.	0.	14.196
273	16.083	0.	0.	15.697
274	17.214	0.	0.	20.786
275	18.345	0.	0.	29.213
276	19.476	0.	0.	37.371
277	20.607	0.	0.	45.639
278	21.738	0.	0.	57.542
279	22.869	0.	0.	68.128
280	8.1667	0.	0.	-78.334
281	24.	0.	0.	54.636
282	4.1961e-014	4.8	0.	-3816.6
283	3.1471e-014	3.6	0.	-4027.
284	2.0981e-014	2.4	0.	-4022.3
285	1.049e-014	1.2	0.	-3811.4
286	24.	1.2	0.	81.329
