Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent (von-Mises) Stress (psi)
551	16.	3.0214	0.	1778.3
552	16.	2.4269	5.e-002	21.146
553	17.726	2.4317	0.	1377.9
554	17.158	3.0312	0.	1507.4
555	17.154	2.4353	5.e-002	20.494
556	18.871	2.4197	0.	1120.4
557	18.301	3.0262	0.	1245.7
558	18.298	2.4281	5.e-002	19.556
559	20.014	2.4044	0.	872.99
560	19.44	3.0112	0.	993.1
561	19.443	2.4112	5.e-002	19.164
562	21.152	2.3978	0.	638.74
563	20.581	2.9951	0.	751.95
564	20.586	2.3975	5.e-002	18.694
565	21.714	2.997	0.	525.93
566	21.719	2.398	5.e-002	18.303
567	21.143	3.5943	0.	640.23
568	21.709	3.596	5.e-002	18.272
569	20.007	3.6019	0.	873.92
570	20.577	3.5926	5.e-002	18.759
571	18.871	3.6177	0.	1120.5
572	19.437	3.6111	5.e-002	19.058
573	17.733	3.6257	0.	1377.1
574	18.304	3.6243	5.e-002	19.779
575	16.581	3.6215	0.	1643.4
576	17.162	3.6271	5.e-002	20.494
577	15.412	3.6109	0.	1919.5
578	16.	3.6158	5.e-002	20.522
579	14.216	3.5955	0.	2205.8
580	14.824	3.606	5.e-002	20.823
581	12.982	3.5781	0.	2504.6
582	13.608	3.5851	5.e-002	23.246
583	11.693	3.6131	0.	2789.9
584	10.549	4.0157	0.	3150.4
585	11.029	3.655	5.e-002	94.883
586	5.6151	1.8662	0.	4583.3
587	5.0795	2.226	5.e-002	85.862
588	12.357	3.5712	5.e-002	14.458
589	9.0073	4.6136	0.	3285.2
590	9.5943	4.5954	0.	3096.7
591	9.119	4.8144	5.e-002	266.14
592	8.6429	4.9072	0.	2780.5
593	9.1145	4.1708	0.	3831.4
594	8.8956	4.4129	5.e-002	361.16
595	8.5311	4.4564	0.	5130.3
596	9.7015	4.1526	0.	3645.6
597	9.3334	3.9288	5.e-002	471.22
598	8.75	3.9644	0.	6820.6
599	6.6035	1.2958	0.	4001.8
600	7.0564	1.0852	5.e-002	228.11
601	7.5282	1.0426	0.	3065.2
602	6.4692	1.7389	0.	4586.1
603	6.7878	1.9714	5.e-002	452.04
604	7.3939	1.9857	0.	7233.2
605	2.446	4.765	5.e-002	69.114
606	2.3659	5.3825	0.	5572.1
607	7.3644	5.0428	5.e-002	11.142
608	7.6822	5.0214	0.	3487.7
609	6.4932	4.123	5.e-002	415.37
610	7.2466	4.0615	0.	7036.2
611	8.8314	1.006	5.e-002	208.81
612	8.4991	1.003	0.	2748.
613	9.665	2.1962	0.	3868.9
614	9.5568	1.8446	5.e-002	436.23
615	8.8618	1.9223	0.	6465.6
616	9.2159	2.5954	0.	4851.
617	8.6585	2.6429	5.e-002	226.26
618	8.4126	2.3215	0.	7493.1
619	7.4615	3.3243	5.e-002	386.88
620	7.7308	3.6621	0.	7695.6
621	9.7733	2.5478	5.e-002	221.86
622	6.1507	1.5064	5.e-002	177.66
623	10.07	4.3763	5.e-002	60.685
624	9.7015	4.1526	0.1	3645.6
625	9.5943	4.5954	0.1	3096.7
626	10.549	4.0157	0.1	3150.4
627	10.188	4.733	0.1	3189.1
628	6.4692	1.7389	0.1	4586.1
629	6.6035	1.2958	0.1	4001.8
