Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
187	8.	5.	0.1	4.7282e-004
188	8.	5.5	0.1	1.1496e-004
189	8.1667	0.5	0.1	1.2884e-004
190	8.1667	1.	0.1	3.2763e-004
191	8.1667	1.5	0.1	6.5307e-004
192	8.1667	2.	0.1	9.5169e-004
193	8.	2.	0.1	1.0076e-003
194	8.	1.5	0.1	8.215e-004
195	8.	1.	0.1	3.2505e-004
196	8.	0.5	0.1	2.1328e-004
197	8.1667	6.	0.1	1.2486e-004
198	9.2976	6.	0.1	2.1069e-004
199	10.429	6.	0.1	2.8441e-004
200	11.56	6.	0.1	2.8296e-004
201	12.69	6.	0.1	2.6153e-004
202	13.821	6.	0.1	2.3628e-004
203	14.952	6.	0.1	2.0757e-004
204	16.083	6.	0.1	1.7943e-004
205	17.214	6.	0.1	1.5196e-004
206	18.345	6.	0.1	1.2541e-004
207	19.476	6.	0.1	9.9364e-005
208	20.607	6.	0.1	7.4184e-005
209	21.738	6.	0.1	4.9563e-005
210	22.869	6.	0.1	2.6064e-005
211	24.	6.	0.1	1.3037e-005
212	24.	4.8	0.1	1.8319e-005
213	24.	3.6	0.1	2.2889e-005
214	24.	2.4	0.1	2.2863e-005
215	24.	1.2	0.1	1.8309e-005
216	1.049e-014	1.2	0.1	3.9215e-004
217	2.0981e-014	2.4	0.1	4.1262e-004
218	3.1471e-014	3.6	0.1	4.1317e-004
219	4.1961e-014	4.8	0.1	3.9242e-004
220	24.	0.	0.1	1.3061e-005
221	22.869	0.	0.1	2.5998e-005
222	21.738	0.	0.1	4.9504e-005
223	20.607	0.	0.1	7.425e-005
224	19.476	0.	0.1	9.9537e-005
225	18.345	0.	0.1	1.2541e-004
226	17.214	0.	0.1	1.5201e-004
227	16.083	0.	0.1	1.7956e-004
228	14.952	0.	0.1	2.0785e-004
229	13.821	0.	0.1	2.3778e-004
230	12.69	0.	0.1	2.6398e-004
231	11.56	0.	0.1	2.958e-004
232	10.429	0.	0.1	2.7394e-004
233	9.2976	0.	0.1	2.0577e-004
234	8.1667	0.	0.1	1.4565e-004
235	8.	0.	0.1	1.451e-004
236	6.8571	1.0399e-030	0.1	2.8001e-004
237	5.7143	8.6656e-031	0.1	4.2484e-004
238	4.5714	6.9325e-031	0.1	4.8954e-004
239	3.4286	5.1994e-031	0.1	5.4513e-004
240	2.2857	3.4662e-031	0.1	5.8688e-004
241	1.1429	1.7331e-031	0.1	5.67e-004
242	0.	0.	0.1	3.0251e-004
243	3.937e-014	6.	0.1	3.0061e-004
244	1.1429	6.	0.1	5.6784e-004
245	2.2857	6.	0.1	5.9125e-004
246	3.4286	6.	0.1	5.411e-004
247	4.5714	6.	0.1	5.0364e-004
248	5.7143	6.	0.1	4.0956e-004
249	6.8571	6.	0.1	2.7671e-004
250	8.	6.	0.1	1.722e-004
251	6.8571	6.	0.	2.7671e-004
252	5.7143	6.	0.	4.0956e-004
253	4.5714	6.	0.	5.0364e-004
254	3.4286	6.	0.	5.411e-004
255	2.2857	6.	0.	5.9125e-004
256	1.1429	6.	0.	5.6784e-004
257	8.	6.	0.	1.722e-004
258	3.937e-014	6.	0.	3.0061e-004
259	1.1429	1.7331e-031	0.	5.67e-004
260	2.2857	3.4662e-031	0.	5.8688e-004
261	3.4286	5.1994e-031	0.	5.4513e-004
262	4.5714	6.9325e-031	0.	4.8954e-004
263	5.7143	8.6656e-031	0.	4.2484e-004
264	6.8571	1.0399e-030	0.	2.8001e-004
265	8.	0.	0.	1.451e-004
266	0.	0.	0.	3.0251e-004
267	9.2976	0.	0.	2.0577e-004
268	10.429	0.	0.	2.7394e-004
269	11.56	0.	0.	2.958e-004
270	12.69	0.	0.	2.6398e-004
271	13.821	0.	0.	2.3778e-004
272	14.952	0.	0.	2.0785e-004
273	16.083	0.	0.	1.7956e-004
274	17.214	0.	0.	1.5201e-004
275	18.345	0.	0.	1.2541e-004
276	19.476	0.	0.	9.9537e-005
277	20.607	0.	0.	7.425e-005
278	21.738	0.	0.	4.9504e-005
279	22.869	0.	0.	2.5998e-005
280	8.1667	0.	0.	1.4565e-004
281	24.	0.	0.	1.3061e-005
282	4.1961e-014	4.8	0.	3.9242e-004
283	3.1471e-014	3.6	0.	4.1317e-004
284	2.0981e-014	2.4	0.	4.1262e-004
285	1.049e-014	1.2	0.	3.9215e-004
286	24.	1.2	0.	1.8309e-005
287	24.	2.4	0.	2.2863e-005
288	24.	3.6	0.	2.2889e-005
289	24.	4.8	0.	1.8319e-005
290	24.	6.	0.	1.3037e-005
291	22.869	6.	0.	2.6064e-005
292	21.738	6.	0.	4.9563e-005
293	20.607	6.	0.	7.4184e-005
294	19.476	6.	0.	9.9364e-005
295	18.345	6.	0.	1.2541e-004
296	17.214	6.	0.	1.5196e-004
297	16.083	6.	0.	1.7943e-004
298	14.952	6.	0.	2.0757e-004
299	13.821	6.	0.	2.3628e-004
300	12.69	6.	0.	2.6153e-004
301	11.56	6.	0.	2.8296e-004
302	10.429	6.	0.	2.8441e-004
303	9.2976	6.	0.	2.1069e-004
304	8.1667	6.	0.	1.2486e-004
305	8.	1.5	0.	8.215e-004
306	8.	1.	0.	3.2505e-004
307	8.	0.5	0.	2.1328e-004
308	8.	2.	0.	1.0076e-003
309	8.1667	0.5	0.	1.2884e-004
310	8.1667	1.	0.	3.2763e-004
311	8.1667	1.5	0.	6.5307e-004
312	8.1667	2.	0.	9.5169e-004
313	8.	4.5	0.	6.1324e-004
314	8.	5.	0.	4.7282e-004
315	8.	5.5	0.	1.1496e-004
316	8.	4.	0.	9.6675e-004
317	8.1667	5.5	0.	1.8247e-004
318	8.1667	5.	0.	3.0822e-004
319	8.1667	4.5	0.	7.3104e-004
320	8.1667	4.	0.	9.7543e-004
321	6.9023	2.6394	0.	5.5615e-004
322	8.0554	2.669	0.	5.5973e-004
323	7.4569	3.0097	0.	5.7051e-004
324	7.4522	2.6951	5.e-002	3.2033e-005
325	7.7261	2.3476	0.	7.961e-004
326	9.1608	3.2945	0.	4.9971e-004
327	8.6376	2.9526	0.	5.5416e-004
328	8.039	3.2933	0.	5.6692e-004
329	8.6166	3.2622	5.e-002	4.1222e-005
330	8.3916	3.6311	0.	7.7188e-004
331	9.5289	1.0862	0.	3.2374e-004
