Node Number	X Location (in)	Y Location (in)	Z Location (in)	Total Deformation (in)
369	7.2726	5.2196	0.	0.26923
370	7.1807	5.3965	5.e-002	0.26145
371	7.0189	5.6983	0.	0.24809
372	7.5903	5.4483	0.	0.28959
373	5.3159	0.97382	0.	0.14727
374	5.9884	1.1716	0.	0.18709
375	5.8262	0.83672	5.e-002	0.17554
376	5.7703	0.41836	0.	0.16956
377	5.666	3.4273	0.	0.17201
378	6.3707	3.7633	0.	0.21496
379	6.8548	3.364	0.	0.24829
380	6.2481	3.4037	5.e-002	0.20756
381	5.7054	4.9431	0.	0.16998
382	6.2069	5.1992	5.e-002	0.19874
383	5.9606	5.5996	0.	0.18113
384	4.4676	4.7125	0.	0.10565
385	5.144	4.069	0.	0.14169
386	5.8486	4.405	0.	0.18073
387	5.204	4.687	5.e-002	0.14291
388	4.8877	5.3435	0.	0.12315
389	3.7751	4.1256	0.	7.722e-002
390	3.0886	4.7515	0.	5.0405e-002
391	3.7312	4.7379	5.e-002	7.3678e-002
392	3.5799	5.369	0.	6.5126e-002
393	1.2284	4.1879	0.	8.175e-003
394	1.8309	4.774	0.	1.7393e-002
395	1.2158	4.7829	5.e-002	7.5814e-003
396	1.1793	5.3914	0.	6.4117e-003
397	0.60789	4.7914	0.	1.9224e-003
398	1.777	1.2063	0.	1.6322e-002
399	1.2025	1.8092	0.	7.8288e-003
400	1.1811	1.2087	5.e-002	7.1369e-003
401	1.162	0.60433	0.	6.1997e-003
402	0.59055	1.2043	0.	1.8123e-003
403	2.9798	1.1946	0.	4.6679e-002
404	2.4167	1.7987	0.	3.1731e-002
405	2.3728	1.204	5.e-002	2.938e-002
406	2.3293	0.60199	0.	2.6428e-002
407	4.1962	1.1481	0.	9.2654e-002
408	3.6595	1.7672	0.	7.2356e-002
409	3.5867	1.1853	5.e-002	6.775e-002
410	3.5076	0.59265	0.	6.2146e-002
411	4.9426	1.6684	0.	0.13028
412	4.8057	1.1109	5.e-002	0.12117
413	4.6885	0.55546	0.	0.11243
414	10.475	1.0368	0.	0.57228
415	10.05	0.7779	5.e-002	0.526
416	10.239	0.38895	0.	0.54429
417	11.637	1.249	0.	0.70201
418	10.957	1.8509	0.	0.62714
419	10.228	1.5702	0.	0.54771
420	10.899	1.2958	5.e-002	0.61934
421	11.229	0.64789	0.	0.65367
422	13.015	1.2062	0.	0.86495
423	12.338	1.7906	0.	0.78502
424	12.374	1.2023	5.e-002	0.78779
425	12.532	0.60115	0.	0.80448
426	14.258	1.2109	0.	1.0203
427	13.62	1.8032	0.	0.94112
428	13.656	1.2101	5.e-002	0.94413
429	13.739	0.60507	0.	0.95247
430	15.445	1.2157	0.	1.175
431	14.841	1.8102	0.	1.0969
432	14.86	1.2116	5.e-002	1.098
433	14.906	0.60579	0.	1.1022
434	16.604	1.2219	0.	1.3315
435	16.015	1.8233	0.	1.2526
436	16.03	1.2197	5.e-002	1.2533
437	16.056	0.60987	0.	1.2553
438	17.747	1.2215	0.	1.49
439	17.167	1.8296	0.	1.4102
440	17.179	1.224	5.e-002	1.4107
441	17.197	0.61199	0.	1.4117
442	18.884	1.2137	0.	1.6513
443	18.307	1.8235	0.	1.57
444	18.315	1.219	5.e-002	1.5702
445	18.33	0.60948	0.	1.571
446	20.023	1.2037	0.	1.8157
447	19.448	1.8099	0.	1.7332
448	19.453	1.2085	5.e-002	1.733
449	19.465	0.60424	0.	1.7336
450	21.162	1.1966	0.	1.9822
451	20.589	1.7982	0.	1.899
452	20.593	1.1989	5.e-002	1.8988
453	20.6	0.59945	0.	1.8989
454	22.297	1.1948	0.	2.1499
455	21.724	1.7961	0.	2.0658
456	21.73	1.1942	5.e-002	2.066
457	21.734	0.59712	0.	2.0658
458	22.859	1.7946	0.	2.2339
459	22.864	1.1954	5.e-002	2.234
460	22.866	0.59771	0.	2.2337
461	23.432	1.1977	0.	2.3185
462	1.2325	3.0013	0.	8.5049e-003
463	1.8759	3.5864	0.	1.9557e-002
464	1.241	3.5929	5.e-002	8.5337e-003
465	0.62048	3.5964	0.	2.1451e-003
466	1.8423	2.4016	0.	1.8855e-002
467	1.224	2.4098	5.e-002	8.2999e-003
468	0.61199	2.4049	0.	2.0863e-003
469	22.856	2.998	0.	2.2341
470	22.287	2.3959	0.	2.1495
471	22.855	2.3937	5.e-002	2.2337
472	23.427	2.3969	0.	2.3188
473	22.857	4.2055	0.	2.2345
474	22.283	3.5991	0.	2.1493
475	22.856	3.6022	5.e-002	2.2344
476	23.428	3.6011	0.	2.3194
477	22.291	4.803	0.	2.1504
478	22.858	4.8089	5.e-002	2.2345
479	23.429	4.8044	0.	2.3194
480	22.863	5.4044	0.	2.2351
481	21.154	4.7974	0.	1.9825
482	21.717	4.1966	0.	2.0656
483	21.724	4.7972	5.e-002	2.0664
484	21.731	5.3986	0.	2.0672
485	20.02	4.8026	0.	1.8166
486	20.581	4.1951	0.	1.8987
487	20.584	4.7977	5.e-002	1.8989
488	20.596	5.3988	0.	1.9001
489	18.894	4.821	0.	1.654
490	19.447	4.2093	0.	1.7339
491	19.456	4.8075	5.e-002	1.7349
492	19.466	5.4037	0.	1.7357
493	17.757	4.8282	0.	1.4927
494	18.318	4.2295	0.	1.5725
495	18.332	4.8346	5.e-002	1.5739
496	18.339	5.4173	0.	1.574
497	16.606	4.8167	0.	1.333
498	17.172	4.2244	0.	1.4117
499	17.182	4.8217	5.e-002	1.4124
500	17.198	5.4109	0.	1.4137
501	15.45	4.8034	0.	1.177
502	16.015	4.2138	0.	1.2535
503	16.03	4.8117	5.e-002	1.2547
504	16.057	5.4059	0.	1.2571
505	14.282	4.7877	0.	1.0247
506	14.846	4.2005	0.	1.0986
507	14.869	4.7951	5.e-002	1.1006
508	14.911	5.3975	0.	1.1046
509	13.103	4.7809	0.	0.87705
510	13.652	4.1827	0.	0.94596
511	13.695	4.7804	5.e-002	0.95035
512	13.758	5.3902	0.	0.95672
513	11.97	4.8287	0.	0.74158
514	12.434	4.1763	0.	0.79741
515	12.511	4.7815	5.e-002	0.80547
516	12.601	5.3907	0.	0.81448
517	10.868	4.9828	0.	0.61628
518	11.229	4.2654	0.	0.65805
519	11.429	4.8759	5.e-002	0.67927
520	11.494	5.438	0.	0.68489
521	10.188	4.733	0.	0.54356
522	10.307	5.0896	5.e-002	0.55506
523	10.368	5.5448	0.	0.5598
524	4.4515	3.4821	0.	0.10779
525	5.0817	2.8384	0.	0.13951
526	5.0839	3.4509	5.e-002	0.13947
527	3.165	3.5466	0.	5.5319e-002
528	3.7757	2.9312	0.	7.8424e-002
529	3.8191	3.5133	5.e-002	7.9918e-002
530	2.4857	2.9867	0.	3.4484e-002
531	2.4784	4.1725	0.	3.3439e-002
532	2.5109	3.58	5.e-002	3.4946e-002
533	3.0964	2.3713	0.	5.2896e-002
534	2.4605	2.3935	5.e-002	3.3539e-002
535	4.4059	2.2875	0.	0.10535
536	3.7323	2.349	5.e-002	7.6252e-002
537	11.658	2.3924	0.	0.70686
538	11.022	3.0305	0.	0.63569
539	10.394	2.4769	0.	0.567
