Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
976	0.51	0.	0.	3.8362e-004
977	2.55	0.	0.	2.3651e-004
978	3.06	0.25	0.	1.4079e-004
979	0.	0.6	0.	2.5222e-004
980	4.9578	0.	0.	3.774e-004
981	3.8037	0.	0.	1.9516e-004
982	6.1119	0.	0.	4.2234e-004
983	7.2659	0.	0.	4.1626e-004
984	8.42	0.	0.	3.8695e-004
985	9.5741	0.	0.	3.5224e-004
986	10.728	0.	0.	3.1867e-004
987	11.882	0.	0.	2.871e-004
988	13.036	0.	0.	2.5595e-004
989	14.19	0.	0.	2.2582e-004
990	15.344	0.	0.	1.9647e-004
991	16.499	0.	0.	1.6794e-004
992	17.653	0.	0.	1.4018e-004
993	18.807	0.	0.	1.1317e-004
994	19.961	0.	0.	8.6843e-005
995	21.115	0.	0.	6.1137e-005
996	22.269	0.	0.	3.5787e-005
997	23.423	0.	0.	1.2977e-005
998	3.2267	0.25	0.	1.2981e-004
999	24.	0.6	0.	8.6682e-006
1000	0.	4.2	0.	3.7845e-004
1001	0.	3.	0.	3.7481e-004
1002	0.	1.8	0.	3.7651e-004
1003	24.	1.8	0.	1.6531e-005
1004	24.	3.	0.	1.8458e-005
1005	24.	4.2	0.	1.6434e-005
1006	24.	5.4	0.	8.8459e-006
1007	23.423	6.	0.	1.319e-005
1008	22.269	6.	0.	3.5794e-005
1009	21.115	6.	0.	6.1189e-005
1010	19.961	6.	0.	8.6957e-005
1011	18.807	6.	0.	1.1329e-004
1012	17.653	6.	0.	1.4032e-004
1013	16.499	6.	0.	1.6807e-004
1014	15.344	6.	0.	1.966e-004
1015	14.19	6.	0.	2.2594e-004
1016	13.036	6.	0.	2.561e-004
1017	11.882	6.	0.	2.8713e-004
1018	10.728	6.	0.	3.1923e-004
1019	9.5741	6.	0.	3.5108e-004
1020	8.42	6.	0.	3.8705e-004
1021	7.2659	6.	0.	4.0175e-004
1022	6.1119	6.	0.	4.2938e-004
1023	4.9578	6.	0.	4.0339e-004
1024	3.8037	6.	0.	2.1492e-004
1025	3.2267	5.75	0.	1.2662e-004
1026	3.06	1.25	0.	6.1636e-004
1027	3.06	1.75	0.	1.0528e-003
1028	3.06	0.75	0.	3.8067e-004
1029	3.1433	2.	0.	1.5891e-003
1030	3.2267	0.75	0.	2.6311e-004
1031	3.2267	1.25	0.	6.9606e-004
1032	3.2267	1.75	0.	1.4082e-003
1033	3.06	4.75	0.	7.8093e-004
1034	3.06	4.25	0.	1.4696e-003
1035	3.06	5.25	0.	3.515e-004
1036	3.1433	4.	0.	1.6993e-003
1037	3.2267	5.25	0.	3.6141e-004
1038	3.2267	4.75	0.	5.9555e-004
1039	3.2267	4.25	0.	1.1114e-003
