Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Elastic Strain (in/in)
230	2.	0.5	0.1	-3.9328e-004
231	2.	1.	5.e-002	-8.2955e-005
232	2.1667	4.75	0.1	-2.5198e-004
233	2.1667	5.5	0.1	-1.8767e-004
234	2.1667	5.	5.e-002	-3.9316e-005
235	2.1667	4.25	0.1	-5.5522e-004
236	2.1667	4.5	5.e-002	-4.8046e-005
237	2.0833	4.	0.1	-7.4303e-004
238	2.1667	4.	5.e-002	-1.5828e-004
239	2.	4.25	0.1	-6.4515e-004
240	2.	4.	5.e-002	-2.6261e-004
241	2.	4.75	0.1	-4.2086e-004
242	2.	4.5	5.e-002	-8.8654e-005
243	2.	5.5	0.1	-1.341e-004
244	2.	5.	5.e-002	-5.9888e-005
245	3.4767	6.	0.1	-1.6354e-004
246	2.1667	6.	5.e-002	-7.2566e-006
247	6.5333	6.	0.1	-1.4392e-004
248	4.7867	6.	5.e-002	-5.0295e-005
249	10.9	6.	0.1	-9.9723e-005
250	8.28	6.	5.e-002	-3.0234e-005
251	16.14	6.	0.1	-6.6087e-005
252	13.52	6.	5.e-002	-1.2809e-005
253	21.38	6.	0.1	-3.4709e-005
254	18.76	6.	5.e-002	-3.2671e-006
255	24.	4.5	0.1	-2.7957e-005
256	24.	6.	5.e-002	-1.6446e-006
257	24.	1.5	0.1	-3.3296e-005
258	24.	3.	5.e-002	-8.9149e-007
259	4.2617e-014	4.875	0.1	-6.3491e-007
260	1.6391e-014	1.875	0.1	-4.0293e-006
261	3.3226e-014	3.75	5.e-002	-3.2368e-005
262	0.5	6.	0.1	-8.0725e-005
263	5.2451e-014	6.	5.e-002	-2.6704e-005
264	1.5	6.	0.1	-1.5819e-004
265	1.	6.	5.e-002	-4.4613e-006
266	2.	6.	5.e-002	-6.84e-005
267	21.817	0.	0.1	-4.9113e-005
268	24.	0.	5.e-002	-2.2685e-006
269	17.45	0.	0.1	-5.9593e-005
270	19.633	0.	5.e-002	-6.2781e-006
271	13.083	0.	0.1	-8.9951e-005
272	15.267	0.	5.e-002	-8.8409e-006
273	8.7167	0.	0.1	-1.5711e-004
274	10.9	0.	5.e-002	-1.9901e-005
275	5.4417	0.	0.1	-1.4905e-004
276	6.5333	0.	5.e-002	-5.7839e-005
277	3.2583	0.	0.1	-1.2393e-004
278	4.35	0.	5.e-002	-2.435e-005
279	2.1667	0.	5.e-002	-2.4039e-005
280	1.	1.8804e-030	0.1	-1.1721e-004
281	2.	3.7609e-030	5.e-002	-2.6757e-005
282	0.	0.	5.e-002	-5.5716e-005
283	1.	1.8804e-030	0.	-3.1138e-004
284	2.	0.5	0.	-6.0271e-004
285	1.6391e-014	1.875	0.	-3.7518e-004
286	5.4417	0.	0.	-3.5126e-004
287	3.2583	0.	0.	-3.3683e-004
288	8.7167	0.	0.	-3.0463e-004
289	13.083	0.	0.	-2.2516e-004
290	17.45	0.	0.	-1.469e-004
291	21.817	0.	0.	-8.0689e-005
292	2.1667	0.5	0.	-4.1814e-004
293	24.	1.5	0.	-6.0878e-005
294	1.5	6.	0.	-2.9869e-004
295	0.5	6.	0.	-2.7539e-004
296	2.	5.5	0.	-2.6692e-004
297	4.2617e-014	4.875	0.	-3.4623e-004
298	1.	2.375	0.	-6.5733e-004
299	24.	4.5	0.	-6.4587e-005
300	21.38	6.	0.	-9.8373e-005
301	16.14	6.	0.	-1.7379e-004
302	10.9	6.	0.	-2.4355e-004
303	6.5333	6.	0.	-3.1863e-004
304	3.4767	6.	0.	-4.1005e-004
305	2.1667	5.5	0.	-4.9162e-004
306	2.	4.75	0.	-7.3336e-004
307	2.	4.25	0.	-1.4432e-003
308	2.0833	4.	0.	-1.9753e-003
309	2.1667	4.75	0.	-7.9481e-004
310	2.1667	4.25	0.	-1.7081e-003
311	2.	1.25	0.	-9.0649e-004
312	2.	1.75	0.	-1.4145e-003
313	2.0833	2.	0.	-1.8106e-003
314	2.1667	1.25	0.	-5.0659e-004
315	2.1667	1.75	0.	-1.1488e-003
