Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
183	3.3467	6.	0.1	4.6593e-005
184	4.4941	6.	0.1	6.821e-005
185	5.6415	6.	0.1	8.5273e-005
186	6.7889	6.	0.1	8.518e-005
187	7.9363	6.	0.1	7.5726e-005
188	9.0837	6.	0.1	6.5784e-005
189	10.231	6.	0.1	5.6563e-005
190	11.379	6.	0.1	4.7508e-005
191	12.526	6.	0.1	3.9319e-005
192	13.673	6.	0.1	3.1896e-005
193	14.821	6.	0.1	2.5373e-005
194	15.968	6.	0.1	1.9664e-005
195	17.116	6.	0.1	1.4701e-005
196	18.263	6.	0.1	1.0062e-005
197	19.41	6.	0.1	6.7877e-006
198	20.558	6.	0.1	4.0216e-006
199	21.705	6.	0.1	2.0236e-006
200	22.853	6.	0.1	7.0034e-007
201	24.	6.	0.1	1.6833e-007
202	24.	4.8	0.1	4.3549e-007
203	24.	3.6	0.1	6.1663e-007
204	24.	2.4	0.1	6.2103e-007
205	24.	1.2	0.1	4.3761e-007
206	1.049e-014	1.2	0.1	1.2728e-004
207	2.0981e-014	2.4	0.1	1.3942e-004
208	3.1471e-014	3.6	0.1	1.4641e-004
209	4.1961e-014	4.8	0.1	1.3796e-004
210	24.	0.	0.1	1.7403e-007
211	22.853	0.	0.1	7.0585e-007
212	21.705	0.	0.1	1.9955e-006
213	20.558	0.	0.1	4.0256e-006
214	19.41	0.	0.1	7.1948e-006
215	18.263	0.	0.1	1.0596e-005
216	17.116	0.	0.1	1.3885e-005
217	15.968	0.	0.1	1.9229e-005
218	14.821	0.	0.1	2.5373e-005
219	13.673	0.	0.1	3.1959e-005
220	12.526	0.	0.1	3.9375e-005
221	11.379	0.	0.1	4.751e-005
222	10.231	0.	0.1	5.6247e-005
223	9.0837	0.	0.1	6.5228e-005
224	7.9363	0.	0.1	7.5221e-005
225	6.7889	0.	0.1	8.4769e-005
226	5.6415	0.	0.1	8.7989e-005
227	4.4941	0.	0.1	6.743e-005
228	3.3467	0.	0.1	4.4721e-005
229	3.18	0.	0.1	7.1337e-005
230	2.12	-2.4264e-031	0.1	1.0849e-004
231	1.06	-1.2132e-031	0.1	1.2895e-004
232	0.	0.	0.1	8.9786e-005
233	3.937e-014	6.	0.1	1.0054e-004
234	1.06	6.	0.1	1.1969e-004
235	2.12	6.	0.1	1.0564e-004
236	3.18	6.	0.1	6.4976e-005
237	2.12	6.	0.	4.4706e-005
238	1.06	6.	0.	5.8305e-005
239	3.18	6.	0.	2.5259e-005
240	3.937e-014	6.	0.	7.873e-006
241	1.06	-1.2132e-031	0.	6.3483e-005
242	2.12	-2.4264e-031	0.	3.9283e-005
243	3.18	0.	0.	2.2568e-005
244	0.	0.	0.	8.5583e-006
245	4.4941	0.	0.	2.5147e-005
246	5.6415	0.	0.	3.1895e-005
247	6.7889	0.	0.	2.9202e-005
248	7.9363	0.	0.	2.6931e-005
249	9.0837	0.	0.	2.3043e-005
250	10.231	0.	0.	2.0213e-005
251	11.379	0.	0.	1.7388e-005
252	12.526	0.	0.	1.4665e-005
253	13.673	0.	0.	1.2215e-005
254	14.821	0.	0.	1.0077e-005
255	15.968	0.	0.	7.8866e-006
256	17.116	0.	0.	6.0266e-006
257	18.263	0.	0.	4.8853e-006
258	19.41	0.	0.	3.1449e-006
259	20.558	0.	0.	2.1813e-006
260	21.705	0.	0.	1.5181e-006
261	22.853	0.	0.	9.4135e-007
262	3.3467	0.	0.	1.5858e-005
263	24.	0.	0.	5.0096e-007
264	4.1961e-014	4.8	0.	1.759e-007
265	3.1471e-014	3.6	0.	1.0145e-006
266	2.0981e-014	2.4	0.	8.7504e-008
267	1.049e-014	1.2	0.	1.2965e-006
268	24.	1.2	0.	7.9126e-007
269	24.	2.4	0.	1.1851e-006
270	24.	3.6	0.	1.1857e-006
271	24.	4.8	0.	7.8604e-007
