Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
148,13.963,1.2111,0.1,0.000232,2318.4,0.00023156,2305.7,-7.6014e-05,-5.3637,-7.7968e-05,-20.048,0.91349
149,12.752,1.1682,0.1,0.00026204,2618.6,0.00026197,2616.8,-8.5255e-05,7.8451,-8.7803e-05,-11.298,0.77755
150,11.59,1.1926,0.1,0.00029354,2933.4,0.00029351,2932.5,-9.6082e-05,5.2393,-9.7714e-05,-7.0252,0.65446
151,10.433,1.2095,0.1,0.00032504,3248.1,0.00032524,3254,-0.00010636,11.172,-0.00010776,0.63388,0.53984
152,9.2646,1.2232,0.1,0.00035685,3566,0.00035734,3580.5,-0.00011585,25.195,-0.00011867,3.9631,0.4328
153,8.1135,1.2123,0.1,0.00038873,3884.6,0.00038956,3909.3,-0.00012442,47.413,-0.00013044,2.2081,0.33682
154,6.9542,1.2092,0.1,0.00042088,4205.9,0.00042235,4250.2,-0.00013178,86.771,-0.00014291,3.1275,0.25062
155,5.7886,1.2086,0.1,0.00045287,4525.6,0.00045523,4598.2,-0.00013707,147.96,-0.00015664,0.90682,0.17541
156,4.6231,1.2085,0.1,0.00048365,4833.2,0.00048762,4958.3,-0.00013915,249.07,-0.00017095,10.077,0.11258
157,3.4615,1.2092,0.1,0.00051216,5118.1,0.00051661,5273.6,-0.00013514,376.57,-0.00019059,-40.061,0.06315
158,2.3034,1.2099,0.1,0.00052979,5294.3,0.00054449,5781.9,-0.00011408,833.61,-0.00019857,198.82,0.027688
159,1.1502,1.2091,0.1,0.00056666,5662.7,0.00054013,5355.7,-5.4873e-05,885.07,-0.00030736,-1012,0.0067905
160,21.147,3.2797,0.1,5.4764e-05,547.27,5.5524e-05,591.72,-7.2585e-06,119.99,-2.4333e-05,-8.2963,1.8454
161,20.337,0.83014,0.1,6.827e-05,682.22,6.734e-05,657.29,-2.0149e-05,-0.065563,-2.6441e-05,-47.344,1.7317
162,20.149,3.83,0.1,8.6428e-05,863.68,8.7502e-05,907.16,-1.8735e-05,108.94,-3.4526e-05,-9.7148,1.7061
163,19.291,0.61633,0.1,6.4244e-05,642,6.3233e-05,617.92,-1.7131e-05,14.097,-2.6518e-05,-56.432,1.5865
164,16.374,4.9091,0.1,0.00016117,1610.6,0.00015898,1547.7,-5.147e-05,-33.533,-5.9077e-05,-90.687,1.2029
165,17.151,4.542,0.1,0.00018315,1830.2,0.00016932,1516.9,-3.5877e-05,-24.853,-9.9885e-05,-505.78,1.3017
166,20.756,4.8442,0.1,6.0844e-05,608.02,6.1388e-05,624.93,-1.7632e-05,31.204,-2.1311e-05,3.5574,1.7901
167,21.649,4.6655,0.1,4.561e-05,455.79,4.5865e-05,463.41,-1.418e-05,12.252,-1.5395e-05,3.1258,1.9155
168,22.749,4.6401,0.1,2.8103e-05,280.84,2.7712e-05,270.96,-7.8959e-06,3.4128,-1.1213e-05,-21.511,2.0708
169,19.957,5.1561,0.1,7.286e-05,728.1,7.2165e-05,710.34,-2.1125e-05,9.3896,-2.7987e-05,-42.165,1.6786
170,19.771,1.7034,0.1,8.1249e-05,811.93,8.1883e-05,835.34,-2.0998e-05,62.329,-3.0704e-05,-10.595,1.6536
171,17.09,0.52164,0.1,0.00011954,1194.6,0.00011408,1066.8,-2.7345e-05,4.1528,-5.7996e-05,-226.15,1.2911
172,19.107,5.3661,0.1,6.2747e-05,627.03,6.1814e-05,604.02,-1.724e-05,10.043,-2.5434e-05,-51.521,1.5608
173,18.95,4.764,0.1,8.5933e-05,858.74,8.4154e-05,817.1,-2.1962e-05,19.777,-3.6852e-05,-92.102,1.54
174,17.292,5.3859,0.1,0.00012106,1209.8,0.00011674,1097.5,-3.2821e-05,-26.245,-5.37e-05,-183.12,1.3169
175,16.977,1.3198,0.1,0.00017354,1734.2,0.00016293,1473.6,-4.1179e-05,-59.963,-8.7546e-05,-408.35,1.2793
176,19.423,3.1664,0.1,0.00012772,1276.3,0.00013112,1395,-2.5388e-05,219.08,-4.9529e-05,37.696,1.6059
177,18.461,3.9285,0.1,0.00023678,2366.2,0.00023354,2294.8,-6.1264e-05,79.74,-9.8222e-05,-197.94,1.4746
178,17.606,2.9248,0.1,0.00022256,2224.1,0.00019702,1607.7,-4.7495e-05,-229.53,-0.00013206,-864.94,1.3626
179,18.167,0.5,0.1,6.4483e-05,644.38,6.8712e-05,777.67,-1.0516e-05,182.38,-2.2354e-05,93.429,1.4318
180,18.167,1,0.1,0.00015741,1573,0.00015107,1431.7,-3.4529e-05,37.184,-7.5865e-05,-273.39,1.4328
181,18.167,1.5,0.1,0.00014121,1411.1,0.00013998,1439.5,-1.9973e-05,237.75,-6.6823e-05,-114.26,1.4338
182,18.167,2,0.1,0.00036603,3657.8,0.00038512,4223.9,-9.0681e-05,648.94,-0.00011202,488.61,1.4349
183,18,2,0.1,0.00035154,3512.9,0.00034628,3457.4,-6.863e-05,339.95,-0.00016032,-348.98,1.4128
184,18,1.5,0.1,0.00022286,2227.1,0.00018312,1516.6,-5.2779e-06,101.05,-0.00015854,-1050.5,1.411
185,18,1,0.1,0.00017513,1750.1,0.00015406,1357,-1.5082e-05,86.146,-0.00011162,-639.22,1.4088
186,18,0.5,0.1,4.9604e-05,495.7,5.5698e-05,690.13,-2.4541e-06,253.2,-1.5996e-05,151.45,1.4066
187,18.167,5.5,0.1,4.2282e-05,422.53,4.5365e-05,525.21,-4.498e-06,150.55,-1.5588e-05,67.226,1.4314
188,18.167,5,0.1,7.9089e-05,790.34,8.1766e-05,869.73,-2.1558e-05,93.391,-2.519e-05,66.102,1.4324
